school,concentration_score
Eastern Michigan Eagles,0.26643598615917
Oklahoma State Cowboys,0.26643598615917
New Orleans Privateers,0.2797783933518
UNC Asheville Bulldogs,0.280276816608997
UCF Knights,0.28099173553719
Michigan State Spartans,0.28125
Grambling State Tigers,0.28719723183391
Cal State Fullerton Titans,0.288888888888889
Cleveland State Vikings,0.288888888888889
Seton Hall Pirates,0.288888888888889
Fresno State Bulldogs,0.288888888888889
North Carolina State Wolfpack,0.288888888888889
San Diego Toreros,0.2890625
Southern Illinois Salukis,0.295918367346939
UMBC Retrievers,0.295918367346939
Ball State Cardinals,0.296875
Texas A&M-CC Islanders,0.296875
Illinois-Chicago Flames,0.297777777777778
Georgia Southern Eagles,0.301939058171745
DePaul Blue Demons,0.3046875
UCLA Bruins,0.3046875
Appalachian State Mountaineers,0.306122448979592
Hawaii Warriors,0.307958477508651
Western Michigan Broncos,0.3125
Old Dominion Monarchs,0.316326530612245
Middle Tennessee Blue Raiders,0.321799307958477
Iowa Hawkeyes,0.324444444444444
Sam Houston State Bearkats,0.324444444444444
North Texas Mean Green,0.325443786982249
Eastern Washington Eagles,0.326530612244898
Florida International Golden Panthers,0.333333333333333
Radford Highlanders,0.333333333333333
Arizona Wildcats,0.3359375
Pacific Tigers,0.342222222222222
IPFW Mastodons,0.342222222222222
Central Arkansas Bears,0.354591836734694
Cal Poly Mustangs,0.356401384083045
North Florida Ospreys,0.357142857142857
Northern Illinois Huskies,0.359375
New Mexico State Aggies,0.36094674556213
Detroit Titans,0.36094674556213
East Carolina Pirates,0.36094674556213
IUPUI Jaguars,0.36094674556213
"Saint Mary's Gaels",0.36094674556213
Central Michigan Chippewas,0.3671875
Baylor Bears,0.36734693877551
McNeese State Cowboys,0.370242214532872
Bowling Green Falcons,0.377551020408163
Indiana Hoosiers,0.384083044982699
Akron Zips,0.385041551246537
Alcorn State Braves,0.390581717451523
USC Trojans,0.391003460207612
Nicholls State Colonels,0.401234567901235
Eastern Illinois Panthers,0.401234567901235
Wofford Terriers,0.415637860082305
Georgia Bulldogs,0.421875
"Louisiana-Lafayette Ragin' Cajuns",0.422222222222222
Cal State Northridge Matadors,0.438775510204082
Prairie View A&M Panthers,0.439446366782007
UC Davis Aggies,0.44
Jackson State Tigers,0.443786982248521
Maine Black Bears,0.4453125
Southeast Missouri State Redhawks,0.448979591836735
California Golden Bears,0.448979591836735
Alabama A&M Bulldogs,0.4609375
Seattle Redhawks,0.4609375
Houston Cougars,0.475555555555556
Milwaukee Panthers,0.490304709141274
Texas-Arlington Mavericks,0.4921875
UC Santa Barbara Gauchos,0.4921875
Florida Gators,0.502958579881657
Manhattan Jaspers,0.502958579881657
Texas Longhorns,0.502958579881657
Northwestern State Demons,0.515570934256056
Savannah State Tigers,0.515625
Charlotte 49ers,0.522491349480969
Northern Iowa Panthers,0.522491349480969
Sacramento State Hornets,0.530612244897959
Abilene Christian Wildcats,0.530612244897959
TCU Horned Frogs,0.530612244897959
UC Riverside Highlanders,0.538461538461538
UC Irvine Anteaters,0.5390625
St. Francis (NY) Terriers,0.540816326530612
Chicago State Cougars,0.54320987654321
Purdue Boilermakers,0.564444444444444
Oakland Golden Grizzlies,0.582222222222222
Illinois Fighting Illini,0.583333333333333
Georgia Tech Yellow Jackets,0.605536332179931
Incarnate Word Cardinals,0.63265306122449
San Diego State Aztecs,0.76
