school,school_short,name,position,weight,height,year,hometown,state,conference,county_code,state_code
North Carolina-Wilmington Seahawks,UNC-Wilmington,Zack Allen,G,71,190,SR,"Wilmington, NC",NC,Colonial,37129,37
Central Connecticut State Blue Devils,Cent Conn St,Faronte Drakeford,F,79,215,JR,"Wilmington, NC",NC,Northeast,37129,37
Chattanooga Mocs,Chattanooga,T.J. Williams,F,80,240,FR,"Wilmington, NC",NC,Southern,37129,37
North Carolina A&T Aggies,N Carolina A&T,Jerome Simmons,F,80,225,FR,"Jacksonville, NC",NC,MEAC,37133,37
North Carolina Tar Heels,North Carolina,James Manor,F,78,220,SR,"Carrboro, NC",NC,ACC,37135,37
North Carolina Tar Heels,North Carolina,Denzel Robinson,F,76,220,SR,"Chapel Hill, NC",NC,ACC,37135,37
Coastal Carolina Chanticleers,Coast Carolina,Aaron Law,G,72,180,SO,"Chapel Hill, NC",NC,Big South,37135,37
Charlotte 49ers,Charlotte,Denzel Ingram,G,72,171,SO,"Chapel Hill, NC",NC,Conference USA,37135,37
North Carolina-Wilmington Seahawks,UNC-Wilmington,Addison Spruill,G,76,225,JR,"Currie, NC",NC,Colonial,37141,37
UNC Greensboro Spartans,UNC Greensboro,Tyrone Outlaw,G-F,78,205,FR,"Roxboro, NC",NC,Southern,37145,37
Gardner-Webb Runnin' Bulldogs,Gardner-Webb,Donta Harper,F,79,205,JR,"Winterville, NC",NC,Big South,37147,37
Liberty Flames,Liberty,Antwan Burrus,F,78,235,SR,"Winterville, NC",NC,Big South,37147,37
UNC Asheville Bulldogs,UNC Asheville,Jaron Lane,G-F,76,185,SR,"Greenville, NC",NC,Big South,37147,37
Tennessee State Tigers,Tennessee St,Jacquan Nobles,G,75,180,SR,"Greenville, NC",NC,Ohio Valley,37147,37
Winthrop Eagles,Winthrop,Jarad Scott,F,80,215,FR,"Lumberton, NC",NC,Big South,37155,37
Appalachian State Mountaineers,Appalachian St,Jacob Lawson,F,80,217,JR,"Reidsville, NC",NC,Southern,37157,37
Marshall Thundering Herd,Marshall,DeVince Boykins,G,76,210,SO,"Forest City, NC",NC,Conference USA,37161,37
North Carolina-Wilmington Seahawks,UNC-Wilmington,Marcus Graham,G,78,178,SR,"Roseboro, NC",NC,Colonial,37163,37
Howard Bison,Howard,James Miller,G-F,76,185,FR,"Clinton, NC",NC,MEAC,37163,37
Southeastern Louisiana Lions,SE Louisiana,Forrest Johnson,F,80,235,FR,"Laurinburg, NC",NC,Southland,37165,37
North Carolina Tar Heels,North Carolina,Wade Moody,G,72,175,SR,"Mount Airy, NC",NC,ACC,37171,37
UNC Asheville Bulldogs,UNC Asheville,Ethan Wilmoth,G,74,195,FR,"Dobson, NC",NC,Big South,37171,37
Mercer Bears,Mercer,T.J. Hallice,F,81,205,JR,"Weddington, NC",NC,Atlantic Sun,37179,37
Louisville Cardinals,Louisville,Anton Gill,G,75,185,FR,"Raleigh, NC",NC,American,37183,37
Fordham Rams,Fordham,Travion Leonard,NA,80,275,SO,"Raleigh, NC",NC,Atlantic 10,37183,37
Maryland Terrapins,Maryland,Dez Wells,G-F,77,215,JR,"Raleigh, NC",NC,ACC,37183,37
Miami (FL) Hurricanes,Miami (FL),Garrius Adams,G,78,200,SR,"Apex, NC",NC,ACC,37183,37
North Carolina Tar Heels,North Carolina,Luke Davis,G,72,175,JR,"Raleigh, NC",NC,ACC,37183,37
North Carolina State Wolfpack,NC State,Chris Brickhouse,F,77,205,FR,"Raleigh, NC",NC,ACC,37183,37
North Carolina State Wolfpack,NC State,Staats Battle,G,78,203,JR,"Raleigh, NC",NC,ACC,37183,37
Pittsburgh Panthers,Pittsburgh,Josh Newkirk,G,73,185,FR,"Raleigh, NC",NC,ACC,37183,37
Virginia Cavaliers,Virginia,Caid Kirven,F,80,229,SO,"Raleigh, NC",NC,ACC,37183,37
Wake Forest Demon Deacons,Wake Forest,Madison Jones,G,73,160,SO,"Raleigh, NC",NC,ACC,37183,37
Florida Gulf Coast Eagles,Florida Gulf Coast,Eric McKnight,F,81,210,JR,"Raleigh, NC",NC,Atlantic Sun,37183,37
Mercer Bears,Mercer,John Mosser,G,76,210,FR,"Cary, NC",NC,Atlantic Sun,37183,37
West Virginia Mountaineers,West Virginia,Terry Henderson,G,76,200,SO,"Raleigh, NC",NC,Big 12,37183,37
Campbell Fighting Camels,Campbell,Darius Leonard,C,81,225,JR,"Raleigh, NC",NC,Big South,37183,37
UNC Asheville Bulldogs,UNC Asheville,David Robertson,G,75,185,FR,"Cary, NC",NC,Big South,37183,37
Charlotte 49ers,Charlotte,Gavin Wilson,G,73,208,SO,"Raleigh, NC",NC,Conference USA,37183,37
Charlotte 49ers,Charlotte,Marcus Bryan,F,79,224,FR,"Raleigh, NC",NC,Conference USA,37183,37
East Carolina Pirates,East Carolina,Prince Williams,G,77,200,SO,"Raleigh, NC",NC,Conference USA,37183,37
East Carolina Pirates,East Carolina,Peyton Robbins,G,75,200,SO,"Raleigh, NC",NC,Conference USA,37183,37
Niagara Purple Eagles,Niagara,Rayvon Harris,G-F,77,215,SO,"Raleigh, NC",NC,MAAC,37183,37
Kent State Golden Flashes,Kent State,Melvin Tabb,F,81,255,SR,"Raleigh, NC",NC,Mid-American,37183,37
North Carolina A&T Aggies,N Carolina A&T,Ahmad Abdullah,G,72,176,SO,"Raleigh, NC",NC,MEAC,37183,37
North Carolina Central Eagles,N Carolina Cent,Reggie Groves,G,74,190,SR,"Raleigh, NC",NC,MEAC,37183,37
North Carolina Central Eagles,N Carolina Cent,Emanuel Chapman,G,73,160,SR,"Raleigh, NC",NC,MEAC,37183,37
San Diego State Aztecs,San Diego State,Josh Davis,F,80,215,SR,"Raleigh, NC",NC,Mountain West,37183,37
LIU Brooklyn Blackbirds,LIU Brooklyn,Chris Carter,F,79,185,JR,"Raleigh, NC",NC,Northeast,37183,37
Army Black Knights,Army,Kyle Wilson,G-F,76,190,SO,"Raleigh, NC",NC,Patriot League,37183,37
Army Black Knights,Army,Sean Billerman,G-F,76,195,JR,"Raleigh, NC",NC,Patriot League,37183,37
Lehigh Mountain Hawks,Lehigh,Shane Whitfield,F,79,210,FR,"Raleigh, NC",NC,Patriot League,37183,37
Navy Midshipmen,Navy,James Hemphill,F,78,200,FR,"Raleigh, NC",NC,Patriot League,37183,37
Missouri Tigers,Missouri,Earnest Ross,G,77,228,SR,"Cary, NC",NC,SEC,37183,37
Tennessee Volunteers,Tennessee,Rawane Ndiaye,C,82,275,JR,"Raleigh, NC",NC,SEC,37183,37
Chattanooga Mocs,Chattanooga,Anthanee Doyle,G,73,180,FR,"Holly Springs, NC",NC,Southern,37183,37
Citadel Bulldogs,The Citadel,Quinton Marshall,G,77,205,SO,"Raleigh, NC",NC,Southern,37183,37
Western Carolina Catamounts,W Carolina,Tom Tankelewicz,G,76,180,SR,"Apex, NC",NC,Southern,37183,37
Campbell Fighting Camels,Campbell,Reco McCarter,F,78,195,JR,"Goldsboro, NC",NC,Big South,37191,37
Wake Forest Demon Deacons,Wake Forest,Aaron Rountree III,F,80,195,SO,"Wilson, NC",NC,ACC,37195,37
High Point Panthers,High Point,Brian Richardson,G,76,175,SR,"Wilson, NC",NC,Big South,37195,37
Drexel Dragons,Drexel,Major Canady,G,76,200,FR,"Wilson, NC",NC,Colonial,37195,37
UNC Asheville Bulldogs,UNC Asheville,Alex Biggerstaff,F,76,185,FR,"Burnsville, NC",NC,Big South,37199,37
Georgia Bulldogs,Georgia,John Cannon,C,82,240,JR,"Burnsville, NC",NC,SEC,37199,37
Maine Black Bears,Maine,Ethan Mackey,F,79,220,SO,"Voorheesville, NY",NY,America East,36001,36
New Hampshire Wildcats,New Hampshire,Chris Pelcher,C,82,250,SR,"Albany, NY",NY,America East,36001,36
Syracuse Orange,Syracuse,Nolan Hart,G,70,152,SR,"Albany, NY",NY,ACC,36001,36
St. Peter's Peacocks,St. Peter's,Jamel Fields,G,74,175,JR,"Albany, NY",NY,MAAC,36001,36
Texas A&M-CC Islanders,Texas A&M-CC,Jelani Currie,G,76,185,SO,"Albany, NY",NY,Southland,36001,36
Mississippi Valley State Delta Devils,Miss Valley St,Cameron Dobbs,G,72,173,SO,"Albany, NY",NY,SWAC,36001,36
Hartford Hawks,Hartford,Jeremiah Aska,G,68,165,SR,"Bronx, NY",NY,America East,36005,36
Maine Black Bears,Maine,Xavier Pollard,G,75,190,JR,"Bronx, NY",NY,America East,36005,36
Louisville Cardinals,Louisville,Kevin Ware,G,74,175,JR,"Bronx, NY",NY,American,36005,36
Rutgers Scarlet Knights,Rutgers,Kerwin Okoro,NA,77,220,SO,"Bronx, NY",NY,American,36005,36
Temple Owls,Temple,Daniel Dingle,G-F,79,225,SO,"Bronx, NY",NY,American,36005,36
Fordham Rams,Fordham,Khalid Robinson,G,74,195,SR,"Bronx, NY",NY,Atlantic 10,36005,36
Virginia Commonwealth Rams,VCU,Melvin Johnson,G,75,195,SO,"Bronx, NY",NY,Atlantic 10,36005,36
Kansas State Wildcats,Kansas State,Omari Lawrence,G,75,205,SR,"Bronx, NY",NY,Big 12,36005,36
Portland State Vikings,Portland State,DaShaun Wiggins,G,74,185,JR,"Bronx, NY",NY,Big Sky,36005,36
Long Beach State 49ers,Long Beach St,David Samuels,F,79,220,JR,"Bronx, NY",NY,Big West,36005,36
Hofstra Pride,Hofstra,Moussa Kone,F-C,79,220,JR,"Bronx, NY",NY,Colonial,36005,36
Florida International Golden Panthers,FIU,Jason Boswell,G,78,205,FR,"Bronx, NY",NY,Conference USA,36005,36
Southern Miss Golden Eagles,Southern Miss,Deonte Houston,G,72,180,JR,"Bronx, NY",NY,Conference USA,36005,36
Milwaukee Panthers,Milwaukee,Jordan Aaron,NA,70,160,SR,"Bronx, NY",NY,Horizon,36005,36
Canisius Golden Griffins,Canisius,Chris Manhertz,F,78,235,SR,"Bronx, NY",NY,MAAC,36005,36
Fairfield Stags,Fairfield,Amadou Sidibe,F,80,215,SO,"Bronx, NY",NY,MAAC,36005,36
Fairfield Stags,Fairfield,Justin Jenkins,G,74,175,SO,"Bronx, NY",NY,MAAC,36005,36
Iona Gaels,Iona,Kristian Duravcevic,F,80,215,SR,"Bronx, NY",NY,MAAC,36005,36
Manhattan Jaspers,Manhattan,Tyler Wilson,G,72,175,FR,"Bronx, NY",NY,MAAC,36005,36
Manhattan Jaspers,Manhattan,RaShawn Stores,G,71,190,JR,"Bronx, NY",NY,MAAC,36005,36
Manhattan Jaspers,Manhattan,Emmy Andujar,F,78,205,JR,"Bronx, NY",NY,MAAC,36005,36
Manhattan Jaspers,Manhattan,Ashton Pankey,F,82,225,SO,"Bronx, NY",NY,MAAC,36005,36
Manhattan Jaspers,Manhattan,Michael Alvarado,G,74,180,SR,"Bronx, NY",NY,MAAC,36005,36
Marist Red Foxes,Marist,Kentrall Brooks,F,80,200,FR,"Bronx, NY",NY,MAAC,36005,36
Quinnipiac Bobcats,Quinnipiac,Marquis Barnett,F,80,260,JR,"Bronx, NY",NY,MAAC,36005,36
Bowling Green Falcons,Bowling Green,Josh Gomez,C,82,231,SO,"Bronx, NY",NY,Mid-American,36005,36
Norfolk State Spartans,Norfolk State,Brandon Goode,C,84,235,SR,"Bronx, NY",NY,MEAC,36005,36
North Carolina A&T Aggies,N Carolina A&T,Lamont Middleton,G,75,205,SR,"Bronx, NY",NY,MEAC,36005,36
LIU Brooklyn Blackbirds,LIU Brooklyn,Gerrell Martin,G,74,175,JR,"Bronx, NY",NY,Northeast,36005,36
Sacred Heart Pioneers,Sacred Heart,Tavon Bookman,G,75,175,FR,"Bronx, NY",NY,Northeast,36005,36
St. Francis (NY) Terriers,St Francis (NY),Kevin Douglas,G-F,77,210,JR,"Bronx, NY",NY,Northeast,36005,36
Eastern Illinois Panthers,E Illinois,Dennis Green,G,75,185,FR,"Bronx, NY",NY,Ohio Valley,36005,36
Oregon State Beavers,Oregon State,Devon Collier,F,80,216,SR,"Bronx, NY",NY,Pac-12,36005,36
Lehigh Mountain Hawks,Lehigh,Conroy Baltimore,F,78,210,JR,"Bronx, NY",NY,Patriot League,36005,36
Mississippi State Bulldogs,Mississippi St,Trivante Bloodman,G,72,182,JR,"Bronx, NY",NY,SEC,36005,36
Missouri Tigers,Missouri,Shane Rector,G,73,171,FR,"Bronx, NY",NY,SEC,36005,36
Stephen F. Austin Lumberjacks,SF Austin,Sharife Sergeant,F,81,235,JR,"Bronx, NY",NY,Southland,36005,36
Texas Southern Tigers,Texas Southern,Jose Rodriguez,F,79,215,JR,"Bronx, NY",NY,SWAC,36005,36
St. Bonaventure Bonnies,St. Bonaventure,Danny Farrell,G,72,170,SR,"Binghamton, NY",NY,Atlantic 10,36007,36
Princeton Tigers,Princeton,Bobby Garbade,C,83,234,JR,"Binghamton, NY",NY,Ivy,36007,36
Fairfield Stags,Fairfield,K.J. Rose,G,73,190,FR,"Binghamton, NY",NY,MAAC,36007,36
Youngstown State Penguins,Youngstown St,Fletcher Larson,F,80,215,JR,"Lakewood, NY",NY,Horizon,36013,36
Saint Louis Billikens,Saint Louis,Reggie Agbeko,F,79,240,FR,"Buffalo, NY",NY,Atlantic 10,36029,36
North Dakota,North Dakota,Jamal Webb,G,73,190,SR,"Buffalo, NY",NY,Big Sky,36029,36
Canisius Golden Griffins,Canisius,Adam Weir,G,76,185,FR,"Tonawanda, NY",NY,MAAC,36029,36
Buffalo Bulls,Buffalo,Will Regan,F,80,230,JR,"Buffalo, NY",NY,Mid-American,36029,36
Miami (OH) RedHawks,Miami (OH),Blake McLimans,F-C,82,240,SR,"Hamburg, NY",NY,Mid-American,36029,36
Coppin State Eagles,Coppin State,Dallas Gary,G-F,77,205,JR,"Buffalo, NY",NY,MEAC,36029,36
Fairleigh Dickinson Knights,Fair Dickinson,Matt MacDonald,G,77,185,FR,"Buffalo, NY",NY,Northeast,36029,36
Alabama A&M Bulldogs,Alabama A&M,Jerome Hunter,F-C,80,230,JR,"Buffalo, NY",NY,SWAC,36029,36
Stony Brook Seawolves,Stony Brook,Dave Coley,G,74,190,SR,"Brooklyn, NY",NY,America East,36047,36
Connecticut Huskies,Connecticut,Terrence Samuel,G,76,190,FR,"Brooklyn, NY",NY,American,36047,36
Connecticut Huskies,Connecticut,Omar Calhoun,G,78,200,SO,"Brooklyn, NY",NY,American,36047,36
Connecticut Huskies,Connecticut,Tor Watts,G,73,200,SR,"Brooklyn, NY",NY,American,36047,36
Louisville Cardinals,Louisville,Russ Smith,G,72,165,SR,"Brooklyn, NY",NY,American,36047,36
Fordham Rams,Fordham,Jon Severe,G,75,180,FR,"Brooklyn, NY",NY,Atlantic 10,36047,36
Fordham Rams,Fordham,Bryan Smith,G,74,190,JR,"Brooklyn, NY",NY,Atlantic 10,36047,36
Fordham Rams,Fordham,Branden Frazier,G,75,170,SR,"Brooklyn, NY",NY,Atlantic 10,36047,36
George Mason Patriots,George Mason,Anali Okoloji,F,80,214,JR,"Brooklyn, NY",NY,Atlantic 10,36047,36
Massachusetts Minutemen,Massachusetts,Chaz Williams,G,69,175,SR,"Brooklyn, NY",NY,Atlantic 10,36047,36
Pittsburgh Panthers,Pittsburgh,Derrick Randall,F,81,240,JR,"Brooklyn, NY",NY,ACC,36047,36
Oklahoma State Cowboys,Oklahoma State,Kamari Murphy,F-C,80,220,SO,"Brooklyn, NY",NY,Big 12,36047,36
Texas Tech Red Raiders,Texas Tech,"Jamal Williams, Jr.",G,76,190,SR,"Brooklyn, NY",NY,Big 12,36047,36
Villanova Wildcats,Villanova,JayVaughn Pinkston,F,79,260,JR,"Brooklyn, NY",NY,Big East,36047,36
Longwood Lancers,Longwood,Jeylani Dublin,F,78,225,JR,"Brooklyn, NY",NY,Big South,36047,36
Virginia Military Keydets,VMI,Rodney Glasgow,G,70,170,SR,"Brooklyn, NY",NY,Big South,36047,36
Penn State Nittany Lions,Penn State,Jordan Dickerson,C,84,240,SO,"Brooklyn, NY",NY,Big Ten,36047,36
Florida International Golden Panthers,FIU,Tymell Murphy,F,77,210,SR,"Brooklyn, NY",NY,Conference USA,36047,36
Marshall Thundering Herd,Marshall,Kareem Canty,G,73,185,FR,"Brooklyn, NY",NY,Conference USA,36047,36
Iona Gaels,Iona,Sean Armand,G,77,200,SR,"Brooklyn, NY",NY,MAAC,36047,36
Manhattan Jaspers,Manhattan,Rhamel Brown,F-C,79,230,SR,"Brooklyn, NY",NY,MAAC,36047,36
Manhattan Jaspers,Manhattan,Rich Williams,G,77,190,FR,"Brooklyn, NY",NY,MAAC,36047,36
Marist Red Foxes,Marist,Manny Thomas,F,77,190,JR,"Brooklyn, NY",NY,MAAC,36047,36
Marist Red Foxes,Marist,T.J. Curry,G,73,190,JR,"Brooklyn, NY",NY,MAAC,36047,36
Niagara Purple Eagles,Niagara,Wesley Myers,G,74,180,FR,"Brooklyn, NY",NY,MAAC,36047,36
Kent State Golden Flashes,Kent State,Chris Ortiz,F,80,225,SO,"Brooklyn, NY",NY,Mid-American,36047,36
Kent State Golden Flashes,Kent State,Jimmy Hall,F,79,215,SO,"Brooklyn, NY",NY,Mid-American,36047,36
Bethune-Cookman Wildcats,Bethune-Cookman,Daquan Brown,F,82,215,SR,"Brooklyn, NY",NY,MEAC,36047,36
Coppin State Eagles,Coppin State,Michael Murray,F,77,210,SR,"Brooklyn, NY",NY,MEAC,36047,36
Coppin State Eagles,Coppin State,Jahvari Josiah,G,76,190,JR,"Brooklyn, NY",NY,MEAC,36047,36
Coppin State Eagles,Coppin State,Arnold Fripp,F,79,185,JR,"Brooklyn, NY",NY,MEAC,36047,36
Norfolk State Spartans,Norfolk State,Jamel Fuentes,G,76,190,JR,"Brooklyn, NY",NY,MEAC,36047,36
Nevada Wolf Pack,Nevada,AJ West,F,81,230,JR,"Brooklyn, NY",NY,Mountain West,36047,36
Central Connecticut State Blue Devils,Cent Conn St,Kevin Mickle,F,79,220,FR,"Brooklyn, NY",NY,Northeast,36047,36
LIU Brooklyn Blackbirds,LIU Brooklyn,Darien Best,F,76,290,SO,"Brooklyn, NY",NY,Northeast,36047,36
St. Francis (NY) Terriers,St Francis (NY),Brent Jones,G,70,170,JR,"Brooklyn, NY",NY,Northeast,36047,36
St. Francis (NY) Terriers,St Francis (NY),Edon Molic,G,76,0,SO,"Brooklyn, NY",NY,Northeast,36047,36
St. Francis (NY) Terriers,St Francis (NY),Wayne Martin,F,78,215,FR,"Brooklyn, NY",NY,Northeast,36047,36
Tennessee Tech Golden Eagles,Tennessee Tech,Matt Marseille,G-F,78,205,SR,"Brooklyn, NY",NY,Ohio Valley,36047,36
Colgate Raiders,Colgate,Anthony DeRiggs,G,68,160,JR,"Brooklyn, NY",NY,Patriot League,36047,36
Kentucky Wildcats,Kentucky,Dakari Johnson,C,84,265,FR,"Brooklyn, NY",NY,SEC,36047,36
Sam Houston State Bearkats,Sam Houston,Jabari Peters,G,76,180,JR,"Brooklyn, NY",NY,Southland,36047,36
Prairie View A&M Panthers,PV A&M,Rasi Jenkins,F,80,215,SR,"Brooklyn, NY",NY,SWAC,36047,36
Arkansas-Little Rock Trojans,AR-Little Rock,Leroy Isler,G-F,77,204,SR,"Brooklyn, NY",NY,Sun Belt,36047,36
Texas State Bobcats,Texas State,Naiel Smith,G,77,192,FR,"Brooklyn, NY",NY,Sun Belt,36047,36
Texas State Bobcats,Texas State,Joel Wright,F,79,225,SR,"Brooklyn, NY",NY,Sun Belt,36047,36
Pepperdine Waves,Pepperdine,Malcolm Brooks,G,77,190,JR,"Brooklyn, NY",NY,West Coast,36047,36
Fordham Rams,Fordham,Mandell Thomas,G,74,185,SO,"Rochester, NY",NY,Atlantic 10,36055,36
Fordham Rams,Fordham,Antwoine Anderson,G,73,170,FR,"Rochester, NY",NY,Atlantic 10,36055,36
Syracuse Orange,Syracuse,Chinonso Obokoh,C,82,210,FR,"Rochester, NY",NY,ACC,36055,36
North Carolina-Wilmington Seahawks,UNC-Wilmington,Dylan Sherwood,F,81,215,SO,"Pittsford, NY",NY,Colonial,36055,36
Southern Miss Golden Eagles,Southern Miss,Jerrold Brooks,G,72,200,SR,"Rochester, NY",NY,Conference USA,36055,36
Canisius Golden Griffins,Canisius,Jordan Heath,C,82,240,JR,"Rochester, NY",NY,MAAC,36055,36
Canisius Golden Griffins,Canisius,Josiah Heath,F,81,230,JR,"Rochester, NY",NY,MAAC,36055,36
Monmouth Hawks,Monmouth,Christian White,G,70,180,SO,"Rochester, NY",NY,MAAC,36055,36
Buffalo Bulls,Buffalo,Deyshonee Much,G,77,170,FR,"Rochester, NY",NY,Mid-American,36055,36
Stony Brook Seawolves,Stony Brook,Ahmad Walker,G,76,185,FR,"Port Washington, NY",NY,America East,36059,36
Seton Hall Pirates,Seton Hall,Travis Berry,G,76,185,FR,"Elmont, NY",NY,Big East,36059,36
St. John's Red Storm,St. John's,Jamal White,G,76,206,SR,"Roosevelt, NY",NY,Big East,36059,36
Villanova Wildcats,Villanova,Patrick Farrell,F,77,200,SO,"Rockville Centre, NY",NY,Big East,36059,36
Iowa Hawkeyes,Iowa,Melsahn Basabe,F,79,220,SR,"Glen Cove, NY",NY,Big Ten,36059,36
Towson Tigers,Towson,Jamel Flash,F,82,220,JR,"West Hempstead, NY",NY,Colonial,36059,36
Dartmouth Big Green,Dartmouth,Ikemefuna Ngwudo,F,78,200,FR,"Baldwin, NY",NY,Ivy,36059,36
Manhattan Jaspers,Manhattan,George Beamon,G-F,76,175,SR,"Roslyn, NY",NY,MAAC,36059,36
Marist Red Foxes,Marist,Tourron Whitfield,G,74,170,JR,"Valley Stream, NY",NY,MAAC,36059,36
Quinnipiac Bobcats,Quinnipiac,T'ziah Wood-Smith,G,76,190,JR,"Baldwin, NY",NY,MAAC,36059,36
Coppin State Eagles,Coppin State,Brandon St. Louis,F,80,230,JR,"Valley Stream, NY",NY,MEAC,36059,36
St. Francis (NY) Terriers,St Francis (NY),Matt Milk,C,80,220,SR,"Wantagh, NY",NY,Northeast,36059,36
St. Francis (NY) Terriers,St Francis (NY),Sheldon Hagigal,G,73,185,FR,"Westbury, NY",NY,Northeast,36059,36
Wagner Seahawks,Wagner,Greg Senat,F,80,240,FR,"Elmont, NY",NY,Northeast,36059,36
Maine Black Bears,Maine,Shaun Lawton,G,77,190,SO,"Harlem, NY",NY,America East,36061,36
Massachusetts Lowell River Hawks,UMass Lowell,Chad Holley,G,70,170,JR,"New York, NY",NY,America East,36061,36
Massachusetts Lowell River Hawks,UMass Lowell,Kerry Weldon,F,77,190,SR,"New York, NY",NY,America East,36061,36
Vermont Catamounts,Vermont,Naasir Williams,G,69,165,FR,"New York, NY",NY,America East,36061,36
Dayton Flyers,Dayton,Scoochie Smith,G,74,170,FR,"New York, NY",NY,Atlantic 10,36061,36
Richmond Spiders,Richmond,Derrick Williams,F,78,270,SR,"Harlem, NY",NY,Atlantic 10,36061,36
Kansas State Wildcats,Kansas State,Shane Southwell,G,79,215,SR,"Harlem, NY",NY,Big 12,36061,36
Creighton Bluejays,Creighton,Devin Brooks,G,74,175,JR,"Harlem, NY",NY,Big East,36061,36
Villanova Wildcats,Villanova,Henry Lowe,G,71,185,SO,"New York, NY",NY,Big East,36061,36
Drexel Dragons,Drexel,Chris Fouch,G,74,185,SR,"New York, NY",NY,Colonial,36061,36
Yale Bulldogs,Yale,Armani Cotton,G,79,215,JR,"New York, NY",NY,Ivy,36061,36
Manhattan Jaspers,Manhattan,Shane Richards,F,77,185,SO,"New York, NY",NY,MAAC,36061,36
Siena Saints,Siena,Steven Cruz,G,68,175,SR,"New York, NY",NY,MAAC,36061,36
Hampton Pirates,Hampton,Du'Vaughn Maxwell,F,79,215,SR,"Manhattan, NY",NY,MEAC,36061,36
Norfolk State Spartans,Norfolk State,Zieyik Estime,G,78,185,SR,"Manhattan, NY",NY,MEAC,36061,36
Bryant University Bulldogs,Bryant,Alex Francis,F,78,205,SR,"Harlem, NY",NY,Northeast,36061,36
St. Francis (NY) Terriers,St Francis (NY),Yunus Hopkinson,G,70,180,FR,"New York, NY",NY,Northeast,36061,36
St. Francis (NY) Terriers,St Francis (NY),Amdy Fall,F,78,210,SO,"New York, NY",NY,Northeast,36061,36
Austin Peay Governors,Austin Peay,Travis Betran,G,75,185,SR,"Harlem, NY",NY,Ohio Valley,36061,36
Boston University Terriers,Boston U,Malik Thomas,G-F,79,190,JR,"Harlem, NY",NY,Patriot League,36061,36
South Dakota Coyotes,South Dakota,Karim Rowson,G,77,195,SR,"New York, NY",NY,Summit League,36061,36
Liberty Flames,Liberty,Davon Marshall,G,71,170,SR,"Niagara Falls, NY",NY,Big South,36063,36
Canisius Golden Griffins,Canisius,Jermaine Crumpton,F,78,220,FR,"Niagara Falls, NY",NY,MAAC,36063,36
Marist Red Foxes,Marist,Adam Kemp,C,82,235,SR,"Sherrill, NY",NY,MAAC,36065,36
Colgate Raiders,Colgate,Pat Moore,G,77,200,SR,"Whitesboro, NY",NY,Patriot League,36065,36
St. Bonaventure Bonnies,St. Bonaventure,Denzel Gregg,G-F,79,210,FR,"Syracuse, NY",NY,Atlantic 10,36067,36
Syracuse Orange,Syracuse,DaJuan Coleman,C,81,280,SO,"Jamesville, NY",NY,ACC,36067,36
Wake Forest Demon Deacons,Wake Forest,Tyler Cavanaugh,F,81,230,SO,"Jamesville, NY",NY,ACC,36067,36
Bryant University Bulldogs,Bryant,Zach Chionuma,G,77,185,JR,"Jamesville, NY",NY,Northeast,36067,36
Boston University Terriers,Boston U,Dylan Haines,F,84,230,FR,"Liverpool, NY",NY,Patriot League,36067,36
Canisius Golden Griffins,Canisius,Phil Valenti,F,79,195,FR,"Victor, NY",NY,MAAC,36069,36
Virginia Cavaliers,Virginia,Mike Tobey,F-C,83,253,SO,"Monroe, NY",NY,ACC,36071,36
Wichita State Shockers,Wichita State,Cleanthony Early,F,80,219,SR,"Middletown, NY",NY,Missouri Valley,36071,36
Albany Great Danes,Albany,Ede Egharevba,F,78,210,SO,"Rosedale, NY",NY,America East,36081,36
Binghamton Bearcats,Binghamton,Roland Brown,C,80,240,SR,"Queens, NY",NY,America East,36081,36
Cincinnati Bearcats,Cincinnati,Jermaine Lawrence,F,81,205,FR,"Springfield Gardens, NY",NY,American,36081,36
Cincinnati Bearcats,Cincinnati,Jermaine Sanders,F,77,210,JR,"Far Rockaway, NY",NY,American,36081,36
Rutgers Scarlet Knights,Rutgers,Kadeem Jack,F-C,81,230,JR,"Queens, NY",NY,American,36081,36
George Mason Patriots,George Mason,Marquise Moore,G,73,195,FR,"Queens, NY",NY,Atlantic 10,36081,36
St. John's Red Storm,St. John's,Khadim Ndiaye,F,78,195,JR,"Queens, NY",NY,Big East,36081,36
Hofstra Pride,Hofstra,Stephen Nwaukoni,F-C,80,240,SR,"Queens, NY",NY,Colonial,36081,36
Southern Miss Golden Eagles,Southern Miss,Michael Reid,G,72,165,FR,"Queens, NY",NY,Conference USA,36081,36
Fairfield Stags,Fairfield,Maurice Barrow,F,77,210,SR,"Hollis, NY",NY,MAAC,36081,36
Iona Gaels,Iona,Mike Poole,G-F,78,200,SR,"Rosedale, NY",NY,MAAC,36081,36
Marist Red Foxes,Marist,Chavaughn Lewis,G-F,77,185,JR,"Queens, NY",NY,MAAC,36081,36
Niagara Purple Eagles,Niagara,Antoine Mason,G,75,210,JR,"Queens, NY",NY,MAAC,36081,36
Quinnipiac Bobcats,Quinnipiac,Evan Conti,G,75,208,JR,"Bayside, NY",NY,MAAC,36081,36
Siena Saints,Siena,Marcus Hopper,F,79,248,JR,"Queens, NY",NY,MAAC,36081,36
Eastern Michigan Eagles,E Michigan,Mo Hughley,F,79,240,SR,"Queens Village, NY",NY,Mid-American,36081,36
Coppin State Eagles,Coppin State,Andre Armstrong,G,75,205,SR,"Jamaica, NY",NY,MEAC,36081,36
