school,school_short,name,position,weight,height,year,hometown,state,conference,county_code,state_code
St. Bonaventure Bonnies,St. Bonaventure,Jean Yves Toupane,G-F,79,185,SO,"Dakar, Senegal",Senegal,Atlantic 10,0,0
Boston College Eagles,Boston College,Will Magarity,F,83,227,FR,"Stockholm, Sweden",Sweden,ACC,0,0
Boston College Eagles,Boston College,Olivier Hanlan,G,76,181,SO,"Aylmer, PQ",PQ,ACC,0,0
Boston College Eagles,Boston College,Patrick Heckmann,G,77,211,JR,"Mainz, Germany",Germany,ACC,0,0
Clemson Tigers,Clemson,Landry Nnoko,C,82,250,SO,"Yaounde, Cameroon",Cameroon,ACC,0,0
Clemson Tigers,Clemson,Ibrahim Djambo,F,82,215,JR,"Bamako, Mali",Mali,ACC,0,0
Clemson Tigers,Clemson,Sidy Djitte,C,82,240,FR,"Dakar, Senegal",Senegal,ACC,0,0
Florida State Seminoles,Florida State,Robert Gilchrist,F,81,220,SR,"London, England",England,ACC,0,0
Florida State Seminoles,Florida State,Boris Bojanovsky,C,87,240,SO,--,--,ACC,0,0
Florida State Seminoles,Florida State,Xavier Rathan-Mayes,G,76,180,FR,"Scarborough, ON",ON,ACC,0,0
Florida State Seminoles,Florida State,Michael Ojo,C,85,290,SO,"Lagos, Nigeria",Nigeria,ACC,0,0
Maryland Terrapins,Maryland,Shaquille Cleare,C,81,265,SO,"Andros, Bahamas",Bahamas,ACC,0,0
Miami (FL) Hurricanes,Miami (FL),Raphael Akpejiori,F,81,241,SR,"Lagos, Nigeria",Nigeria,ACC,0,0
Miami (FL) Hurricanes,Miami (FL),Manu Lecomte,G,71,159,FR,--,--,ACC,0,0
North Carolina Tar Heels,North Carolina,J.P. Tokoto,F,77,200,SO,--,--,ACC,0,0
North Carolina Tar Heels,North Carolina,Nate Britt,G,71,165,FR,--,--,ACC,0,0
North Carolina State Wolfpack,NC State,Jordan Vandenberg,C,85,245,SR,--,--,ACC,0,0
Notre Dame Fighting Irish,Notre Dame,Cameron Biedscheid,F,79,186,SO,--,--,ACC,0,0
Notre Dame Fighting Irish,Notre Dame,Eric Katenda,F,81,230,SO,"Paris, France",France,ACC,0,0
Pittsburgh Panthers,Pittsburgh,Talib Zanna,F,81,230,SR,--,--,ACC,0,0
Pittsburgh Panthers,Pittsburgh,Joseph Uchebo,C,82,260,SO,"Enugu, Nigeria",Nigeria,ACC,0,0
Syracuse Orange,Syracuse,Tyler Ennis,G,74,180,FR,"Brampton, ON",ON,ACC,0,0
Syracuse Orange,Syracuse,Baye-Moussa Keita,C,82,220,SR,--,--,ACC,0,0
Syracuse Orange,Syracuse,Baye Keita,C,0,0, -- ,--,--,ACC,0,0
Virginia Cavaliers,Virginia,Evan Nolte,F,80,227,SO,--,--,ACC,0,0
Virginia Tech Hokies,Virginia Tech,Malik Mueller,G,75,210,FR,--,--,ACC,0,0
Virginia Tech Hokies,Virginia Tech,Joey Van Zegeren,F,82,225,SO,--,--,ACC,0,0
Wake Forest Demon Deacons,Wake Forest,Arnaud-William Adala Moto,NA,78,225,SO,"Yaounde, Cameroon",Cameroon,ACC,0,0
Florida Gulf Coast Eagles,Florida Gulf Coast,Filip Cvjeticanin,F,81,218,JR,"Zagreb, Croatia",Croatia,Atlantic Sun,0,0
Kennesaw State Owls,Kennesaw State,Bernard Morena,F,80,200,FR,"Abidjan, Ivory Coast",Ivory Coast,Atlantic Sun,0,0
Kennesaw State Owls,Kennesaw State,Willy Kouassi,C,82,230,SO,"Abidjan, Ivory Coast",Ivory Coast,Atlantic Sun,0,0
Mercer Bears,Mercer,Monty Brown,C,83,250,SR,--,--,Atlantic Sun,0,0
North Florida Ospreys,North Florida,Demarcus Daniels,NA,0,0, -- ,--,--,Atlantic Sun,0,0
North Florida Ospreys,North Florida,Charles Mccroy,NA,0,0, -- ,--,--,Atlantic Sun,0,0
Northern Kentucky Norse,Northern Kentucky,Jack Flournoy,F,78,210,SO,--,--,Atlantic Sun,0,0
Northern Kentucky Norse,Northern Kentucky,Jordan Jackson,G,74,180,JR,--,--,Atlantic Sun,0,0
Northern Kentucky Norse,Northern Kentucky,Jake Giesler,C,79,230,SO,--,--,Atlantic Sun,0,0
Stetson Hatters,Stetson,Kentwan Smith,F,80,205,JR,--,--,Atlantic Sun,0,0
Stetson Hatters,Stetson,Leke Solanke,F,78,215,SO,--,--,Atlantic Sun,0,0
Stetson Hatters,Stetson,Cameron Hardy,NA,0,0, -- ,--,--,Atlantic Sun,0,0
USC Upstate Spartans,USC Upstate,ShunQuez Stephens,F,77,245,SO,--,--,Atlantic Sun,0,0
USC Upstate Spartans,USC Upstate,Mario Blessing,G,74,165,JR,--,--,Atlantic Sun,0,0
USC Upstate Spartans,USC Upstate,Racine Talla,F,80,195,FR,"Dakar, Senegal",Senegal,Atlantic Sun,0,0
Baylor Bears,Baylor,Kenny Chery,G,71,180,JR,"Montreal, PQ",PQ,Big 12,0,0
Baylor Bears,Baylor,Brady Heslip,G,74,180,SR,"Burlington, ON",ON,Big 12,0,0
Iowa State Cyclones,Iowa State,Melvin Ejim,F,78,220,SR,"Toronto, ON",ON,Big 12,0,0
Iowa State Cyclones,Iowa State,Naz Long,G,76,205,SO,"Mississauga, ON",ON,Big 12,0,0
Iowa State Cyclones,Iowa State,Kj Bluford,NA,0,0, -- ,--,--,Big 12,0,0
Kansas Jayhawks,Kansas,Joel Embiid,C,84,250,FR,--,--,Big 12,0,0
Kansas Jayhawks,Kansas,Andrew Wiggins,G,80,200,FR,"Thornhill, ON",ON,Big 12,0,0
Kansas State Wildcats,Kansas State,Nino Williams,F,77,220,JR,--,--,Big 12,0,0
Kansas State Wildcats,Kansas State,D.J. Johnson,F,81,250,SO,--,--,Big 12,0,0
Oklahoma Sooners,Oklahoma,Buddy Hield,G,76,208,SO,"Freeport, GB",GB,Big 12,0,0
Oklahoma State Cowboys,Oklahoma State,Marek Soucek,F-C,84,240,JR,"Brno, Czech Republic",Czech Republic,Big 12,0,0
TCU Horned Frogs,TCU,Kemal Dincer,G,75,187,SO,"Istanbul, Turkey",Turkey,Big 12,0,0
Texas Tech Red Raiders,Texas Tech,Dejan Kravic,F,84,235,SR,"London, ON",ON,Big 12,0,0
Texas Tech Red Raiders,Texas Tech,Kader Tapsoba,F,82,225,SR,--,--,Big 12,0,0
Texas Tech Red Raiders,Texas Tech,Patrick Strakes,NA,0,0, -- ,--,--,Big 12,0,0
West Virginia Mountaineers,West Virginia,Gary Browne,G,73,195,JR,--,--,Big 12,0,0
West Virginia Mountaineers,West Virginia,Remi Dibo,F,79,225,JR,--,--,Big 12,0,0
Butler Bulldogs,Butler,Jackson Aldridge,G,72,187,JR,--,--,Big East,0,0
Butler Bulldogs,Butler,Roosevelt Jones,F,76,227,JR,--,--,Big East,0,0
Butler Bulldogs,Butler,Nolan Berry,F-C,82,200,FR,--,--,Big East,0,0
Creighton Bluejays,Creighton,Jahenns Manigat,G,73,180,SR,"Ottawa, ON",ON,Big East,0,0
Creighton Bluejays,Creighton,Isaiah Zierden,G,74,180,FR,--,--,Big East,0,0
Creighton Bluejays,Creighton,Mogboluwaga Oginni,F,80,225,SO,--,--,Big East,0,0
DePaul Blue Demons,DePaul,Greg Sequele,F,81,215,JR,--,--,Big East,0,0
DePaul Blue Demons,DePaul,Sandi Marcius,F,82,255,SR,--,--,Big East,0,0
Georgetown Hoyas,Georgetown,Moses Ayegba,C,81,247,SR,--,--,Big East,0,0
Providence Friars,Providence,Brice Kofane,F,80,210,JR,"Yaounde, Cameroon",Cameroon,Big East,0,0
Providence Friars,Providence,Lee Goldsbrough,F,81,230,SR,"Newcastle, England",England,Big East,0,0
Seton Hall Pirates,Seton Hall,Tom Maayan,G,74,175,SO,--,--,Big East,0,0
Seton Hall Pirates,Seton Hall,Haralds Karlis,G,78,210,JR,--,--,Big East,0,0
Seton Hall Pirates,Seton Hall,Patrik Auda,F,81,235,JR,"Brno, Czech Republic",Czech Republic,Big East,0,0
Seton Hall Pirates,Seton Hall,Stephane Manga,F,78,230,JR,--,--,Big East,0,0
Seton Hall Pirates,Seton Hall,Aaron Geramipoor,F-C,83,245,SR,"Manchester, England",England,Big East,0,0
St. John's Red Storm,St. John's,Marc-Antoine Bourgault,G-F,79,206,SR,--,--,Big East,0,0
St. John's Red Storm,St. John's,God'sgift Achiuwa,F,80,230,SR,"Port Harcourt, Nigeria",Nigeria,Big East,0,0
St. John's Red Storm,St. John's,Chris Obekpa,C,81,240,SO,--,--,Big East,0,0
St. John's Red Storm,St. John's,Felix Balamou,G,76,199,SO,--,--,Big East,0,0
St. John's Red Storm,St. John's,Orlando Sanchez,F,81,232,SR,"Nagua, Dominican Republic",Dominican Republic,Big East,0,0
Villanova Wildcats,Villanova,Dylan Ennis,G,74,182,SO,"Brampton, ON",ON,Big East,0,0
Eastern Washington Eagles,E Washington,Daniel Hill,G,69,165,SO,--,--,Big Sky,0,0
Eastern Washington Eagles,E Washington,Martin Seiferth,F,82,235,JR,"Berlin, Germany",Germany,Big Sky,0,0
Eastern Washington Eagles,E Washington,Thomas Reuter,F,78,230,SO,--,--,Big Sky,0,0
Eastern Washington Eagles,E Washington,Frederik Jorg,F,85,290,SO,--,--,Big Sky,0,0
Eastern Washington Eagles,E Washington,Felix Von Hofe,F,77,200,FR,--,--,Big Sky,0,0
Eastern Washington Eagles,E Washington,Venky Jois,F,79,230,SO,--,--,Big Sky,0,0
Eastern Washington Eagles,E Washington,Ognjen Miljkovic,F,79,220,FR,--,--,Big Sky,0,0
