UMass Lowell River Hawks,UMass Lowell,Brad Schaub,G-F,78,180,FR,"Marlette, MI",MI
UMass Lowell River Hawks,UMass Lowell,Parris Massey,C,79,220,SR,"Boston, MA",MA
UMBC Retrievers,UMBC,Aaron Morgan,G,71,175,JR,"Langhorne, PA",PA
UMBC Retrievers,UMBC,Malcolm Brent,G,77,190,FR,"Silver Spring, MD",MD
UMBC Retrievers,UMBC,Rodney Elliott,G,72,180,SO,"Baltimore, MD",MD
UMBC Retrievers,UMBC,Ben Grace,G,70,165,SO,"Baltimore, MD",MD
UMBC Retrievers,UMBC,Wayne Sparrow,G,75,180,SR,"Baltimore, MD",MD
UMBC Retrievers,UMBC,Jourdan Grant,G,74,180,FR,"Bowie, MD",MD
UMBC Retrievers,UMBC,Charles Taylor,G-F,76,190,SO,"Silver Spring, MD",MD
UMBC Retrievers,UMBC,Will Darley,G,80,185,SO,"Timonium, MD",MD
UMBC Retrievers,UMBC,Devarick Houston,F,79,190,SR,"Jonesboro, GA",GA
UMBC Retrievers,UMBC,Malik Garner,F,78,225,JR,"Philadelphia, PA",PA
UMBC Retrievers,UMBC,Lamell Washington,F,78,205,FR,"Frederick, MD",MD
UMBC Retrievers,UMBC,Jakob Stenhede,F,82,200,FR,"Gothenburg, Sweden",Sweden
UMBC Retrievers,UMBC,Cody Joyce,F,80,220,JR,"Churchton, MD",MD
Vermont Catamounts,Vermont,Brandon Hatton,G,75,195,FR,"Independence, KY",KY
Vermont Catamounts,Vermont,Zach McRoberts,F,78,185,FR,"Carmel, IN",IN
Vermont Catamounts,Vermont,Trae Bell-Haynes,G,74,170,FR,"Toronto, ON",ON
Vermont Catamounts,Vermont,Ryan Pierson,F-C,82,240,SR,"St. Louis, MO",MO
Vermont Catamounts,Vermont,Hector Harold,F,79,205,SR,"Pasadena, CA",CA
Vermont Catamounts,Vermont,Darren Payen,F,80,220,JR,"Milford, CT",CT
Vermont Catamounts,Vermont,Cam Ward,G,74,160,FR,"Marshall, WI",WI
Vermont Catamounts,Vermont,Brendan Kilpatrick,G-F,77,205,SO,"Norristown, PA",PA
Vermont Catamounts,Vermont,Ernie Duncan,G,75,185,FR,"Evansville, IN",IN
Vermont Catamounts,Vermont,Dre Wills,G,73,175,SO,"Indianapolis, IN",IN
Vermont Catamounts,Vermont,Drew Urquhart,F,80,225,FR,"Vancouver, BC",BC
Vermont Catamounts,Vermont,Ethan O'Day,F,81,205,JR,"MANSFIELD, CT",CT
Vermont Catamounts,Vermont,Kurt Steidl,F,78,185,SO,"Ridgefield, CT",CT
Vermont Catamounts,Vermont,Kurt Steidl,F,0,--,FR,--,--
Cincinnati Bearcats,Cincinnati,Quadri Moore,F,80,230,FR,"Linden, NJ",NJ
Cincinnati Bearcats,Cincinnati,Deshaun Morman,G,75,190,FR,"Richmond, VA",VA
Cincinnati Bearcats,Cincinnati,Octavius Ellis,F,82,230,JR,"Memphis, TN",TN
Cincinnati Bearcats,Cincinnati,Shaquille Thomas,F,79,205,JR,"Paterson, NJ",NJ
Cincinnati Bearcats,Cincinnati,Troy Caupain,G,75,200,SO,"Midlothian, VA",VA
Cincinnati Bearcats,Cincinnati,Gary Clark,F,79,230,FR,"Clayton, NC",NC
Cincinnati Bearcats,Cincinnati,Ge'Lawn Guyn,G,74,185,SR,"Lexington, KY",KY
Cincinnati Bearcats,Cincinnati,Jermaine Sanders,F,77,210,SR,"Far Rockaway, NY",NY
Cincinnati Bearcats,Cincinnati,Farad Cobb,G,72,165,JR,"West Palm Beach, FL",FL
Cincinnati Bearcats,Cincinnati,Coreontae DeBerry,C,82,270,JR,"Holland, MI",MI
Cincinnati Bearcats,Cincinnati,Kevin Johnson,G,74,175,SO,"Cincinnati, OH",OH
Cincinnati Bearcats,Cincinnati,Jamaree Strickland,C,82,270,FR,"Oakland, CA",CA
Cincinnati Bearcats,Cincinnati,Zack Tobler,F,77,215,SO,"Fort Mitchell, KY",KY
Connecticut Huskies,Connecticut,Phillip Nolan,F,82,237,JR,"Milwaukee, WI",WI
Connecticut Huskies,Connecticut,Terrence Samuel,G,76,202,SO,"Brooklyn, NY",NY
Connecticut Huskies,Connecticut,Daniel Hamilton,G-F,79,190,FR,"Los Angeles, CA",CA
Connecticut Huskies,Connecticut,Sam Cassell Jr.,G,76,192,SO,"Baltimore, MD",MD
Connecticut Huskies,Connecticut,Ryan Boatright,G,72,175,SR,"Aurora, IL",IL
Connecticut Huskies,Connecticut,Kentan Facey,F,81,206,SO,"Kingston, Jamaica",Jamaica
Connecticut Huskies,Connecticut,Rakim Lubin,F,80,260,FR,"Miami, FL",FL
Connecticut Huskies,Connecticut,Omar Calhoun,G,77,205,JR,"Brooklyn, NY",NY
Connecticut Huskies,Connecticut,Pat Lenehan,G,75,190,SR,"Cheshire, CT",CT
Connecticut Huskies,Connecticut,Nnamdi Amilo,G,75,225,JR,"New Fairfield, CT",CT
Connecticut Huskies,Connecticut,Amida Brimah,C,84,230,SO,"Accra, Ghana",Ghana
Connecticut Huskies,Connecticut,Rodney Purvis,G,76,205,SO,"Raleigh, NC",NC
East Carolina Pirates,East Carolina,Terry Whisnant,G,75,180,JR,"Cherryville, NC",NC
East Carolina Pirates,East Carolina,Grant Bryant,F,77,205,FR,"Kennesaw, GA",GA
East Carolina Pirates,East Carolina,Caleb White,F,79,190,SO,"Buckingham, VA",VA
East Carolina Pirates,East Carolina,Prince Williams,G,77,200,JR,"Raleigh, NC",NC
East Carolina Pirates,East Carolina,Lance Tejada,G,74,190,FR,"Pompano Beach, FL",FL
East Carolina Pirates,East Carolina,Francis Edosomwan,G,75,220,SR,"Charlotte, NC",NC
East Carolina Pirates,East Carolina,Antonio Robinson,G,76,175,SR,"Winston-salem, NC",NC
East Carolina Pirates,East Carolina,Michel-Ofik Nzege,F,79,215,SO,"Geneva, Switzerland",Switzerland
East Carolina Pirates,East Carolina,Peyton Robbins,G,75,200,JR,"Raleigh, NC",NC
East Carolina Pirates,East Carolina,B.J. Tyson,G,75,190,FR,"Wadesboro, NC",NC
East Carolina Pirates,East Carolina,Paris Roberts-Campbell,G,75,185,SR,"Charlotte, NC",NC
East Carolina Pirates,East Carolina,Keith Armstrong,F,79,240,JR,"Raleigh, NC",NC
East Carolina Pirates,East Carolina,Greg Alexander,G,76,200,SO,"Hampton, VA",VA
East Carolina Pirates,East Carolina,Michael Zangari,F,81,230,JR,"Lewisberry, PA",PA
East Carolina Pirates,East Carolina,Marshall Guilmette,F,82,250,SO,"Kennesaw, GA",GA
East Carolina Pirates,East Carolina,Kanu Aja,F,81,245,JR,"Baltimore, MD",MD
Houston Cougars,Houston,Danrad Knowles,F,82,190,SO,"Houston, TX",TX
Houston Cougars,Houston,Mikhail McLean,F,80,205,SR,"Nassau, Bahamas",Bahamas
Houston Cougars,Houston,Torian Graham,G,76,200,JR,"Durham, NC",NC
Houston Cougars,Houston,Cavon Baker,G,74,185,JR,"Queens, NY",NY
Houston Cougars,Houston,LeRon Barnes,G,78,195,JR,"Stonewall, LA",LA
Houston Cougars,Houston,L.J. Rose,G,76,190,JR,"Houston, TX",TX
Houston Cougars,Houston,Ronnie Johnson,G,72,180,JR,"Indianapolis, IN",IN
Houston Cougars,Houston,Adam Drexler,F,77,205,SO,"Houston, TX",TX
Houston Cougars,Houston,Jherrod Stiggers,G,77,210,JR,"Terrell, TX",TX
Houston Cougars,Houston,Egi Gjikondi,F,81,240,FR,"Malden, MA",MA
Houston Cougars,Houston,Tyus Bowser,G,75,225,SO,"Tyler, TX",TX
Houston Cougars,Houston,Bertrand Nkali,F,81,220,JR,"Yaounde, Cameroon",Cameroon
Houston Cougars,Houston,Devonta Pollard,F,80,215,JR,"Porterville, MS",MS
Houston Cougars,Houston,Wes VanBeck,G,74,180,FR,"Houston, TX",TX
Houston Cougars,Houston,J.C. Washington,F,78,220,FR,"Houston, TX",TX
