artist,debut_year,year,years_since_debut,debut_position,debut_songs,total_hits,best_position,return_songs,best_return_position,last_year,years_since_last
MJG,2006,2013,7,92,1,1,92,0,,2006,7
Mac Davis,1972,2013,41,8,1,2,8,0,,1974,39
Mac Miller,2013,2013,0,31,1,1,31,0,,2013,0
Mac and Katie Kissoon,1971,2013,42,71,1,1,71,0,,1971,42
Macklemore,2013,2013,0,1,3,3,1,0,,2013,0
Macy Gray,2000,2013,13,26,1,1,26,0,,2000,13
Madness,1983,2013,30,53,1,1,53,0,,1983,30
Madonna,1984,2013,29,35,3,36,2,0,,2008,5
Magoo And Timbaland,1997,2013,16,58,1,1,58,0,,1997,16
Main Ingredient,1972,2013,41,29,1,2,29,0,,1974,39
Majid Jordan,2013,2013,0,34,1,1,34,0,,2013,0
Major Harris,1975,2013,38,24,1,1,24,0,,1975,38
Major Lance,1963,2013,50,49,1,2,47,0,,1964,49
Mama Cass Elliot,1969,2013,44,55,1,1,55,0,,1969,44
"Mama's and The Papa's",1966,2013,47,7,2,3,7,0,,1967,46
Manfred Mann,1964,2013,49,15,1,2,15,0,,1968,45
"Manfred Mann's. Earth Band",1977,2013,36,36,1,1,36,0,,1977,36
Manhattan Transfer,1981,2013,32,36,1,1,36,0,,1981,32
Manhattans,1976,2013,37,6,1,2,6,0,,1980,33
Mannie Fresh,1999,2013,14,75,1,1,75,0,,1999,14
Mantovani,1957,2013,56,65,1,1,65,0,,1957,56
Mar-Keys,1961,2013,52,15,1,1,15,0,,1961,52
Marc Anthony,1999,2013,14,79,1,3,22,0,,2000,13
Marcels,1961,2013,52,40,1,1,40,0,,1961,52
Marcy Playground,1998,2013,15,28,1,1,28,0,,1998,15
Margie Rayburn,1957,2013,56,90,1,1,90,0,,1957,56
Maria Muldaur,1974,2013,39,13,1,1,13,0,,1974,39
Mariah Carey,1990,2013,23,6,2,33,1,0,,2013,0
Marilyn Martin,1985,2013,28,50,1,1,50,0,,1985,28
Marilyn McCoo,1977,2013,36,27,1,1,27,0,,1977,36
Mario,2002,2013,11,34,1,3,3,0,,2009,4
Mario Winans,2002,2013,11,18,1,2,7,0,,2004,9
Mark Chesnutt,1999,2013,14,67,1,1,67,0,,1999,14
Mark Dinning,1960,2013,53,5,1,1,5,0,,1960,53
Mark Lindsay,1970,2013,43,66,1,1,66,0,,1970,43
Mark Morrison,1997,2013,16,8,1,1,8,0,,1997,16
Mark Wills,2003,2013,10,84,1,1,84,0,,2003,10
Marketts,1964,2013,49,60,1,1,60,0,,1964,49
Marky Mark And The Funky Bunch,1992,2013,21,69,1,1,69,0,,1992,21
Marky Mark and The Funky Bunch,1991,2013,22,20,1,1,20,0,,1991,22
Marmalade,1970,2013,43,43,1,1,43,0,,1970,43
Maroon 5,2004,2013,9,4,2,12,4,0,,2013,0
Marshall Tucker Band,1977,2013,36,57,1,1,57,0,,1977,36
Martha and The Vandella,1967,2013,46,36,1,1,36,0,,1967,46
Martha and The Vandellas,1963,2013,50,32,2,4,17,0,,1965,48
Martika,1989,2013,24,29,1,1,29,0,,1989,24
Martin Denny,1959,2013,54,18,1,1,18,0,,1959,54
Martin Page,1995,2013,18,35,1,1,35,0,,1995,18
Marty Balin,1981,2013,32,41,1,1,41,0,,1981,32
Marty Robbins,1957,2013,56,17,1,3,15,0,,1961,52
Marty Robins,1958,2013,55,98,1,1,98,0,,1958,55
Marv Johnson,1960,2013,53,46,2,2,46,0,,1960,53
Marvelettes,1962,2013,51,27,1,2,27,0,,1966,47
Marvin Gaye,1963,2013,50,72,1,17,4,0,,2001,12
Marvin Hamlisch,1974,2013,39,48,1,1,48,0,,1974,39
Marvin Rainwater,1957,2013,56,95,1,1,95,0,,1957,56
Mary Hopkin,1968,2013,45,30,1,1,30,0,,1968,45
Mary J. Blige,1992,2013,21,85,1,10,11,0,,2008,5
Mary Jane Girls,1985,2013,28,63,1,1,63,0,,1985,28
Mary Lambert,2013,2013,0,43,1,1,43,0,,2013,0
Mary MacGregor,1977,2013,36,10,1,1,10,0,,1977,36
Mary Mary,2000,2013,13,100,1,1,100,0,,2000,13
Mary Wells,1962,2013,51,19,2,3,7,0,,1964,49
Mase,1997,2013,16,86,1,5,31,0,,1999,14
Mason Williams,1968,2013,45,43,1,1,43,0,,1968,45
Master P,1998,2013,15,40,2,2,40,0,,1998,15
Matchbox 20,1999,2013,14,49,1,1,49,0,,1999,14
Matt Monroe,1961,2013,52,84,1,1,84,0,,1961,52
Matthew Santos,2008,2013,5,63,1,1,63,0,,2008,5
Matthew Wilder,1984,2013,29,27,1,1,27,0,,1984,29
"Matthews' Southern Comfort",1971,2013,42,79,1,1,79,0,,1971,42
Maureen McGovern,1973,2013,40,28,1,1,28,0,,1973,40
Maurice Williams,1960,2013,53,98,1,1,98,0,,1960,53
Maxi Priest,1990,2013,23,17,1,2,17,0,,1996,17
Maxine Nightingale,1976,2013,37,28,1,2,24,0,,1979,34
Maxwell,1999,2013,14,24,1,2,24,0,,2009,4
Mc Lyte,1996,2013,17,77,1,2,61,0,,1997,16
McCoys,1965,2013,48,30,1,1,30,0,,1965,48
McFadden and Whitehead,1979,2013,34,65,1,1,65,0,,1979,34
McGuire Sisters,1956,2013,57,69,1,2,26,0,,1958,55
"Me'shell Ndegeocello",1994,2013,19,15,1,1,15,0,,1994,19
Meat Loaf,1978,2013,35,30,1,4,30,0,,1994,19
Meco,1977,2013,36,71,1,1,71,0,,1977,36
Mel Carter,1965,2013,48,14,1,1,14,0,,1965,48
Mel and Tim,1972,2013,41,38,1,1,38,0,,1972,41
Melanie,1972,2013,41,9,1,1,9,0,,1972,41
Melanie and The Edwin Hawkins Singers,1970,2013,43,23,1,1,23,0,,1970,43
Melissa Etheridge,1994,2013,19,43,2,5,43,0,,1996,17
Melissa Manchester,1975,2013,38,54,1,3,18,0,,1982,31
Mellow Man Ace,1990,2013,23,99,1,1,99,0,,1990,23
Men At Work,1982,2013,31,30,1,4,4,0,,1983,30
Men Without Hats,1983,2013,30,35,1,1,35,0,,1983,30
Mercy,1969,2013,44,42,1,1,42,0,,1969,44
Meredith Brooks,1997,2013,16,15,1,1,15,0,,1997,16
Merril Bainbridge,1996,2013,17,53,1,2,42,0,,1997,16
Merrilee Rush,1968,2013,45,28,1,1,28,0,,1968,45
Metallica,1996,2013,17,92,1,1,92,0,,1996,17
Method Man-Mary J. Blige,1995,2013,18,42,1,1,42,0,,1995,18
Metro Station,2008,2013,5,32,1,1,32,0,,2008,5
Miami Sound Machine,1986,2013,27,40,3,7,13,0,,1988,25
Michael Bolton,1990,2013,23,12,3,10,12,0,,1997,16
Michael Buble,2010,2013,3,39,1,1,39,0,,2010,3
Michael Damian,1989,2013,24,45,1,1,45,0,,1989,24
Michael Franti,2009,2013,4,97,1,1,97,0,,2009,4
Michael Jackson,1972,2013,41,20,2,26,2,0,,2002,11
Michael Johnson,1978,2013,35,81,1,1,81,0,,1978,35
Michael McDonald,1982,2013,31,81,1,4,4,0,,1986,27
Michael Murphy,1975,2013,38,39,1,2,39,0,,1982,31
Michael Sembello,1983,2013,30,9,1,1,9,0,,1983,30
Michael W. Smith,1991,2013,22,77,1,1,77,0,,1991,22
"Michel'le",1990,2013,23,50,1,1,50,0,,1990,23
Michelle Branch,2002,2013,11,23,1,3,23,0,,2003,10
Mickey Gilley,1980,2013,33,82,1,1,82,0,,1980,33
Mickey and Sylvia,1957,2013,56,78,1,1,78,0,,1957,56
Miguel,2011,2013,2,92,1,5,48,0,,2013,0
Mike Jones,2005,2013,8,92,1,2,41,0,,2006,7
Mike Oldfield,1974,2013,39,79,1,1,79,0,,1974,39
Mike Posner,2010,2013,3,19,1,2,19,0,,2011,2
Mike Post,1975,2013,38,85,1,1,85,0,,1975,38
Mike Reno,1984,2013,29,59,1,1,59,0,,1984,29
Mike Shorey,2003,2013,10,24,1,1,24,0,,2003,10
Mike and The Mechanics,1986,2013,27,70,2,3,31,0,,1989,24
Mikky Ekko,2013,2013,0,13,1,1,13,0,,2013,0
Miley Cyrus,2008,2013,5,31,2,7,17,0,,2013,0
Milli Vanilli,1989,2013,24,8,4,6,8,0,,1990,23
Millie Small,1964,2013,49,46,1,1,46,0,,1964,49
Mills Brothers,1968,2013,45,86,1,1,86,0,,1968,45
Mims,2007,2013,6,16,1,1,16,0,,2007,6
Mindbenders,1966,2013,47,34,1,1,34,0,,1966,47
Minnie Riperton,1975,2013,38,13,1,1,13,0,,1975,38
Mint Condition,1992,2013,21,48,1,1,48,0,,1992,21
Miracles,1961,2013,52,24,1,5,24,0,,1965,48
Miranda Lambert,2010,2013,3,91,1,2,89,0,,2013,0
"Missy ""Misdemeanor"" Elliott",1998,2013,15,41,2,7,35,0,,2003,10
Missy Elliott,1999,2013,14,60,1,5,5,0,,2007,6
Mitch Miller,1956,2013,57,66,1,2,61,0,,1958,55
Mitch Ryder and The Detroit Wheels,1966,2013,47,32,1,1,32,0,,1966,47
Mo Thugs Family,1999,2013,14,87,1,1,87,0,,1999,14
Mobb Deep,2005,2013,8,78,1,1,78,0,,2005,8
Moby,2001,2013,12,33,1,1,33,0,,2001,12
Mocedades,1974,2013,39,62,1,1,62,0,,1974,39
Mocha,1998,2013,15,41,1,1,41,0,,1998,15
Mokenstef,1995,2013,18,40,1,1,40,0,,1995,18
Moments,1970,2013,43,25,1,1,25,0,,1970,43
Monica,1995,2013,18,9,1,8,3,0,,2004,9
Monifah,1998,2013,15,77,1,1,77,0,,1998,15
Monkees,1966,2013,47,6,1,5,5,0,,1967,46
Monotones,1958,2013,55,32,1,1,32,0,,1958,55
Montell Jordan,1995,2013,18,10,1,4,10,0,,2000,13
Moody Blues,1965,2013,48,50,1,3,32,0,,1986,27
Mormon Tabernacle Choir,1959,2013,54,98,1,1,98,0,,1959,54
Morris Albert,1975,2013,38,45,1,1,45,0,,1975,38
Morris Stoloff,1956,2013,57,11,2,2,11,0,,1956,57
Motels,1982,2013,31,29,1,1,29,0,,1982,31
Motherlode,1969,2013,44,71,1,1,71,0,,1969,44
Motley Crue,1990,2013,23,96,1,1,96,0,,1990,23
Mountain,1970,2013,43,78,1,1,78,0,,1970,43
Mouth and MacNeal,1972,2013,41,25,1,1,25,0,,1972,41
Moving Pictures,1983,2013,30,88,1,1,88,0,,1983,30
Mr. Acker Bilk,1962,2013,51,1,1,1,1,0,,1962,51
Mr. Big,1992,2013,21,12,2,2,12,0,,1992,21
Mr. Cheeks,2002,2013,11,49,1,2,49,0,,2003,10
Mr. ColliPark,2006,2013,7,36,1,1,36,0,,2006,7
Mr. Hudson,2010,2013,3,50,1,1,50,0,,2010,3
Mr. Mister,1986,2013,27,5,2,2,5,0,,1986,27
Mr. President,1997,2013,16,92,1,1,92,0,,1997,16
Ms. Thing,2004,2013,9,85,1,1,85,0,,2004,9
Mumford and Sons,2013,2013,0,52,1,1,52,0,,2013,0
Mungo Jerry,1970,2013,43,53,1,1,53,0,,1970,43
Murphy Lee,2003,2013,10,13,2,2,13,0,,2003,10
Murray Head,1985,2013,28,54,1,1,54,0,,1985,28
Murray Head and The Trinidad Singers,1971,2013,42,26,1,1,26,0,,1971,42
Music Explosion,1967,2013,46,11,1,1,11,0,,1967,46
Musical Youth,1983,2013,30,91,1,1,91,0,,1983,30
Musiq,2002,2013,11,48,1,1,48,0,,2002,11
Musiq Soulchild,2001,2013,12,67,1,1,67,0,,2001,12
My Chemical Romance,2007,2013,6,59,1,1,59,0,,2007,6
Mya,1998,2013,15,49,2,7,24,0,,2003,10
Mystikal,2000,2013,13,68,1,4,13,0,,2002,11
N II U,1995,2013,18,96,1,1,96,0,,1995,18
N.O.R.E.,2002,2013,11,37,1,1,37,0,,2002,11
N2Deep,1992,2013,21,78,1,1,78,0,,1992,21
Naked Eyes,1983,2013,30,46,2,2,46,0,,1983,30
Nancy Sinatra,1966,2013,47,13,1,2,7,0,,1967,46
Nancy Wilson,1964,2013,49,85,1,1,85,0,,1964,49
Nas,2000,2013,13,32,1,4,29,0,,2003,10
Nat King Cole,1956,2013,57,72,2,7,28,0,,1963,50
Natalie,2005,2013,8,70,1,1,70,0,,2005,8
Natalie Cole,1977,2013,36,35,1,4,35,0,,1989,24
Natalie Merchant,1995,2013,18,60,1,3,31,0,,1996,17
Natasha Bedingfield,2005,2013,8,80,1,4,6,0,,2008,5
Nate Dogg,1994,2013,19,22,1,4,14,0,,2006,7
Nate Ruess,2013,2013,0,7,1,1,7,0,,2013,0
Natural Selection,1991,2013,22,32,1,1,32,0,,1991,22
Naughty By Nature,1991,2013,22,94,1,4,45,0,,1999,14
Nayer,2011,2013,2,5,1,1,5,0,,2011,2
Nazareth,1976,2013,37,23,1,1,23,0,,1976,37
Ne-Yo,2006,2013,7,17,3,16,5,0,,2013,0
Ned Miller,1963,2013,50,74,1,1,74,0,,1963,50
Neil Diamond,1966,2013,47,75,1,13,17,0,,1982,31
Neil Sedaka,1960,2013,53,76,1,7,8,0,,1980,33
Neil Young,1972,2013,41,17,1,1,17,0,,1972,41
Nelly,2000,2013,13,29,1,16,3,0,,2013,0
Nelly Furtado,2001,2013,12,43,2,6,3,0,,2007,6
Nelson,1990,2013,23,27,1,2,27,0,,1991,22
Nelson Riddle,1956,2013,57,3,2,2,3,0,,1956,57
Nena,1984,2013,29,28,1,1,28,0,,1984,29
Neneh Cherry,1989,2013,24,36,1,1,36,0,,1989,24
Neon Hitch,2012,2013,1,51,1,1,51,0,,2012,1
Neon Trees,2010,2013,3,61,1,3,22,0,,2012,1
Nervous Norvus,1956,2013,57,47,1,1,47,0,,1956,57
New Boyz,2010,2013,3,65,1,2,65,0,,2011,2
New Christy Minstrels,1964,2013,49,66,1,1,66,0,,1964,49
New Colony Six,1969,2013,44,70,1,1,70,0,,1969,44
New Edition,1985,2013,28,26,1,4,26,0,,1997,16
New Kids On The Block,1989,2013,24,26,4,6,26,0,,1990,23
New Seekers,1970,2013,43,96,1,2,93,0,,1972,41
