race,sex,employ,region,age,income,education,records,people,percent,gov_percent
a,a,e,mw,u18,75u,no-hs,1,1399,0.02501787,0.105075054
a,a,e,mw,u18,a,a,1,15881,0.067187205,0.363893961
a,a,e,mw,u18,a,cg,1,6,0,0.166666667
a,a,e,mw,u18,a,hs,2,56,0.017857143,0.25
a,a,e,mw,u18,a,no-hs,1,2803,0.065643953,0.288262576
a,a,e,mw,u18,u25,a,5,2841,0.088701162,0.805350229
a,a,e,mw,u18,u25,cg,1,1,0,1
a,a,e,mw,u18,u25,hs,2,4,0,0.5
a,a,e,mw,u18,u25,no-hs,5,411,0.116788321,0.744525547
a,a,e,mw,u18,u49,a,2,3300,0.104545455,0.552121212
a,a,e,mw,u18,u49,hs,4,14,0.071428571,0.357142857
a,a,e,mw,u18,u49,no-hs,2,536,0.126865672,0.462686567
a,a,e,mw,u18,u74,a,1,2873,0.077619213,0.308736512
a,a,e,mw,u18,u74,hs,2,15,0,0.266666667
a,a,e,mw,u18,u74,no-hs,1,457,0.067833698,0.236323851
a,a,e,mw,u34,75u,a,2,5817,0.100395393,0.076843734
a,a,e,mw,u34,75u,cg,2,2023,0.053880376,0.035096391
a,a,e,mw,u34,75u,hs,4,3317,0.1178776,0.090744649
a,a,e,mw,u34,75u,no-hs,2,478,0.175732218,0.158995816
a,a,e,mw,u34,a,a,2,14973,0.214786616,0.164896814
a,a,e,mw,u34,a,cg,2,3670,0.093188011,0.048773842
a,a,e,mw,u34,a,hs,4,9505,0.241031036,0.178958443
a,a,e,mw,u34,a,no-hs,2,1799,0.324068927,0.327959978
a,a,e,mw,u34,u25,a,10,2678,0.36407767,0.361463779
a,a,e,mw,u34,u25,cg,10,274,0.281021898,0.094890511
a,a,e,mw,u34,u25,hs,20,1868,0.374732334,0.345824411
a,a,e,mw,u34,u25,no-hs,10,531,0.372881356,0.553672316
a,a,e,mw,u34,u49,a,4,3443,0.309323265,0.194597735
a,a,e,mw,u34,u49,cg,4,650,0.133846154,0.064615385
a,a,e,mw,u34,u49,hs,8,2293,0.332751853,0.205407763
a,a,e,mw,u34,u49,no-hs,4,500,0.432,0.312
a,a,e,mw,u34,u74,a,2,3036,0.194334651,0.127140975
a,a,e,mw,u34,u74,cg,2,723,0.095435685,0.055325035
a,a,e,mw,u34,u74,hs,4,2026,0.215695953,0.14017769
a,a,e,mw,u34,u74,no-hs,2,288,0.295138889,0.222222222
a,a,e,mw,u64,75u,a,4,12160,0.053371711,0.062335526
a,a,e,mw,u64,75u,cg,4,5781,0.027849853,0.045493859
a,a,e,mw,u64,75u,hs,8,6133,0.069134192,0.075167129
a,a,e,mw,u64,75u,no-hs,4,246,0.256097561,0.130081301
a,a,e,mw,u64,a,a,4,25797,0.138543241,0.153544986
a,a,e,mw,u64,a,cg,4,8183,0.061835513,0.079555175
a,a,e,mw,u64,a,hs,8,15742,0.156778046,0.169927582
a,a,e,mw,u64,a,no-hs,4,1874,0.320170758,0.338313767
a,a,e,mw,u64,u25,a,20,3568,0.346692825,0.41956278
a,a,e,mw,u64,u25,cg,20,391,0.322250639,0.286445013
a,a,e,mw,u64,u25,hs,40,2439,0.339483395,0.417794178
a,a,e,mw,u64,u25,no-hs,19,739,0.381596752,0.49391069
a,a,e,mw,u64,u49,a,8,5021,0.212507469,0.22166899
a,a,e,mw,u64,u49,cg,8,829,0.171290712,0.195416164
a,a,e,mw,u64,u49,hs,16,3621,0.209610605,0.215410108
a,a,e,mw,u64,u49,no-hs,8,571,0.292469352,0.299474606
a,a,e,mw,u64,u74,a,4,5049,0.122994652,0.117647059
a,a,e,mw,u64,u74,cg,4,1181,0.064352244,0.094834886
a,a,e,mw,u64,u74,hs,8,3549,0.128486898,0.117779656
a,a,e,mw,u64,u74,no-hs,4,319,0.272727273,0.200626959
a,a,e,ne,65u,75u,a,1,2039,0.016184404,0.856302109
a,a,e,ne,65u,75u,cg,1,945,0.012698413,0.815873016
a,a,e,ne,65u,75u,hs,2,892,0.013452915,0.89573991
a,a,e,ne,65u,75u,no-hs,1,201,0.044776119,0.875621891
a,a,e,ne,65u,a,a,1,8121,0.01502278,0.924024135
a,a,e,ne,65u,a,cg,1,2124,0.011770245,0.870056497
a,a,e,ne,65u,a,hs,2,4506,0.012205948,0.943852641
a,a,e,ne,65u,a,no-hs,1,1492,0.028820375,0.939678284
a,a,e,ne,65u,u25,a,5,2372,0.011804384,0.971332209
a,a,e,ne,65u,u25,cg,5,277,0.007220217,0.916967509
a,a,e,ne,65u,u25,hs,10,1412,0.01203966,0.981586402
a,a,e,ne,65u,u25,no-hs,5,680,0.014705882,0.975
a,a,e,ne,65u,u49,a,2,2409,0.01577418,0.948111249
a,a,e,ne,65u,u49,cg,2,494,0.006072874,0.94534413
a,a,e,ne,65u,u49,hs,4,1471,0.010197145,0.953093134
a,a,e,ne,65u,u49,no-hs,2,445,0.040449438,0.93258427
a,a,e,ne,65u,u74,a,1,1302,0.01843318,0.898617512
a,a,e,ne,65u,u74,cg,1,406,0.019704433,0.876847291
a,a,e,ne,65u,u74,hs,2,730,0.012328767,0.910958904
a,a,e,ne,65u,u74,no-hs,1,165,0.042424242,0.896969697
a,a,e,ne,a,75u,a,1,25218,0.064874296,0.14477754
a,a,e,ne,a,75u,cg,1,9583,0.053323594,0.117812793
a,a,e,ne,a,75u,hs,2,9122,0.082657312,0.167616751
a,a,e,ne,a,75u,no-hs,1,1947,0.092963534,0.19568567
a,a,e,ne,a,a,a,1,55135,0.107717421,0.333091503
a,a,e,ne,a,a,cg,1,14255,0.079761487,0.195019291
a,a,e,ne,a,a,hs,2,23999,0.130505438,0.350222926
a,a,e,ne,a,a,no-hs,1,6975,0.155698925,0.48172043
a,a,e,ne,a,u25,a,5,9723,0.164661113,0.680139875
a,a,e,ne,a,u25,cg,5,1048,0.235687023,0.44370229
a,a,e,ne,a,u25,hs,10,4580,0.176637555,0.668340611
a,a,e,ne,a,u25,no-hs,5,2214,0.168473351,0.724028907
a,a,e,ne,a,u49,a,2,11014,0.150172508,0.489377156
a,a,e,ne,a,u49,cg,2,1702,0.124559342,0.415393655
a,a,e,ne,a,u49,hs,4,5662,0.167961851,0.455139527
a,a,e,ne,a,u49,no-hs,2,1759,0.20352473,0.548038658
a,a,e,ne,a,u74,a,1,9179,0.114064713,0.295348077
a,a,e,ne,a,u74,cg,1,1922,0.087408949,0.249739854
a,a,e,ne,a,u74,hs,2,4636,0.13308887,0.267040552
a,a,e,ne,a,u74,no-hs,1,1055,0.16492891,0.390521327
a,a,e,ne,u18,75u,a,1,5674,0.03930208,0.12848079
a,a,e,ne,u18,75u,cg,1,3,0,0.666666667
a,a,e,ne,u18,75u,hs,2,36,0.055555556,0.111111111
a,a,e,ne,u18,75u,no-hs,1,1069,0.028999065,0.10383536
a,a,e,ne,u18,a,a,1,12150,0.057037037,0.370699588
a,a,e,ne,u18,a,cg,1,3,0,0.666666667
a,a,e,ne,u18,a,hs,2,58,0.051724138,0.327586207
a,a,e,ne,u18,a,no-hs,1,2183,0.048557032,0.304626661
a,a,e,ne,u18,u25,a,5,2203,0.089423513,0.778937812
a,a,e,ne,u18,u25,hs,4,8,0,0.875
a,a,e,ne,u18,u25,no-hs,5,314,0.082802548,0.713375796
a,a,e,ne,u18,u49,a,2,2308,0.071923744,0.587521664
a,a,e,ne,u18,u49,hs,2,10,0,0.7
a,a,e,ne,u18,u49,no-hs,2,406,0.081280788,0.507389163
a,a,e,ne,u18,u74,a,1,1965,0.05394402,0.35826972
a,a,e,ne,u18,u74,cg,1,0,2,0
a,a,e,ne,u18,u74,hs,1,4,0,0
a,a,e,ne,u18,u74,no-hs,1,394,0.043147208,0.312182741
a,a,e,ne,u34,75u,a,2,5962,0.11824891,0.072458906
a,a,e,ne,u34,75u,cg,2,2515,0.095427435,0.043737575
a,a,e,ne,u34,75u,hs,4,3076,0.125162549,0.089726918
a,a,e,ne,u34,75u,no-hs,2,371,0.218328841,0.121293801
a,a,e,ne,u34,a,a,2,12560,0.191003185,0.189570064
a,a,e,ne,u34,a,cg,2,3832,0.133611691,0.066805846
a,a,e,ne,u34,a,hs,4,7318,0.198141569,0.223968297
a,a,e,ne,u34,a,no-hs,2,1410,0.310638298,0.345390071
a,a,e,ne,u34,u25,a,10,1953,0.310291859,0.457245264
a,a,e,ne,u34,u25,cg,10,296,0.381756757,0.121621622
a,a,e,ne,u34,u25,hs,20,1214,0.289126853,0.509884679
a,a,e,ne,u34,u25,no-hs,10,445,0.314606742,0.539325843
a,a,e,ne,u34,u49,a,4,2430,0.263786008,0.299588477
a,a,e,ne,u34,u49,cg,4,458,0.170305677,0.179039301
a,a,e,ne,u34,u49,hs,8,1595,0.259561129,0.320376176
a,a,e,ne,u34,u49,no-hs,4,375,0.392,0.357333333
a,a,e,ne,u34,u74,a,2,2215,0.202257336,0.147629797
a,a,e,ne,u34,u74,cg,2,564,0.140070922,0.04964539
a,a,e,ne,u34,u74,hs,4,1431,0.209643606,0.162823201
a,a,e,ne,u34,u74,no-hs,2,219,0.319634703,0.301369863
a,a,e,ne,u64,75u,a,4,11543,0.058390366,0.064454648
a,a,e,ne,u64,75u,cg,4,6120,0.042156863,0.040196078
a,a,e,ne,u64,75u,hs,8,5116,0.069194683,0.087959343
a,a,e,ne,u64,75u,no-hs,4,305,0.196721311,0.160655738
a,a,e,ne,u64,a,a,4,22304,0.12222023,0.178263989
a,a,e,ne,u64,a,cg,4,8296,0.072324012,0.081364513
a,a,e,ne,u64,a,hs,8,12117,0.134191632,0.205826525
a,a,e,ne,u64,a,no-hs,4,1889,0.264160932,0.427210164
a,a,e,ne,u64,u25,a,20,3194,0.242016281,0.532247965
a,a,e,ne,u64,u25,cg,20,476,0.271008403,0.363445378
a,a,e,ne,u64,u25,hs,40,1942,0.226055613,0.541194645
a,a,e,ne,u64,u25,no-hs,20,776,0.255154639,0.612113402
a,a,e,ne,u64,u49,a,8,3867,0.209464701,0.264028963
a,a,e,ne,u64,u49,cg,8,749,0.174899866,0.209612817
a,a,e,ne,u64,u49,hs,16,2586,0.201469451,0.253673627
a,a,e,ne,u64,u49,no-hs,8,532,0.29887218,0.390977444
a,a,e,ne,u64,u74,a,4,3697,0.126859616,0.137949689
a,a,e,ne,u64,u74,cg,4,952,0.084033613,0.101890756
a,a,e,ne,u64,u74,hs,8,2469,0.125556906,0.138112596
a,a,e,ne,u64,u74,no-hs,4,276,0.289855072,0.268115942
a,a,e,s,65u,75u,a,1,3666,0.014184397,0.876159302
a,a,e,s,65u,75u,cg,1,1699,0.01177163,0.851088876
a,a,e,s,65u,75u,hs,2,1696,0.013561321,0.898584906
a,a,e,s,65u,75u,no-hs,1,271,0.033210332,0.89298893
a,a,e,s,65u,a,a,1,16150,0.017275542,0.931455108
a,a,e,s,65u,a,cg,1,3928,0.014002037,0.896130346
a,a,e,s,65u,a,hs,2,9094,0.01473499,0.938091049
a,a,e,s,65u,a,no-hs,1,3128,0.028772379,0.956521739
a,a,e,s,65u,u25,a,5,4831,0.026081557,0.953632788
a,a,e,s,65u,u25,cg,5,612,0.034313725,0.913398693
a,a,e,s,65u,u25,hs,10,2572,0.021772939,0.955287714
a,a,e,s,65u,u25,no-hs,5,1647,0.028536733,0.965391621
a,a,e,s,65u,u49,a,2,5130,0.008966862,0.963157895
a,a,e,s,65u,u49,cg,2,972,0,0.969135802
a,a,e,s,65u,u49,hs,4,3272,0.006112469,0.962713936
a,a,e,s,65u,u49,no-hs,2,885,0.028248588,0.959322034
a,a,e,s,65u,u74,a,1,2523,0.022195799,0.905271502
a,a,e,s,65u,u74,cg,1,645,0.020155039,0.889922481
a,a,e,s,65u,u74,hs,2,1553,0.02318094,0.90083709
a,a,e,s,65u,u74,no-hs,1,324,0.024691358,0.959876543
a,a,e,s,a,75u,a,1,42486,0.092924728,0.179470885
a,a,e,s,a,75u,cg,1,14331,0.055264811,0.162445049
a,a,e,s,a,75u,hs,2,16333,0.126247474,0.190595726
a,a,e,s,a,75u,no-hs,1,3489,0.165950129,0.214101462
a,a,e,s,a,a,a,1,116130,0.185886507,0.329131146
a,a,e,s,a,a,cg,1,23760,0.095159933,0.222180135
a,a,e,s,a,a,hs,2,52209,0.226033826,0.307648107
a,a,e,s,a,a,no-hs,1,16837,0.298568629,0.407614183
a,a,e,s,a,u25,a,5,24166,0.292228751,0.56505007
a,a,e,s,a,u25,cg,5,1937,0.256066082,0.420237481
a,a,e,s,a,u25,hs,10,10855,0.350898204,0.475725472
a,a,e,s,a,u25,no-hs,5,5917,0.345107318,0.576136556
a,a,e,s,a,u49,a,2,27899,0.245456826,0.408867701
a,a,e,s,a,u49,cg,2,3391,0.156590976,0.366853436
a,a,e,s,a,u49,hs,4,14255,0.267976149,0.362820063
a,a,e,s,a,u49,no-hs,2,4841,0.345796323,0.405701301
a,a,e,s,a,u74,a,1,21580,0.172798888,0.256580167
a,a,e,s,a,u74,cg,1,4102,0.107996099,0.217698684
a,a,e,s,a,u74,hs,2,10767,0.195969165,0.242685985
a,a,e,s,a,u74,no-hs,1,2589,0.282348397,0.287369641
a,a,e,s,u18,75u,a,1,10233,0.060392847,0.176487833
a,a,e,s,u18,75u,cg,1,12,0,0.166666667
a,a,e,s,u18,75u,hs,2,48,0.145833333,0.291666667
a,a,e,s,u18,75u,no-hs,1,1839,0.052202284,0.192495922
a,a,e,s,u18,a,a,1,28115,0.110688245,0.415792282
a,a,e,s,u18,a,cg,1,12,0,0.166666667
a,a,e,s,u18,a,hs,2,119,0.18487395,0.285714286
a,a,e,s,u18,a,no-hs,1,4659,0.127065894,0.351148315
a,a,e,s,u18,u25,a,5,6303,0.141995875,0.767888307
a,a,e,s,u18,u25,cg,1,1,0,0
a,a,e,s,u18,u25,hs,6,15,0.2,0.733333333
a,a,e,s,u18,u25,no-hs,5,832,0.212740385,0.675480769
a,a,e,s,u18,u49,a,2,6560,0.158231707,0.537804878
a,a,e,s,u18,u49,hs,3,29,0.379310345,0.137931034
a,a,e,s,u18,u49,no-hs,2,1119,0.18230563,0.443252904
a,a,e,s,u18,u74,a,1,5019,0.111974497,0.302052202
a,a,e,s,u18,u74,hs,2,28,0.071428571,0.142857143
a,a,e,s,u18,u74,no-hs,1,869,0.13118527,0.257767549
a,a,e,s,u34,75u,a,2,9357,0.159025329,0.089772363
a,a,e,s,u34,75u,cg,2,3357,0.088173965,0.046767948
a,a,e,s,u34,75u,hs,4,5293,0.186094842,0.112034763
a,a,e,s,u34,75u,no-hs,2,706,0.293201133,0.127478754
a,a,e,s,u34,a,a,2,26569,0.316797772,0.149309345
a,a,e,s,u34,a,cg,2,5901,0.140993052,0.061853923
a,a,e,s,u34,a,hs,4,16776,0.337863615,0.161778732
a,a,e,s,u34,a,no-hs,2,3891,0.492932408,0.228732974
a,a,e,s,u34,u25,a,10,5452,0.51375642,0.261555393
a,a,e,s,u34,u25,cg,10,484,0.365702479,0.103305785
a,a,e,s,u34,u25,hs,20,3557,0.507168963,0.262580827
a,a,e,s,u34,u25,no-hs,10,1412,0.581444759,0.315155807
a,a,e,s,u34,u49,a,4,6532,0.409216167,0.169932639
a,a,e,s,u34,u49,cg,4,877,0.198403649,0.094640821
a,a,e,s,u34,u49,hs,8,4480,0.413616071,0.174330357
a,a,e,s,u34,u49,no-hs,4,1176,0.549319728,0.208333333
