extracted,term,title,views,length,upload,score,ratings,likes,dislikes
2013-09-17,lmfao,LMFAO - YES,17887861,191,2007-10-07T00:03:30.000Z,4.8677697,51728,50018,1710
2013-09-17,lmfao,Dirt Nasty Ft. LMFAO - I Can't Dance - OFFICIAL VIDEO,16697238,228,2010-10-19T05:57:53.000Z,4.7111483,44895,41653,3242
2013-09-17,lmfao,People Of Walmart (Sexy And I Know It - LMFAO),16006405,189,2012-02-13T18:31:54.000Z,4.4262967,23866,20443,3423
2013-09-17,lmfao,"Taio Cruz ft. David Guetta, LMFAO, Adele, Rihanna, Pitbull, Avicii - Electro Remix",15492228,315,2011-12-28T20:09:18.000Z,4.88606,71336,69304,2032
2013-09-17,lmfao,Santa and I Know It!  (LMFAO - Sexy and I Know It PARODY!) Key of Awesome #52!,15105871,169,2011-12-09T19:22:44.000Z,4.89266,98230,95594,2636
2013-09-17,lmfao,##OKI FLaSH MOB## . LMFAO Party Rock Anthem,14899594,255,2011-06-11T16:11:02.000Z,4.843486,44980,43220,1760
2013-09-17,lmfao,LMFAO - Sexy and i know it + (lyrics) NEW,14526013,204,2011-09-25T05:27:57.000Z,4.769654,19640,18509,1131
2013-09-17,lmfao,"LMFAO- ""Sexy And I Know It"" LIVE",14414810,200,2011-12-17T02:51:22.000Z,4.627623,24588,22299,2289
2013-09-17,lmfao,LMFAO- Sexy and I Know It (OFFICIAL UNCUT-SC),14206782,201,2011-10-29T20:29:42.000Z,4.4895153,52648,45929,6719
2013-09-17,lmfao,"LMFAO - ""Sorry For Party Rocking""",14121567,205,2011-06-17T20:38:10.000Z,4.8977237,43099,41997,1102
2013-09-17,lmfao,Lil Jon - Outta Your Mind ft. LMFAO,13916017,253,2010-04-28T23:40:34.000Z,4.8531766,41383,39864,1519
2013-09-17,lmfao,[HD] LMFAO - SHOTS ft. Lil Jon (MP3 DOWNLOAD),13498859,223,2009-06-04T03:50:11.000Z,4.8163996,19891,18978,913
2013-09-17,lmfao,LMFAO - I'm sexy and i know it [OFFICIAL VIDEO],12733556,202,2011-12-31T15:21:58.000Z,3.0239139,15054,7617,7437
2013-09-17,lmfao,David Guetta & Chris Willis Feat Fergie & LMFAO - Gettin Over You (Official video),12578641,193,2011-03-07T19:28:20.000Z,4.9029374,32103,31324,779
2013-09-17,lmfao,Pokemon! Party Rock Parody of LMFAO!,12439819,225,2011-08-30T22:59:36.000Z,4.613643,81241,73394,7847
2013-09-17,lmfao,LMFAO - Sexy & I Know It  (Music Video) Inspired Makeup Tutorial,12398274,255,2011-09-20T01:48:22.000Z,,,,
