distance_in_miles,county,tract_code,median_income,population,white_percent,black_percent,latitude,longitude,trips,after_8_trips
1.827534296,New York,40,80825,9307,0.777049533,0.043300741,40.73125087,-73.98616769,22386,11153
1.84113644,New York,134,92009,11155,0.914298521,0.008337069,40.77181092,-73.95585341,21530,5786
1.845967157,New York,142,162679,4184,0.842256214,0.00334608,40.77711537,-73.96146454,20967,2335
1.863617738,New York,59,108807,5455,0.830614115,0.020348304,40.73159447,-73.9946604,6219,1654
1.875816995,New York,167,142705,6515,0.86953185,0.020874904,40.78443257,-73.97943514,14393,3868
1.894970713,New York,140,162037,8070,0.903965304,0.00582404,40.7756497,-73.9583181,18073,3009
1.902429768,New York,73,95234,5732,0.843684578,0.03611305,40.73393799,-74.00406431,22111,10753
1.949932382,New York,75,91316,4395,0.945392491,0.018885097,40.73473415,-74.00735319,9434,3170
1.963011265,New York,57,116619,2785,0.865709156,0.013285458,40.72971387,-73.99217152,14214,4394
1.97322472,New York,132,75587,9660,0.885817805,0.007142857,40.77018799,-73.95178778,11804,1726
1.980095022,New York,34,59028,6945,0.770482361,0.040892729,40.72918802,-73.98186502,13217,6127
2.0179631,New York,169,118710,7825,0.895207668,0.034504792,40.78533239,-73.97320495,9856,2502
2.047189632,New York,138,92587,12825,0.884132554,0.022923977,40.77506512,-73.95399978,18044,5102
2.081050401,New York,38,53405,8799,0.724741448,0.052278668,40.72765459,-73.98851221,20923,11904
2.082601004,New York,171,116566,9671,0.807775825,0.091717506,40.78723334,-73.97773321,12077,2688
2.0832697,New York,150.01,144492,2248,0.872775801,0.044483986,40.78016889,-73.95914885,3144,274
2.107318084,New York,65,73022,6820,0.834164223,0.028592375,40.72930791,-74.00040975,30028,16497
2.11452324,New York,28,40045,7268,0.518712163,0.095211888,40.7276826,-73.97782017,3620,1645
2.117509933,New York,67,73604,5298,0.892600982,0.016232541,40.73032878,-74.0039008,11926,5688
2.131660764,New York,148.01,145972,2589,0.869061414,0.034376207,40.77895931,-73.95617613,11429,1775
2.180924838,New York,69,134663,2705,0.834380776,0.035120148,40.73096592,-74.00785433,8773,2224
2.186275293,New York,136,88244,15627,0.88219108,0.01555001,40.7727953,-73.94898018,16097,2274
2.194915806,New York,55.01,120795,4731,0.798774044,0.008032129,40.72719279,-73.99739969,9570,3752
2.195175586,New York,173,104712,9201,0.741115096,0.111509619,40.7875208,-73.97122149,8366,1439
2.201489592,New York,32,50466,8121,0.728974264,0.077084103,40.725851,-73.98440622,19711,10429
2.208529589,New York,146.01,87946,3713,0.831672502,0.028548344,40.77731729,-73.95237582,6543,1778
2.218233532,New York,55.02,109885,2071,0.754225012,0.066151618,40.72616222,-73.99364016,23216,11376
2.22997662,New York,150.02,183846,5838,0.959061322,0.003083248,40.78208564,-73.95777998,13394,1260
2.262318213,New York,175,127478,10689,0.852278043,0.041257367,40.78962217,-73.97607056,11791,2111
2.273432529,New York,148.02,110811,6939,0.860210405,0.023058078,40.7806296,-73.95453753,17465,2937
2.303009272,New York,146.02,114464,7878,0.850088855,0.016120843,40.77870435,-73.9515244,9386,2327
2.303133887,New York,26.02,57880,4529,0.627511592,0.042172665,40.7247193,-73.97929992,3901,2140
2.309551332,New York,36.02,44637,2795,0.624329159,0.17137746,40.72448032,-73.99061977,8842,4534
2.326794813,New York,144.01,123750,4874,0.927780057,0.00677062,40.77523974,-73.9477404,6040,857
2.398659399,New York,43,63631,4565,0.613800657,0.000657174,40.72383918,-73.99581869,16590,6158
2.40237835,New York,49,102202,4745,0.874815595,0.036459431,40.72473043,-74.00028295,21067,5457
2.402466996,New York,177,62994,8977,0.54416843,0.256433107,40.78995099,-73.9685318,5346,847
2.412783134,New York,24,16084,5453,0.241335045,0.174766184,40.724,-73.97361224,98,45
2.414417911,New York,30.02,36146,2916,0.65569273,0.071673525,40.72275684,-73.98628579,7460,3953
2.421410603,New York,144.02,88968,6856,0.864789965,0.030484247,40.7765328,-73.94667382,8155,1228
2.445660756,New York,36.01,32805,3048,0.404855643,0.112860892,40.72252718,-73.99096346,7580,4729
2.453470798,New York,26.01,34712,3588,0.441471572,0.134336678,40.72243158,-73.98022857,1330,704
2.468741516,New York,179,72369,9155,0.805352267,0.088476242,40.79229417,-73.97388617,8451,1650
2.49232643,New York,154,79601,13217,0.813043807,0.03911629,40.78094261,-73.94927299,12180,2927
2.515221555,New York,160.01,228750,3537,0.901611535,0.012157195,40.78556258,-73.95476088,9899,1031
2.522441637,New York,22.02,84327,2210,0.6,0.052036199,40.72130965,-73.98181018,1886,654
2.524137079,New York,158.01,131360,5312,0.931287651,0.026731928,40.78392891,-73.95211893,9594,1603
2.527927868,New York,30.01,54113,4313,0.612566659,0.006028287,40.72114195,-73.98768286,16633,11360
2.576318882,New York,152,74741,7192,0.642797553,0.10567297,40.77936311,-73.94562451,7915,1045
2.579501327,New York,22.01,42583,6823,0.309541258,0.140407445,40.72043923,-73.98258635,1876,752
2.591388162,New York,47,88304,2234,0.854968666,0,40.72271726,-74.003555,16892,6971
2.593231483,New York,181,74744,9483,0.656226932,0.197827692,40.79267352,-73.96770688,6325,1269
2.617665174,New York,20,17409,4889,0.242994477,0.109429331,40.7203444,-73.97734855,241,47
2.640442512,New York,41,26938,7577,0.274383001,0.008710571,40.72036118,-73.99645333,17775,9988
2.658807648,New York,156.01,89518,5494,0.752639243,0.069166363,40.78378121,-73.94833552,5800,1230
2.661879333,New York,160.02,98669,3715,0.65141319,0.029071332,40.78765905,-73.95371194,2496,308
2.662332418,New York,183,84290,8928,0.783042115,0.064292115,40.79484305,-73.97215024,10443,2838
2.675380452,New York,18,47992,7741,0.286397106,0.035654308,40.71913687,-73.99034091,19040,12701
2.694260404,New York,158.02,89494,3790,0.715567282,0.045118734,40.7862964,-73.95069014,3863,776
2.723093798,New York,14.02,32692,3137,0.391775582,0.016576347,40.71828706,-73.98602651,3508,2112
2.730391823,New York,185,72880,4443,0.689173982,0.140445645,40.79426735,-73.96590926,5532,735
2.782995137,New York,156.02,34770,2107,0.403891789,0.175605126,40.78525545,-73.94690421,1284,274
2.838506158,New York,10.02,16721,5923,0.27773088,0.220665203,40.71734972,-73.97549716,529,141
2.862921865,New York,187,79014,8984,0.798419412,0.064559216,40.79751755,-73.97054883,6011,1071
2.863801922,New York,168,24286,5257,0.360091307,0.415826517,40.79070521,-73.95258771,4264,703
2.880417292,New York,33,163889,4758,0.845523329,0.011139134,40.71902914,-74.00626022,21997,7953
2.893701498,New York,16,25979,7479,0.119802113,0.008289878,40.71623634,-73.99350296,5746,2566
2.89573714,New York,39,68304,4965,0.767170191,0.054380665,40.72003191,-74.00995614,15323,4493
2.916118817,New York,12,42910,3609,0.644222776,0.044887781,40.71559259,-73.98186532,297,108
2.921774813,New York,14.01,78883,3241,0.739895094,0.057389695,40.71544048,-73.98779762,588,268
2.944129468,New York,166,29987,7976,0.450852558,0.183801404,40.78949924,-73.94824206,1983,532
2.999463689,New York,189,24444,12345,0.436289996,0.360307817,40.7977431,-73.96355087,3912,909
2.999957132,New York,164,29745,6570,0.355403349,0.232724505,40.78771637,-73.94427003,2059,444
3.021659465,New York,31,102679,2747,0.727702949,0.033127048,40.71598312,-74.00303171,13089,4083
3.054389333,New York,191,80380,9286,0.753392203,0.109950463,40.80000801,-73.96876477,6738,1553
3.064616288,New York,10.01,61411,1701,0.780129336,0.008230453,40.7139404,-73.97612583,151,68
3.081925488,New York,29,26902,6385,0.099921691,0.107752545,40.71455628,-74.00065684,7329,2956
3.084256456,New York,6,17308,10760,0.109758364,0.084572491,40.71321462,-73.99061728,1053,420
3.097932382,New York,2.02,29875,8339,0.490586401,0.133709078,40.713,-73.98104274,234,62
3.102422658,New York,162,25214,9678,0.202521182,0.518185576,40.78683721,-73.94058351,473,150
3.148646056,New York,2.01,16483,2773,0.194734944,0.060584205,40.71212712,-73.98588983,118,34
3.149652902,New York,8,30539,10955,0.084801461,0.007850297,40.71254207,-73.99394143,939,321
3.19787102,New York,27,53963,1223,0.168438267,0.015535568,40.71250951,-73.99890875,526,166
3.200947211,New York,174.01,31466,4824,0.261608624,0.379145937,40.79477957,-73.94901882,372,86
3.209979138,New York,193,45996,9096,0.509234828,0.218227792,40.80043732,-73.96163286,2465,619
3.23080877,New York,170,36791,7900,0.322405063,0.303924051,40.79095666,-73.94228963,1823,447
3.252734461,New York,21,209125,5418,0.787559985,0.036175711,40.71431917,-74.00984078,19068,5838
3.27936607,New York,195,65313,7755,0.779883946,0.067053514,40.8030197,-73.96706737,6902,1730
3.333412039,New York,174.02,33413,2519,0.19650655,0.533148075,40.79694313,-73.94863507,422,103
3.348822501,New York,197.02,49688,2021,0.327560614,0.435428006,40.80139953,-73.95800709,1269,320
3.378288237,New York,25,14767,5406,0.172586016,0.101368849,40.70992931,-73.99946985,481,131
3.381678379,New York,216,35601,8583,0.216008389,0.617150181,40.8009249,-73.95537451,1012,291
3.418640945,New York,186,16768,6262,0.175662728,0.592143085,40.79880066,-73.94931561,301,91
3.447448399,New York,199,68594,9758,0.656896905,0.057696249,40.80525361,-73.96573869,4290,999
3.466710512,New York,180,25400,7703,0.255355056,0.402830066,40.79405802,-73.94003555,1913,521
3.513322814,New York,15.01,59875,5534,0.643838092,0.048970004,40.70874423,-74.00385212,6627,2487
3.57076364,New York,218,30739,6576,0.234032847,0.650091241,40.80298443,-73.95280536,1156,388
3.59818982,New York,201.02,37961,4170,0.282014388,0.550359712,40.80456463,-73.95570068,1323,457
3.599072985,New York,190,50625,2924,0.190150479,0.605677155,40.80090307,-73.94726333,619,179
3.613352397,New York,184,27763,8253,0.218102508,0.386162608,40.80023906,-73.94552189,594,170
3.625807755,New York,15.02,141300,6668,0.700959808,0.077084583,40.70748585,-74.00582817,10563,3179
3.647231259,New York,13,109167,3783,0.722178165,0.043351837,40.7089133,-74.01231049,14867,3327
3.649381773,New York,182,20529,6844,0.261981297,0.280976037,40.79859141,-73.9415461,1258,417
