school,current_conf,historic_conf,county,recruit_year
Virginia Tech,acc,independent,11001,1980
Oklahoma State,big-12,big-8,11001,1980
North Carolina State,acc,acc,11001,1980
Utah State,mwc,big-west,9009,1980
Boise State,mwc,none,9009,1980
Arizona State,pac-12,pac-12,9009,1980
Rutgers,big-ten,independent,9003,1980
Mississippi,sec,sec,9001,1980
Boston College,acc,independent,9001,1980
Colorado,pac-12,big-8,8069,1980
Stanford,pac-12,pac-12,8059,1980
Oregon,pac-12,pac-12,8059,1980
Colorado,pac-12,big-8,8059,1980
Arizona,pac-12,pac-12,8059,1980
Colorado State,mwc,wac,8013,1980
Arizona State,pac-12,pac-12,6087,1980
Washington,pac-12,pac-12,6085,1980
Michigan State,big-ten,big-ten,6081,1980
Washington State,pac-12,pac-12,6077,1980
Stanford,pac-12,pac-12,6073,1980
San Diego State,mwc,wac,6073,1980
Utah,pac-12,wac,6071,1980
Pacific,none,big-west,6071,1980
Long Beach State,none,big-west,6059,1980
Washington,pac-12,pac-12,6037,1980
Utah State,mwc,big-west,6037,1980
Texas Christian,big-12,swc,6037,1980
Southern California,pac-12,pac-12,6037,1980
San Diego State,mwc,wac,6037,1980
Nevada-Las Vegas,mwc,big-west,6037,1980
Illinois,big-ten,big-ten,6037,1980
California,pac-12,pac-12,6037,1980
Arizona State,pac-12,pac-12,6037,1980
Middle Tennessee State,cusa,none,6019,1980
California,pac-12,pac-12,6019,1980
San Jose State,mwc,big-west,6013,1980
Washington,pac-12,pac-12,6001,1980
Nevada-Las Vegas,mwc,big-west,6001,1980
Arizona State,pac-12,pac-12,6001,1980
UCLA,pac-12,pac-12,5091,1980
Memphis,american,independent,5035,1980
Arizona,pac-12,pac-12,4021,1980
Kansas,big-12,big-8,4019,1980
Fresno State,mwc,big-west,4019,1980
Brigham Young,independent,wac,4013,1980
Brigham Young,independent,wac,4013,1980
Arizona,pac-12,pac-12,4013,1980
Chattanooga,none,none,1117,1980
Auburn,sec,sec,1117,1980
Alabama,sec,sec,1091,1980
Auburn,sec,sec,1089,1980
Auburn,sec,sec,1053,1980
Tennessee,sec,sec,1015,1980
Wyoming,mwc,wac,0,1980
Virginia Tech,acc,independent,0,1980
Texas Christian,big-12,swc,0,1980
Texas,big-12,swc,0,1980
Texas,big-12,swc,0,1980
Southern Mississippi,cusa,independent,0,1980
Pittsburgh,acc,independent,0,1980
New Mexico State,sun-belt,big-west,0,1980
Maryland,big-ten,acc,0,1980
Maryland,big-ten,acc,0,1980
Kansas,big-12,big-8,0,1980
Iowa,big-ten,big-ten,0,1980
Georgia,sec,sec,0,1980
Clemson,acc,acc,0,1980
California,pac-12,pac-12,0,1980
Auburn,sec,sec,0,1980
Michigan,big-ten,big-ten,55089,1979
Wisconsin,big-ten,big-ten,55079,1979
Wisconsin,big-ten,big-ten,55033,1979
Nebraska,big-ten,big-8,55031,1979
Wisconsin,big-ten,big-ten,55025,1979
Iowa,big-ten,big-ten,55021,1979
Notre Dame,acc,independent,55009,1979
Marshall,cusa,none,54039,1979
Southern California,pac-12,pac-12,53077,1979
Auburn,sec,sec,53061,1979
Washington,pac-12,pac-12,53053,1979
Washington,pac-12,pac-12,53053,1979
Washington,pac-12,pac-12,53035,1979
Washington,pac-12,pac-12,53035,1979
Minnesota,big-ten,big-ten,53035,1979
Stanford,pac-12,pac-12,53009,1979
Richmond,none,independent,51700,1979
Miami,#N/A,#N/A,51059,1979
Texas Tech,big-12,swc,48507,1979
Oklahoma,big-12,big-8,48459,1979
Baylor,big-12,swc,48423,1979
Oklahoma State,big-12,big-8,48361,1979
North Texas,cusa,none,48355,1979
West Texas A&M,none,mvc,48245,1979
Oklahoma State,big-12,big-8,48245,1979
Texas Tech,big-12,swc,48201,1979
Texas A&M,sec,swc,48201,1979
Baylor,big-12,swc,48201,1979
Baylor,big-12,swc,48201,1979
UCLA,pac-12,pac-12,48181,1979
Southern Methodist,american,swc,48167,1979
Texas A&M,sec,swc,48157,1979
Texas,big-12,swc,48149,1979
Texas,big-12,swc,48121,1979
Texas,big-12,swc,48113,1979
Southern Methodist,american,swc,48091,1979
Georgia Tech,acc,acc,48091,1979
Arizona,pac-12,pac-12,48061,1979
New Mexico,mwc,wac,48049,1979
Baylor,big-12,swc,48039,1979
Southern Methodist,american,swc,48015,1979
East Tennessee State,none,none,47179,1979
Southern Illinois,none,mvc,47157,1979
Tennessee,sec,sec,47093,1979
Tennessee,sec,sec,47093,1979
Georgia Tech,acc,acc,47065,1979
Georgia,sec,sec,45059,1979
Pittsburgh,acc,independent,42129,1979
Syracuse,acc,independent,42101,1979
Pittsburgh,acc,independent,42091,1979
Florida,sec,sec,42091,1979
Maryland,big-ten,acc,42079,1979
Pittsburgh,acc,independent,42017,1979
Pittsburgh,acc,independent,42007,1979
Kansas State,big-12,big-8,42007,1979
Western Kentucky,cusa,none,42003,1979
Utah,pac-12,wac,42003,1979
Pittsburgh,acc,independent,42003,1979
Pittsburgh,acc,independent,42003,1979
Pittsburgh,acc,independent,42003,1979
Arizona State,pac-12,pac-12,42003,1979
Arizona State,pac-12,pac-12,42003,1979
Oregon,pac-12,pac-12,41053,1979
Oklahoma State,big-12,big-8,40109,1979
Toledo,mac,mac,39173,1979
Southern California,pac-12,pac-12,39155,1979
Michigan,big-ten,big-ten,39153,1979
Clemson,acc,acc,39099,1979
Toledo,mac,mac,39061,1979
Purdue,big-ten,big-ten,39061,1979
Notre Dame,acc,independent,39061,1979
Pittsburgh,acc,independent,39057,1979
West Virginia,big-12,independent,39049,1979
West Virginia,big-12,independent,39035,1979
West Virginia,big-12,independent,39035,1979
Purdue,big-ten,big-ten,39035,1979
Southern California,pac-12,pac-12,37183,1979
North Carolina State,acc,acc,37183,1979
Georgia Tech,acc,acc,37179,1979
North Carolina,acc,acc,37159,1979
Clemson,acc,acc,37151,1979
Duke,acc,acc,37063,1979
Duke,acc,acc,37001,1979
Maryland,big-ten,acc,36103,1979
Syracuse,acc,independent,36061,1979
Rutgers,big-ten,independent,36061,1979
Louisiana State,sec,sec,36061,1979
Arizona State,pac-12,pac-12,36061,1979
Princeton,none,none,34031,1979
Arizona State,pac-12,pac-12,34025,1979
Texas Tech,big-12,swc,34013,1979
Syracuse,acc,independent,34013,1979
Miami,#N/A,#N/A,34007,1979
Nebraska,big-ten,big-8,31185,1979
Nebraska,big-ten,big-8,31153,1979
Missouri,sec,big-8,29510,1979
Missouri,sec,big-8,29510,1979
Kansas State,big-12,big-8,29510,1979
Nevada,mwc,none,29165,1979
Missouri,sec,big-8,29095,1979
Clemson,acc,acc,28151,1979
Mississippi State,sec,sec,28121,1979
Mississippi State,sec,sec,28083,1979
Mississippi State,sec,sec,28059,1979
Mississippi,sec,sec,28007,1979
Drake,none,mvc,27137,1979
Iowa State,big-12,big-8,27053,1979
Wyoming,mwc,wac,26163,1979
Texas-El Paso,cusa,wac,26163,1979
Purdue,big-ten,big-ten,26163,1979
Ohio State,big-ten,big-ten,26163,1979
Yale,none,none,26161,1979
Michigan,big-ten,big-ten,26161,1979
Michigan,big-ten,big-ten,26161,1979
Michigan State,big-ten,big-ten,26065,1979
Tennessee,sec,sec,26049,1979
UCLA,pac-12,pac-12,25009,1979
East Carolina,american,independent,24041,1979
Oklahoma,big-12,big-8,24031,1979
Louisiana State,sec,sec,22119,1979
Louisiana State,sec,sec,22101,1979
Tulane,american,independent,22071,1979
Southern Methodist,american,swc,22071,1979
Rice,cusa,swc,22071,1979
Louisiana State,sec,sec,22071,1979
Louisiana State,sec,sec,22071,1979
Alabama,sec,sec,22071,1979
Texas A&M,sec,swc,22055,1979
Michigan,big-ten,big-ten,22019,1979
Michigan,big-ten,big-ten,21111,1979
Kansas,big-12,big-8,20045,1979
Nebraska,big-ten,big-8,19163,1979
Iowa,big-ten,big-ten,19013,1979
Louisville,acc,independent,18097,1979
Illinois,big-ten,big-ten,18097,1979
Notre Dame,acc,independent,18035,1979
Northern Illinois,mac,mac,17089,1979
Oklahoma,big-12,big-8,17031,1979
Northwestern,big-ten,big-ten,17031,1979
Northwestern,big-ten,big-ten,17031,1979
Michigan,big-ten,big-ten,17031,1979
Illinois,big-ten,big-ten,17031,1979
Illinois,big-ten,big-ten,17031,1979
Stanford,pac-12,pac-12,16011,1979
UCLA,pac-12,pac-12,15003,1979
Hawaii,mwc,wac,15003,1979
California,pac-12,pac-12,15003,1979
Vanderbilt,sec,sec,13313,1979
Tennessee,sec,sec,13305,1979
Tennessee,sec,sec,13255,1979
Alabama,sec,sec,13215,1979
Middle Tennessee State,cusa,none,13205,1979
Michigan State,big-ten,big-ten,13121,1979
Clemson,acc,acc,13121,1979
South Carolina,sec,independent,13051,1979
Florida State,acc,independent,13027,1979
Vanderbilt,sec,sec,12109,1979
Tulane,american,independent,12105,1979
Illinois,big-ten,big-ten,12095,1979
Kansas,big-12,big-8,12086,1979
Florida State,acc,independent,12086,1979
Florida,sec,sec,12083,1979
Memphis,american,independent,12069,1979
Florida State,acc,independent,12069,1979
Nebraska,big-ten,big-8,12061,1979
Florida State,acc,independent,12049,1979
Florida,sec,sec,12011,1979
Florida,sec,sec,12011,1979
Georgia,sec,sec,12009,1979
Miami,#N/A,#N/A,12001,1979
North Carolina,acc,acc,11001,1979
Nebraska,big-ten,big-8,11001,1979
Illinois,big-ten,big-ten,11001,1979
Boston College,acc,independent,9009,1979
Pittsburgh,acc,independent,9001,1979
Arkansas,sec,swc,8059,1979
Brigham Young,independent,wac,6115,1979
Boise State,mwc,none,6099,1979
Notre Dame,acc,independent,6083,1979
San Jose State,mwc,big-west,6081,1979
Nevada,mwc,none,6081,1979
California,pac-12,pac-12,6081,1979
Southern California,pac-12,pac-12,6077,1979
Arizona,pac-12,pac-12,6077,1979
UCLA,pac-12,pac-12,6073,1979
Illinois,big-ten,big-ten,6073,1979
Illinois,big-ten,big-ten,6071,1979
Oregon,pac-12,pac-12,6067,1979
Nevada,mwc,none,6067,1979
Stanford,pac-12,pac-12,6059,1979
Arizona State,pac-12,pac-12,6059,1979
Washington State,pac-12,pac-12,6037,1979
Washington,pac-12,pac-12,6037,1979
UCLA,pac-12,pac-12,6037,1979
Tulsa,american,mvc,6037,1979
Texas Christian,big-12,swc,6037,1979
Southern California,pac-12,pac-12,6037,1979
Southern California,pac-12,pac-12,6037,1979
Southern California,pac-12,pac-12,6037,1979
San Diego State,mwc,wac,6037,1979
San Diego State,mwc,wac,6037,1979
Purdue,big-ten,big-ten,6037,1979
Oregon State,pac-12,pac-12,6037,1979
Oklahoma,big-12,big-8,6037,1979
Nevada-Las Vegas,mwc,big-west,6037,1979
Louisiana State,sec,sec,6037,1979
Long Beach State,none,big-west,6037,1979
Iowa,big-ten,big-ten,6037,1979
Fresno State,mwc,big-west,6037,1979
California,pac-12,pac-12,6037,1979
Brigham Young,independent,wac,6037,1979
Arizona State,pac-12,pac-12,6037,1979
Arizona State,pac-12,pac-12,6037,1979
Arizona State,pac-12,pac-12,6037,1979
Arizona State,pac-12,pac-12,6037,1979
Air Force,mwc,wac,6037,1979
San Jose State,mwc,big-west,6031,1979
Fresno State,mwc,big-west,6019,1979
San Jose State,mwc,big-west,6001,1979
California,pac-12,pac-12,6001,1979
Arkansas,sec,swc,5143,1979
Southern California,pac-12,pac-12,5119,1979
Arkansas,sec,swc,5103,1979
Arkansas,sec,swc,5099,1979
Louisiana Tech,cusa,none,5045,1979
Louisiana Tech,cusa,none,5003,1979
Arkansas,sec,swc,5003,1979
Stanford,pac-12,pac-12,4019,1979
Idaho,sun-belt,none,4019,1979
Southern Methodist,american,swc,1117,1979
Missouri,sec,big-8,1117,1979
Arizona State,pac-12,pac-12,1117,1979
Alabama,sec,sec,1115,1979
Kent State,mac,mac,1113,1979
Auburn,sec,sec,1089,1979
Tennessee,sec,sec,1077,1979
Washington,pac-12,pac-12,0,1979
Virginia,acc,acc,0,1979
Texas-El Paso,cusa,wac,0,1979
Texas,big-12,swc,0,1979
Southern California,pac-12,pac-12,0,1979
Oklahoma,big-12,big-8,0,1979
Mississippi State,sec,sec,0,1979
Miami,#N/A,#N/A,0,1979
Hawaii,mwc,wac,0,1979
Hawaii,mwc,wac,0,1979
Clemson,acc,acc,0,1979
Clemson,acc,acc,0,1979
California,pac-12,pac-12,0,1979
Arizona State,pac-12,pac-12,0,1979
Arizona,pac-12,pac-12,0,1979
Michigan,big-ten,big-ten,55079,1978
West Virginia,big-12,independent,54039,1978
Washington,pac-12,pac-12,53053,1978
Utah,pac-12,wac,53053,1978
Oregon,pac-12,pac-12,53053,1978
Utah State,mwc,big-west,53035,1978
San Diego State,mwc,wac,53015,1978
Hawaii,mwc,wac,53005,1978
Virginia,acc,acc,51760,1978
Duke,acc,acc,51710,1978
Oregon,pac-12,pac-12,51181,1978
Virginia,acc,acc,51115,1978
East Tennessee State,none,none,51083,1978
Utah,pac-12,wac,49035,1978
Arizona State,pac-12,pac-12,49035,1978
Texas-El Paso,cusa,wac,48495,1978
Texas,big-12,swc,48495,1978
Rice,cusa,swc,48491,1978
Miami,#N/A,#N/A,48485,1978
Texas Tech,big-12,swc,48449,1978
Texas,big-12,swc,48439,1978
West Texas A&M,none,mvc,48415,1978
Utah State,mwc,big-west,48415,1978
Houston,american,swc,48355,1978
Louisiana Tech,cusa,none,48343,1978
Baylor,big-12,swc,48309,1978
Baylor,big-12,swc,48303,1978
Texas,big-12,swc,48293,1978
Texas A&M,sec,swc,48255,1978
Texas,big-12,swc,48245,1978
Texas A&M,sec,swc,48217,1978
Texas A&M,sec,swc,48201,1978
Texas,big-12,swc,48201,1978
Southern Methodist,american,swc,48201,1978
San Diego State,mwc,wac,48201,1978
Texas,big-12,swc,48199,1978
Tulsa,american,mvc,48183,1978
Baylor,big-12,swc,48181,1978
Texas,big-12,swc,48177,1978
Southern Methodist,american,swc,48167,1978
Texas,big-12,swc,48149,1978
Texas,big-12,swc,48141,1978
Oklahoma,big-12,big-8,48121,1978
Drake,none,mvc,48121,1978
West Texas A&M,none,mvc,48091,1978
Texas,big-12,swc,48091,1978
Texas Christian,big-12,swc,48067,1978
Tennessee,sec,sec,47157,1978
South Carolina,sec,independent,45051,1978
North Carolina State,acc,acc,45051,1978
Clemson,acc,acc,45045,1978
Pennsylvania,none,none,42101,1978
Notre Dame,acc,independent,42101,1978
Boston College,acc,independent,42101,1978
Pittsburgh,acc,independent,42091,1978
Syracuse,acc,independent,42045,1978
Northwestern,big-ten,big-ten,42045,1978
Kent State,mac,mac,42013,1978
Cincinnati,american,independent,42007,1978
Duke,acc,acc,42003,1978
Washington State,pac-12,pac-12,41033,1978
Texas,big-12,swc,40111,1978
Southern California,pac-12,pac-12,40101,1978
Oklahoma State,big-12,big-8,40065,1978
Ohio State,big-ten,big-ten,40031,1978
Arizona State,pac-12,pac-12,40019,1978
Syracuse,acc,independent,39153,1978
Florida,sec,sec,39151,1978
Syracuse,acc,independent,39133,1978
Texas,big-12,swc,39099,1978
Michigan,big-ten,big-ten,39099,1978
Wisconsin,big-ten,big-ten,39061,1978
Purdue,big-ten,big-ten,39061,1978
Notre Dame,acc,independent,39061,1978
Iowa State,big-12,big-8,39061,1978
Ohio State,big-ten,big-ten,39047,1978
Ohio State,big-ten,big-ten,39043,1978
Tennessee,sec,sec,39035,1978
Ohio State,big-ten,big-ten,39035,1978
Notre Dame,acc,independent,39035,1978
Illinois,big-ten,big-ten,39035,1978
Cincinnati,american,independent,39029,1978
North Carolina,acc,acc,37191,1978
Duke,acc,acc,37187,1978
North Carolina,acc,acc,37171,1978
North Carolina State,acc,acc,37163,1978
North Carolina State,acc,acc,37153,1978
North Carolina,acc,acc,37153,1978
Kansas,big-12,big-8,37151,1978
Wake Forest,acc,acc,37133,1978
Arizona State,pac-12,pac-12,37119,1978
Arizona State,pac-12,pac-12,37119,1978
Clemson,acc,acc,37081,1978
Wake Forest,acc,acc,37067,1978
North Carolina,acc,acc,37067,1978
Clemson,acc,acc,37057,1978
Syracuse,acc,independent,37051,1978
Virginia Tech,acc,independent,37041,1978
North Carolina,acc,acc,37031,1978
Western Carolina,none,none,37021,1978
East Carolina,american,independent,37015,1978
Wisconsin,big-ten,big-ten,36061,1978
North Texas,cusa,independent,36061,1978
Syracuse,acc,independent,36029,1978
Arizona State,pac-12,pac-12,36013,1978
New Mexico State,sun-belt,mvc,35013,1978
William & Mary,none,independent,34025,1978
Virginia Tech,acc,independent,34023,1978
Brigham Young,independent,wac,34017,1978
Maryland,big-ten,acc,34013,1978
Nevada-Las Vegas,mwc,big-west,32003,1978
Colorado State,mwc,wac,30029,1978
Illinois,big-ten,big-ten,29510,1978
Mississippi State,sec,sec,28151,1978
Mississippi State,sec,sec,28151,1978
Mississippi State,sec,sec,28121,1978
Southern Mississippi,cusa,independent,28089,1978
Purdue,big-ten,big-ten,28025,1978
Arizona,pac-12,pac-12,28025,1978
Nebraska,big-ten,big-8,27053,1978
Minnesota,big-ten,big-ten,27053,1978
Minnesota,big-ten,big-ten,27053,1978
Oregon State,pac-12,pac-12,26163,1978
Michigan,big-ten,big-ten,26163,1978
Tulane,american,independent,26161,1978
Central Michigan,mac,mac,26081,1978
Michigan,big-ten,big-ten,26049,1978
Iowa,big-ten,big-ten,25027,1978
Harvard,none,none,25025,1978
Boston College,acc,independent,25025,1978
Boston College,acc,independent,25017,1978
Massachusetts,mac,none,25009,1978
Arizona State,pac-12,pac-12,22127,1978
Louisiana Tech,cusa,none,22073,1978
South Carolina,sec,independent,22071,1978
San Diego State,mwc,wac,22071,1978
Oregon,pac-12,pac-12,22071,1978
Oklahoma,big-12,big-8,22071,1978
North Texas,cusa,independent,22071,1978
Louisiana State,sec,sec,22033,1978
Louisiana State,sec,sec,22017,1978
Nebraska,big-ten,big-8,19061,1978
Indiana State,none,mvc,18167,1978
Wisconsin,big-ten,big-ten,18095,1978
Purdue,big-ten,big-ten,18003,1978
Michigan,big-ten,big-ten,17197,1978
Illinois,big-ten,big-ten,17167,1978
Missouri,sec,big-8,17031,1978
Michigan,big-ten,big-ten,17031,1978
Memphis,american,independent,17031,1978
Boise State,mwc,none,16039,1978
Hawaii,mwc,wac,15007,1978
Arizona State,pac-12,pac-12,15007,1978
Georgia,sec,sec,13305,1978
Chattanooga,none,none,13245,1978
Florida State,acc,independent,13121,1978
Clemson,acc,acc,13121,1978
Arizona,pac-12,pac-12,13121,1978
Georgia,sec,sec,13067,1978
Louisville,acc,independent,12131,1978
Auburn,sec,sec,12121,1978
Richmond,none,independent,12115,1978
Missouri,sec,big-8,12109,1978
Michigan State,big-ten,big-ten,12099,1978
Miami,#N/A,#N/A,12099,1978
Florida,sec,sec,12099,1978
Oklahoma,big-12,big-8,12086,1978
Miami,#N/A,#N/A,12086,1978
South Carolina,sec,independent,12071,1978
Florida,sec,sec,12057,1978
Auburn,sec,sec,12057,1978
Nevada-Las Vegas,mwc,big-west,12033,1978
Minnesota,big-ten,big-ten,12011,1978
Auburn,sec,sec,12011,1978
Miami,#N/A,#N/A,12001,1978
Nebraska,big-ten,big-8,11001,1978
North Carolina,acc,acc,10003,1978
Yale,none,none,9009,1978
Oregon,pac-12,pac-12,6103,1978
California,pac-12,pac-12,6085,1978
UCLA,pac-12,pac-12,6073,1978
Southern California,pac-12,pac-12,6073,1978
Arizona State,pac-12,pac-12,6073,1978
Stanford,pac-12,pac-12,6067,1978
San Jose State,mwc,big-west,6067,1978
Utah,pac-12,wac,6059,1978
UCLA,pac-12,pac-12,6059,1978
Colorado,pac-12,big-8,6059,1978
San Jose State,mwc,big-west,6041,1978
Yale,none,none,6037,1978
Washington,pac-12,pac-12,6037,1978
Utah State,mwc,big-west,6037,1978
Utah,pac-12,wac,6037,1978
Utah,pac-12,wac,6037,1978
Utah,pac-12,wac,6037,1978
Utah,pac-12,wac,6037,1978
UCLA,pac-12,pac-12,6037,1978
UCLA,pac-12,pac-12,6037,1978
Southern California,pac-12,pac-12,6037,1978
Southern California,pac-12,pac-12,6037,1978
Southern California,pac-12,pac-12,6037,1978
San Diego State,mwc,wac,6037,1978
Purdue,big-ten,big-ten,6037,1978
Oregon,pac-12,pac-12,6037,1978
Long Beach State,none,big-west,6037,1978
Hawaii,mwc,wac,6037,1978
Hawaii,mwc,wac,6037,1978
Brigham Young,independent,wac,6037,1978
Arizona State,pac-12,pac-12,6037,1978
Idaho,sun-belt,none,6023,1978
Fresno State,mwc,big-west,6019,1978
California,pac-12,pac-12,6019,1978
Stanford,pac-12,pac-12,6007,1978
Fresno State,mwc,big-west,5117,1978
Arkansas,sec,swc,5003,1978
Brown,none,none,4013,1978
Arizona State,pac-12,pac-12,4003,1978
Nevada-Las Vegas,mwc,big-west,1117,1978
Iowa,big-ten,big-ten,1117,1978
California,pac-12,pac-12,1117,1978
Baylor,big-12,swc,1117,1978
Michigan State,big-ten,big-ten,1015,1978
UCLA,pac-12,pac-12,0,1978
Tulane,american,independent,0,1978
Texas Tech,big-12,swc,0,1978
Syracuse,acc,independent,0,1978
Syracuse,acc,independent,0,1978
Southern California,pac-12,pac-12,0,1978
Pacific,none,big-west,0,1978
North Carolina,acc,acc,0,1978
Michigan State,big-ten,big-ten,0,1978
Louisiana State,sec,sec,0,1978
Florida State,acc,independent,0,1978
Florida State,acc,independent,0,1978
East Carolina,american,independent,0,1978
Citadel,none,none,0,1978
Brown,none,none,0,1978
Arizona State,pac-12,pac-12,0,1978
Alabama,sec,sec,0,1978
West Virginia,big-12,independent,54039,1977
West Virginia,big-12,independent,54003,1977
Washington State,pac-12,pac-12,53077,1977
Washington State,pac-12,pac-12,53057,1977
Washington,pac-12,pac-12,53053,1977
UCLA,pac-12,pac-12,53035,1977
California,pac-12,pac-12,53035,1977
North Carolina State,acc,acc,51710,1977
North Carolina,acc,acc,51710,1977
Virginia Tech,acc,independent,51680,1977
UCLA,pac-12,pac-12,51550,1977
North Carolina,acc,acc,51195,1977
North Carolina,acc,acc,51095,1977
Tennessee,sec,sec,51089,1977
Maryland,big-ten,acc,51003,1977
Brigham Young,independent,wac,49057,1977
Brigham Young,independent,wac,49035,1977
San Diego State,mwc,wac,48329,1977
Houston,american,swc,48315,1977
Tulsa,american,mvc,48309,1977
New Mexico,mwc,wac,48303,1977
Tulane,american,independent,48245,1977
Oklahoma State,big-12,big-8,48201,1977
Oklahoma State,big-12,big-8,48201,1977
Oklahoma State,big-12,big-8,48201,1977
Houston,american,swc,48201,1977
Houston,american,swc,48201,1977
Houston,american,swc,48201,1977
Georgia,sec,sec,48201,1977
Baylor,big-12,swc,48201,1977
Southern Methodist,american,swc,48183,1977
Rice,cusa,swc,48121,1977
Baylor,big-12,swc,48099,1977
Rice,cusa,swc,48091,1977
Colorado State,mwc,wac,48091,1977
Baylor,big-12,swc,48091,1977
Baylor,big-12,swc,48053,1977
Louisiana State,sec,sec,48037,1977
Texas Tech,big-12,swc,48027,1977
Tennessee,sec,sec,47093,1977
Kansas State,big-12,big-8,47065,1977
Tennessee,sec,sec,47009,1977
South Carolina,sec,independent,45071,1977
Pittsburgh,acc,independent,42129,1977
Pittsburgh,acc,independent,42129,1977
Wake Forest,acc,acc,42101,1977
Brown,none,ivy,42101,1977
Pittsburgh,acc,independent,42091,1977
Virginia,acc,acc,42083,1977
Pittsburgh,acc,independent,42069,1977
Ohio State,big-ten,big-ten,42049,1977
Southern California,pac-12,pac-12,42003,1977
Ohio State,big-ten,big-ten,42003,1977
Oregon,pac-12,pac-12,41053,1977
Stanford,pac-12,pac-12,41017,1977
Oklahoma State,big-12,big-8,40125,1977
Oklahoma,big-12,big-8,40109,1977
West Texas A&M,none,mvc,40031,1977
Oklahoma,big-12,big-8,40023,1977
Oklahoma,big-12,big-8,40021,1977
Purdue,big-ten,big-ten,39153,1977
Ohio State,big-ten,big-ten,39151,1977
Notre Dame,acc,independent,39151,1977
Bowling Green,mac,mac,39151,1977
UCLA,pac-12,pac-12,39113,1977
Miami (OH),mac,mac,39113,1977
Florida,sec,sec,39113,1977
Arizona,pac-12,pac-12,39093,1977
Ohio State,big-ten,big-ten,39085,1977
Notre Dame,acc,independent,39061,1977
Miami (OH),mac,mac,39061,1977
Iowa State,big-12,big-8,39061,1977
Cincinnati,american,independent,39061,1977
Arizona,pac-12,pac-12,39061,1977
Ohio State,big-ten,big-ten,39059,1977
Florida State,acc,independent,39049,1977
Virginia,acc,acc,39035,1977
Pittsburgh,acc,independent,39035,1977
Oklahoma State,big-12,big-8,39035,1977
Michigan State,big-ten,big-ten,39035,1977
Arizona,pac-12,pac-12,39035,1977
Ohio State,big-ten,big-ten,39017,1977
Wake Forest,acc,acc,37163,1977
Alabama,sec,sec,37159,1977
North Carolina,acc,acc,37155,1977
East Carolina,american,independent,37091,1977
North Carolina State,acc,acc,37001,1977
Princeton,none,ivy,36123,1977
North Carolina State,acc,acc,36109,1977
Notre Dame,acc,independent,36103,1977
Maryland,big-ten,acc,36103,1977
Boston College,acc,independent,36083,1977
Pittsburgh,acc,independent,36077,1977
Utah State,mwc,big-west,36061,1977
Miami,#N/A,#N/A,36029,1977
Temple,american,independent,36021,1977
Notre Dame,acc,independent,36001,1977
Southern California,pac-12,pac-12,35043,1977
Virginia,acc,acc,34031,1977
Wake Forest,acc,acc,34013,1977
Syracuse,acc,independent,34013,1977
North Carolina State,acc,acc,34009,1977
Connecticut,american,none,34007,1977
Rutgers,big-ten,independent,34005,1977
Nevada,mwc,none,32031,1977
Texas,big-12,swc,32003,1977
Nevada,mwc,none,32003,1977
Brigham Young,independent,wac,32003,1977
Stanford,pac-12,pac-12,31153,1977
Wyoming,mwc,wac,30093,1977
Missouri,sec,big-8,29510,1977
Missouri,sec,big-8,29510,1977
Missouri,sec,big-8,29510,1977
Missouri,sec,big-8,29201,1977
Missouri,sec,big-8,29165,1977
Missouri,sec,big-8,29019,1977
Arizona State,pac-12,pac-12,29019,1977
Mississippi,sec,sec,28151,1977
UCLA,pac-12,pac-12,28121,1977
Pittsburgh,acc,independent,28059,1977
Pittsburgh,acc,independent,28001,1977
Nebraska,big-ten,big-8,27053,1977
Minnesota,big-ten,big-ten,27053,1977
Wyoming,mwc,wac,26163,1977
Purdue,big-ten,big-ten,26163,1977
Michigan,big-ten,big-ten,26163,1977
Michigan,big-ten,big-ten,26163,1977
Nevada,mwc,none,26125,1977
Washington,pac-12,pac-12,24037,1977
Pittsburgh,acc,independent,24025,1977
Maryland,big-ten,acc,24001,1977
Yale,none,ivy,22123,1977
Tulane,american,independent,22071,1977
Purdue,big-ten,big-ten,22067,1977
Louisiana State,sec,sec,22055,1977
Louisiana State,sec,sec,22055,1977
Louisiana Tech,cusa,southland,22049,1977
Louisiana State,sec,sec,22033,1977
North Texas,cusa,independent,22017,1977
Arkansas,sec,swc,22017,1977
Louisville,acc,independent,21111,1977
Dartmouth,none,ivy,21067,1977
Kansas,big-12,big-8,20209,1977
Kansas State,big-12,big-8,20159,1977
Kansas,big-12,big-8,20121,1977
Kansas,big-12,big-8,20061,1977
Iowa,big-ten,big-ten,19193,1977
Brigham Young,independent,wac,19153,1977
Iowa,big-ten,big-ten,19103,1977
Wisconsin,big-ten,big-ten,19013,1977
Missouri,sec,big-8,18141,1977
Purdue,big-ten,big-ten,18003,1977
Stanford,pac-12,pac-12,17031,1977
Northern Illinois,mac,mac,17031,1977
Nevada-Las Vegas,mwc,independent,17031,1977
Illinois,big-ten,big-ten,17031,1977
Colorado,pac-12,big-8,17031,1977
Maryland,big-ten,acc,17019,1977
Tennessee,sec,sec,16065,1977
Hawaii,mwc,wac,15003,1977
Boise State,mwc,none,15003,1977
Auburn,sec,sec,13153,1977
South Carolina,sec,independent,13135,1977
Pittsburgh,acc,independent,13121,1977
Georgia,sec,sec,13121,1977
Georgia,sec,sec,13115,1977
Auburn,sec,sec,13105,1977
Louisville,acc,independent,13095,1977
