school,current_conf,historic_conf,county,recruit_year
Auburn,sec,sec,39035,1999
North Carolina State,acc,acc,37183,1999
Tennessee,sec,sec,37161,1999
UCLA,pac-12,pac-12,37119,1999
North Carolina State,acc,acc,37081,1999
Florida State,acc,acc,37045,1999
Cincinnati,american,cusa,36103,1999
Auburn,sec,sec,34031,1999
Temple,american,big-east,34025,1999
Rutgers,big-ten,big-east,34023,1999
Syracuse,acc,big-east,34013,1999
Michigan,big-ten,big-ten,34005,1999
Utah State,mwc,sun-belt,31153,1999
Kansas State,big-12,big-12,29510,1999
Mississippi State,sec,sec,28127,1999
Mississippi State,sec,sec,28011,1999
Iowa,big-ten,big-ten,27163,1999
Minnesota,big-ten,big-ten,27053,1999
Colorado State,mwc,mwc,27053,1999
Wyoming,mwc,mwc,27019,1999
Michigan,big-ten,big-ten,26163,1999
Michigan State,big-ten,big-ten,26145,1999
Eastern Michigan,mac,mac,26049,1999
Northwestern,big-ten,big-ten,25009,1999
Colorado,pac-12,big-12,25009,1999
Pennsylvania,none,none,24003,1999
Louisiana State,sec,sec,22117,1999
Notre Dame,acc,independent,22105,1999
Louisiana State,sec,sec,22105,1999
San Diego State,mwc,mwc,22097,1999
Louisiana State,sec,sec,22079,1999
Florida State,acc,acc,22071,1999
Louisiana State,sec,sec,22055,1999
Louisiana-Lafayette,sun-belt,sun-belt,22033,1999
Louisiana State,sec,sec,22019,1999
Western Kentucky,cusa,none,21111,1999
Indiana,big-ten,big-ten,21111,1999
Kentucky,sec,sec,21047,1999
Northwestern,big-ten,big-ten,20209,1999
Minnesota,big-ten,big-ten,20091,1999
Iowa,big-ten,big-ten,19147,1999
Iowa,big-ten,big-ten,19017,1999
Indiana,big-ten,big-ten,18157,1999
Purdue,big-ten,big-ten,18035,1999
Bowling Green,mac,mac,17191,1999
Purdue,big-ten,big-ten,17119,1999
Northwestern,big-ten,big-ten,17043,1999
Colorado,pac-12,big-12,17043,1999
Illinois,big-ten,big-ten,17031,1999
Illinois,big-ten,big-ten,17031,1999
Idaho,sun-belt,sun-belt,16027,1999
Boise State,mwc,wac,16001,1999
Hawaii,mwc,wac,15003,1999
Brigham Young,independent,mwc,15003,1999
Arizona,pac-12,pac-12,15003,1999
Florida State,acc,acc,13261,1999
Georgia,sec,sec,13255,1999
Clemson,acc,acc,13255,1999
Auburn,sec,sec,13215,1999
Tulane,american,cusa,13121,1999
Alabama-Birmingham,cusa,cusa,13121,1999
Middle Tennessee State,cusa,sun-belt,13089,1999
Georgia Tech,acc,acc,13077,1999
Georgia,sec,sec,13021,1999
Georgia,sec,sec,13021,1999
Central Florida,american,mac,12101,1999
Tennessee,sec,sec,12099,1999
Louisville,acc,cusa,12086,1999
Colorado State,mwc,mwc,12086,1999
Cincinnati,american,cusa,12086,1999
Central Florida,american,mac,12086,1999
West Virginia,big-12,big-east,12085,1999
Tulane,american,cusa,12081,1999
Florida State,acc,acc,12081,1999
Florida,sec,sec,12073,1999
Southern Mississippi,cusa,cusa,12061,1999
Syracuse,acc,big-east,12057,1999
Miami,#N/A,#N/A,12057,1999
South Florida,american,cusa,12017,1999
Miami,#N/A,#N/A,12011,1999
Florida,sec,sec,12011,1999
Miami,#N/A,#N/A,12009,1999
Florida,sec,sec,12009,1999
Florida,sec,sec,12001,1999
Wake Forest,acc,acc,11001,1999
North Carolina,acc,acc,11001,1999
South Carolina,sec,sec,9003,1999
Oklahoma,big-12,big-12,8059,1999
Kentucky,sec,sec,8059,1999
Illinois,big-ten,big-ten,8031,1999
Southern California,pac-12,pac-12,6085,1999
Stanford,pac-12,pac-12,6073,1999
Stanford,pac-12,pac-12,6073,1999
Notre Dame,acc,independent,6073,1999
Indiana,big-ten,big-ten,6073,1999
Stanford,pac-12,pac-12,6071,1999
Tennessee,sec,sec,6067,1999
Oregon,pac-12,pac-12,6067,1999
Michigan,big-ten,big-ten,6065,1999
Washington State,pac-12,pac-12,6037,1999
Tennessee,sec,sec,6037,1999
Southern California,pac-12,pac-12,6037,1999
Southern California,pac-12,pac-12,6037,1999
San Diego State,mwc,mwc,6037,1999
Oregon State,pac-12,pac-12,6037,1999
Oregon,pac-12,pac-12,6037,1999
Michigan State,big-ten,big-ten,6037,1999
Michigan,big-ten,big-ten,6037,1999
Kansas State,big-12,big-12,6037,1999
Colorado,pac-12,big-12,6037,1999
California,pac-12,pac-12,6037,1999
Brigham Young,independent,mwc,6037,1999
Arkansas,sec,sec,6037,1999
Arizona State,pac-12,pac-12,6037,1999
UCLA,pac-12,pac-12,6019,1999
Oregon State,pac-12,pac-12,6013,1999
Oregon State,pac-12,pac-12,6001,1999
Arizona,pac-12,pac-12,6001,1999
Washington State,pac-12,pac-12,4013,1999
Arizona State,pac-12,pac-12,4013,1999
Arizona,pac-12,pac-12,4013,1999
Alabama,sec,sec,1117,1999
Florida State,acc,acc,1101,1999
Tennessee,sec,sec,1089,1999
Cincinnati,american,cusa,1025,1999
Southern Mississippi,cusa,cusa,1005,1999
Alabama,sec,sec,1003,1999
Louisville,acc,cusa,1001,1999
Washington State,pac-12,pac-12,0,1999
Wake Forest,acc,acc,0,1999
Wake Forest,acc,acc,0,1999
Virginia Tech,acc,big-east,0,1999
Virginia,acc,acc,0,1999
Vanderbilt,sec,sec,0,1999
Utah State,mwc,sun-belt,0,1999
Utah,pac-12,mwc,0,1999
UCLA,pac-12,pac-12,0,1999
UCLA,pac-12,pac-12,0,1999
Troy,sun-belt,independent,0,1999
Texas,big-12,big-12,0,1999
Texas,big-12,big-12,0,1999
Tennessee,sec,sec,0,1999
Tennessee,sec,sec,0,1999
Tennessee,sec,sec,0,1999
Stanford,pac-12,pac-12,0,1999
Southern California,pac-12,pac-12,0,1999
Southern California,pac-12,pac-12,0,1999
South Florida,american,cusa,0,1999
San Diego State,mwc,mwc,0,1999
Rice,cusa,wac,0,1999
Pittsburgh,acc,big-east,0,1999
Oregon State,pac-12,pac-12,0,1999
Oklahoma State,big-12,big-12,0,1999
Oklahoma,big-12,big-12,0,1999
Ohio State,big-ten,big-ten,0,1999
Ohio State,big-ten,big-ten,0,1999
Notre Dame,acc,independent,0,1999
Notre Dame,acc,independent,0,1999
Notre Dame,acc,independent,0,1999
North Carolina,acc,acc,0,1999
New Mexico State,sun-belt,sun-belt,0,1999
Nevada,mwc,wac,0,1999
Nebraska,big-ten,big-12,0,1999
Nebraska,big-ten,big-12,0,1999
Nebraska,big-ten,big-12,0,1999
Missouri,sec,big-12,0,1999
Mississippi State,sec,sec,0,1999
Mississippi State,sec,sec,0,1999
Mississippi State,sec,sec,0,1999
Middle Tennessee State,cusa,sun-belt,0,1999
Middle Tennessee State,cusa,sun-belt,0,1999
Miami,#N/A,#N/A,0,1999
Memphis,american,cusa,0,1999
Maryland,big-ten,acc,0,1999
Maryland,big-ten,acc,0,1999
Marshall,cusa,mac,0,1999
Marshall,cusa,mac,0,1999
Louisiana-Lafayette,sun-belt,sun-belt,0,1999
Louisiana-Lafayette,sun-belt,sun-belt,0,1999
Louisiana State,sec,sec,0,1999
Louisiana State,sec,sec,0,1999
Kent State,mac,mac,0,1999
Kansas State,big-12,big-12,0,1999
Iowa State,big-12,big-12,0,1999
Iowa,big-ten,big-ten,0,1999
Iowa,big-ten,big-ten,0,1999
Indiana,big-ten,big-ten,0,1999
Illinois,big-ten,big-ten,0,1999
Illinois,big-ten,big-ten,0,1999
Illinois,big-ten,big-ten,0,1999
Illinois,big-ten,big-ten,0,1999
Illinois,big-ten,big-ten,0,1999
Hawaii,mwc,wac,0,1999
Hawaii,mwc,wac,0,1999
Hawaii,mwc,wac,0,1999
Georgia Tech,acc,acc,0,1999
Georgia,sec,sec,0,1999
Georgia,sec,sec,0,1999
Georgia,sec,sec,0,1999
Georgia,sec,sec,0,1999
Fresno State,mwc,wac,0,1999
Fresno State,mwc,wac,0,1999
Fresno State,mwc,wac,0,1999
Florida State,acc,acc,0,1999
Florida State,acc,acc,0,1999
Florida,sec,sec,0,1999
Eastern Michigan,mac,mac,0,1999
Colorado,pac-12,big-12,0,1999
Colorado,pac-12,big-12,0,1999
Chattanooga,none,none,0,1999
Central Florida,american,mac,0,1999
California,pac-12,pac-12,0,1999
California,pac-12,pac-12,0,1999
California,pac-12,pac-12,0,1999
California,pac-12,pac-12,0,1999
Brigham Young,independent,mwc,0,1999
Boston College,acc,big-east,0,1999
Boston College,acc,big-east,0,1999
Boise State,mwc,wac,0,1999
Arkansas,sec,sec,0,1999
Arizona State,pac-12,pac-12,0,1999
Arizona State,pac-12,pac-12,0,1999
Arizona,pac-12,pac-12,0,1999
Alabama,sec,sec,0,1999
