source,school,current_conf,historic_conf,county,name,recruit_year,hometown,state
dbf,Louisiana State,sec,sec,22055,"Davis, Domanick",1999,Lafayette,LA
dbf,Louisiana-Lafayette,sun-belt,sun-belt,22033,"Franklin, Brad",1999,Baton Rouge,LA
dbf,Louisiana State,sec,sec,22019,"Winey, Brandon",1999,Lake Charles,LA
dbf,Western Kentucky,cusa,none,21111,"Johnson, Jeremi",1999,Louisville,KY
dbf,Indiana,big-ten,big-ten,21111,"Johnson, Jeremi",1999,Louisville,KY
dbf,Kentucky,sec,sec,21047,"Pinner, Artose",1999,Hopkinsville,KY
dbf,Northwestern,big-ten,big-ten,20209,"Simmons, Sam",1999,Kansas City,KS
dbf,Minnesota,big-ten,big-ten,20091,"Bruce, Arland",1999,Olathe,KS
dbf,Iowa,big-ten,big-ten,19147,"Nelson, Bruce",1999,Emmetsburg,IA
dbf,Iowa,big-ten,big-ten,19017,"Pagel, Derek",1999,Plainfield,IA
dbf,Indiana,big-ten,big-ten,18157,"Smith, Justin",1999,Lafayette,IN
dbf,Purdue,big-ten,big-ten,18035,"Gorin, Brandon",1999,Muncie,IN
dbf,Bowling Green,mac,mac,17191,"Hicks, Brandon",1999,Shields,IL
dbf,Purdue,big-ten,big-ten,17119,"Odom, Joe",1999,Bethalto,IL
dbf,Northwestern,big-ten,big-ten,17043,"Brown, Chris",1999,Winfield,IL
dbf,Colorado,pac-12,big-12,17043,"Brown, Chris",1999,Winfield,IL
dbf,Illinois,big-ten,big-ten,17031,"Kittner, Kurt",1999,Schaumburg,IL
dbf,Illinois,big-ten,big-ten,17031,"Young, Walter",1999,Chicago Heights,IL
dbf,Idaho,sun-belt,sun-belt,16027,"Kramer, Jordan",1999,Parma,ID
dbf,Boise State,mwc,wac,16001,"Forsey, Brock",1999,Meridian,ID
dbf,Hawaii,mwc,wac,15003,"Wong, Joe",1999,Honolulu,HI
dbf,Brigham Young,independent,mwc,15003,"Wong, Joe",1999,Honolulu,HI
dbf,Arizona,pac-12,pac-12,15003,"Freitas, Makoa",1999,Honolulu,HI
dbf,Florida State,acc,acc,13261,"Jackson, Alonzo",1999,Americus,GA
dbf,Georgia,sec,sec,13255,"Sullivan, Johnathan",1999,Griffin,GA
dbf,Clemson,acc,acc,13255,"Morgan, Dwayne",1999,Griffin,GA
dbf,Auburn,sec,sec,13215,"Hood, Roderick",1999,Columbus,GA
dbf,Tulane,american,cusa,13121,"Marler, Seth",1999,Atlanta,GA
dbf,Alabama-Birmingham,cusa,cusa,13121,"Brown, Chris",1999,Atlanta,GA
dbf,Middle Tennessee State,cusa,sun-belt,13089,"Newson, Kendall",1999,Decatur,GA
dbf,Georgia Tech,acc,acc,13077,"Young, Chris",1999,Senoia,GA
dbf,Georgia,sec,sec,13021,"Foster, George",1999,Macon,GA
dbf,Georgia,sec,sec,13021,"Gilbert, Tony",1999,Macon,GA
dbf,Central Florida,american,mac,12101,"Hart, Clinton",1999,Dade City,FL
dbf,Tennessee,sec,sec,12099,"Battle, Julian",1999,Royal Palm Beach,FL
dbf,Louisville,acc,cusa,12086,"Burns, Curry",1999,Miami,FL
dbf,Colorado State,mwc,mwc,12086,"Sapp, Cecil",1999,Miami,FL
dbf,Cincinnati,american,cusa,12086,"Adams, Blue",1999,Miami,FL
dbf,Central Florida,american,mac,12086,"Gabriel, Doug",1999,Miami,FL
dbf,West Virginia,big-12,big-east,12085,"Davis, James",1999,Stuart,FL
dbf,Tulane,american,cusa,12081,"Roundtree, Alphonso",1999,Bradenton,FL
dbf,Florida State,acc,acc,12081,"Williams, Todd",1999,Bradenton,FL
dbf,Florida,sec,sec,12073,"Jacobs, Taylor",1999,Tallahassee,FL
dbf,Southern Mississippi,cusa,cusa,12061,"Stewart, Daleroy",1999,Vero Beach,FL
