id,name,male_18_to_24,cfb_players,cbb_players,pred_cfb,pred_cbb,resid_cfb,resid_cbb,percent_cfb,percent_cbb
31017,"Brown, Nebraska",83,0,0,0.643526456,-0.226700268,-0.643526456,0.226700268,-0.007753331,0.002731329
38043,"Kidder, North Dakota",83,0,0,0.643526456,-0.226700268,-0.643526456,0.226700268,-0.007753331,0.002731329
20023,"Cheyenne, Kansas",85,0,0,0.646566814,-0.226017919,-0.646566814,0.226017919,-0.007606668,0.002659034
46111,"Sanborn, South Dakota",85,0,0,0.646566814,-0.226017919,-0.646566814,0.226017919,-0.007606668,0.002659034
20039,"Decatur, Kansas",87,0,0,0.649607172,-0.22533557,-0.649607172,0.22533557,-0.007466749,0.002590064
35003,"Catron, New Mexico",87,0,0,0.649607172,-0.22533557,-0.649607172,0.22533557,-0.007466749,0.002590064
20207,"Woodson, Kansas",88,0,0,0.651127351,-0.224994395,-0.651127351,0.224994395,-0.007399174,0.002556754
30051,"Liberty, Montana",88,0,0,0.651127351,-0.224994395,-0.651127351,0.224994395,-0.007399174,0.002556754
31087,"Hitchcock, Nebraska",88,0,0,0.651127351,-0.224994395,-0.651127351,0.224994395,-0.007399174,0.002556754
46003,"Aurora, South Dakota",88,0,0,0.651127351,-0.224994395,-0.651127351,0.224994395,-0.007399174,0.002556754
32011,"Eureka, Nevada",89,0,0,0.65264753,-0.224653221,-0.65264753,0.224653221,-0.007333118,0.002524193
20187,"Stanton, Kansas",90,0,0,0.654167709,-0.224312046,-0.654167709,0.224312046,-0.00726853,0.002492356
2164,"Lake and Peninsula, Alaska",91,0,0,0.655687888,-0.223970872,-0.655687888,0.223970872,-0.007205361,0.002461218
30097,"Sweet Grass, Montana",91,0,0,0.655687888,-0.223970872,-0.655687888,0.223970872,-0.007205361,0.002461218
21201,"Robertson, Kentucky",92,0,0,0.657208067,-0.223629697,-0.657208067,0.223629697,-0.007143566,0.002430758
31083,"Harlan, Nebraska",92,0,0,0.657208067,-0.223629697,-0.657208067,0.223629697,-0.007143566,0.002430758
31133,"Pawnee, Nebraska",92,0,0,0.657208067,-0.223629697,-0.657208067,0.223629697,-0.007143566,0.002430758
46105,"Perkins, South Dakota",92,0,0,0.657208067,-0.223629697,-0.657208067,0.223629697,-0.007143566,0.002430758
8027,"Custer, Colorado",93,0,0,0.658728246,-0.223288523,-0.658728246,0.223288523,-0.007083099,0.002400952
20105,"Lincoln, Kansas",93,0,0,0.658728246,-0.223288523,-0.658728246,0.223288523,-0.007083099,0.002400952
46043,"Douglas, South Dakota",93,0,0,0.658728246,-0.223288523,-0.658728246,0.223288523,-0.007083099,0.002400952
38075,"Renville, North Dakota",94,0,0,0.660248425,-0.222947348,-0.660248425,0.222947348,-0.007023919,0.00237178
49055,"Wayne, Utah",97,0,0,0.664808962,-0.221923824,-0.664808962,0.221923824,-0.006853701,0.002287874
46061,"Hanson, South Dakota",98,0,0,0.666329141,-0.22158265,-0.666329141,0.22158265,-0.006799277,0.002261047
6091,"Sierra, California",99,0,0,0.66784932,-0.221241475,-0.66784932,0.221241475,-0.006745953,0.002234762
20109,"Logan, Kansas",99,0,0,0.66784932,-0.221241475,-0.66784932,0.221241475,-0.006745953,0.002234762
8091,"Ouray, Colorado",100,0,0,0.669369499,-0.220900301,-0.669369499,0.220900301,-0.006693695,0.002209003
16023,"Butte, Idaho",101,0,0,0.670889678,-0.220559126,-0.670889678,0.220559126,-0.006642472,0.002183754
20195,"Trego, Kansas",101,0,0,0.670889678,-0.220559126,-0.670889678,0.220559126,-0.006642472,0.002183754
48109,"Culberson, Texas",102,0,0,0.672409857,-0.220217952,-0.672409857,0.220217952,-0.006592254,0.002159
46095,"Mellette, South Dakota",103,0,0,0.673930036,-0.219876777,-0.673930036,0.219876777,-0.00654301,0.002134726
53069,"Wahkiakum, Washington",103,0,0,0.673930036,-0.219876777,-0.673930036,0.219876777,-0.00654301,0.002134726
30091,"Sheridan, Montana",105,0,0,0.676970393,-0.219194428,-0.676970393,0.219194428,-0.006447337,0.002087566
46017,"Buffalo, South Dakota",106,0,0,0.678490572,-0.218853253,-0.678490572,0.218853253,-0.006400854,0.002064653
13125,"Glascock, Georgia",107,0,0,0.680010751,-0.218512079,-0.680010751,0.218512079,-0.006355241,0.002042169
