espn_pts_rank_by_position,player,position,espn_pts
7,"Roddy White, Atl WR  PBreaking News",wr,177
8,"Vincent Jackson, TB WRRecent News",wr,175
9,"Andre Johnson, Hou WR",wr,177
10,"Randall Cobb, GB WRBreaking News",wr,171
11,"Larry Fitzgerald, Ari WR",wr,167
12,"Wes Welker, Den WR  PBreaking News",wr,154
13,"Victor Cruz, NYG WR  QBreaking News",wr,152
14,"Marques Colston, NO WR  PBreaking News",wr,150
15,"Reggie Wayne, Ind WR",wr,149
16,"Mike Wallace, Mia WR",wr,154
17,"Danny Amendola, NE WR  QBreaking News",wr,115
18,"Hakeem Nicks, NYG WRBreaking News",wr,124
19,"Steve Smith, Car WRBreaking Video",wr,137
20,"Eric Decker, Den WR",wr,134
21,"Dwayne Bowe, KC WR",wr,132
22,"James Jones, GB WR",wr,146
23,"Antonio Brown, Pit WR",wr,134
24,"Jordy Nelson, GB WRBreaking News",wr,134
25,"Pierre Garcon, Wsh WRRecent News",wr,123
26,"Cecil Shorts, Jac WR",wr,131
27,"DeSean Jackson, Phi WR",wr,130
28,"Torrey Smith, Bal WRRecent News",wr,138
29,"Greg Jennings, Min WR",wr,122
30,"Tavon Austin, StL WR",wr,119
31,"Anquan Boldin, SF WR",wr,125
32,"Steve Johnson, Buf WR",wr,128
33,"Sidney Rice, Sea WR  PBreaking News",wr,134
34,"T.Y. Hilton, Ind WR",wr,126
35,"Miles Austin, Dal WR",wr,118
36,"Mike Williams, TB WRRecent News",wr,123
37,"Lance Moore, NO WR",wr,117
38,"Kenny Britt, Ten WR",wr,93
39,"Emmanuel Sanders, Pit WR",wr,110
40,"Denarius Moore, Oak WR",wr,115
41,"Chris Givens, StL WR",wr,117
42,"Josh Gordon, Cle WR  SSPD",wr,118
43,"Alshon Jeffery, Chi WR",wr,114
44,"Vincent Brown, SD WR",wr,108
45,"Michael Floyd, Ari WR",wr,84
46,"Golden Tate, Sea WR",wr,112
47,"Malcom Floyd, SD WR  P",wr,99
48,"Rueben Randle, NYG WRBreaking News",wr,105
49,"Ryan Broyles, Det WR",wr,107
50,"Kendall Wright, Ten WRRecent News",wr,112
51,"DeAndre Hopkins, Hou WRBreaking News",wr,86
52,"Andre Roberts, Ari WR",wr,87
53,"Kenbrell Thompkins, NE WR",wr,74
54,"Brian Hartline, Mia WR",wr,81
55,"Justin Blackmon, Jac WR  SSPD",wr,78
56,"Greg Little, Cle WR  P",wr,75
57,"Nate Washington, Ten WRBreaking News",wr,74
58,"Santana Moss, Wsh WR",wr,70
59,"Jacoby Jones, Bal WR",wr,77
60,"Darrius Heyward-Bey, Ind WR",wr,70
61,"Robert Woods, Buf WR",wr,69
62,"Aaron Dobson, NE WR  QBreaking News",wr,67
63,"Jeremy Kerley, NYJ WR  P",wr,83
64,"Santonio Holmes, NYJ WR  QBreaking News",wr,57
65,"Nate Burleson, Det WR",wr,68
66,"Brandon LaFell, Car WR",wr,76
67,"Cordarrelle Patterson, Min WR  QBreaking News",wr,58
68,"Keenan Allen, SD WR",wr,55
69,"Rod Streater, Oak WR",wr,65
70,"Stephen Hill, NYJ WR  PRecent News",wr,51
71,"Donnie Avery, KC WR",wr,66
72,"Jarius Wright, Min WR",wr,56
73,"Julian Edelman, NE WR",wr,62
74,"Brandon Gibson, Mia WR",wr,65
75,"Eddie Royal, SD WR  QRecent News",wr,63
76,"Davone Bess, Cle WR  PRecent News",wr,62
77,"Mohamed Sanu, Cin WR",wr,64
78,"Jerome Simpson, Min WR",wr,44
79,"Riley Cooper, Phi WR",wr,59
80,"Jason Avant, Phi WR",wr,62
81,"Doug Baldwin, Sea WR",wr,52
82,"Kenny Stills, NO WRBreaking News",wr,49
83,"Justin Hunter, Ten WRRecent News",wr,42
84,"Andrew Hawkins*, Cin WR  OBreaking News",wr,44
85,"Brandon Lloyd, FA WR",wr,52
86,"Terrance Williams, Dal WR",wr,47
87,"Markus Wheaton, Pit WR",wr,45
88,"Josh Morgan, Wsh WR",wr,56
89,"Percy Harvin*, Sea WR  O",wr,24
90,"Michael Crabtree*, SF WR  O",wr,31
91,"Leonard Hankerson, Wsh WR",wr,53
92,"Dexter McCluster, KC WRRecent News",wr,56
93,"T.J. Graham, Buf WR",wr,39
94,"Jacoby Ford, Oak WR",wr,55
95,"Harry Douglas, Atl WR",wr,46
96,"Quinton Patton, SF WR",wr,47
97,"Marlon Moore, SF WR",wr,38
98,"Ace Sanders, Jac WR",wr,44
99,"Jon Baldwin, SF WR",wr,33
100,"Brian Quick, StL WR",wr,32
101,"Marlon Brown, Bal WR",wr,31
102,"Domenik Hixon, Car WR  QBreaking News",wr,34
103,"Brandon Stokley, Bal WR",wr,49
104,"A.J. Jenkins, KC WR",wr,36
105,"Dwayne Harris, Dal WR",wr,42
106,"Marvin Jones, Cin WR",wr,31
107,"Kyle Williams, SF WR",wr,35
108,"Nick Toon, NO WR  PBreaking News",wr,15
109,"Mario Manningham*, SF WR  O",wr,20
110,"Josh Boyce, NE WR",wr,29
111,"Lestar Jean, Hou WR",wr,18
112,"Stedman Bailey, StL WR",wr,34
113,"Earl Bennett, Chi WRBreaking News",wr,38
114,"Aaron Mellette, Bal WR",wr,23
115,"Louis Murphy, NYG WR",wr,34
116,"Kevin Ogletree, TB WR",wr,13
117,"Keshawn Martin, Hou WR",wr,16
118,"Marquise Goodwin, Buf WR",wr,16
119,"Brice Butler, Oak WR",wr,21
120,"Aldrick Robinson, Wsh WR",wr,27
1,"Jimmy Graham, NO TEBreaking News",te,174
2,"Rob Gronkowski, NE TE  DBreaking News and Video",te,173
3,"Tony Gonzalez, Atl TE",te,133
4,"Jason Witten, Dal TE",te,123
5,"Vernon Davis, SF TE",te,114
6,"Kyle Rudolph, Min TE",te,98
7,"Owen Daniels, Hou TE",te,98
8,"Greg Olsen, Car TE",te,102
9,"Antonio Gates, SD TE",te,99
10,"Brandon Myers, NYG TE",te,98
11,"Jared Cook, StL TE",te,94
12,"Jermichael Finley, GB TE",te,98
13,"Martellus Bennett, Chi TE",te,93
14,"Brandon Pettigrew, Det TE",te,82
15,"Fred Davis, Wsh TE",te,78
16,"Jordan Cameron, Cle TE  PBreaking News",te,75
17,"Dwayne Allen, Ind TE  PBreaking News",te,76
18,"Coby Fleener, Ind TE  PBreaking News",te,68
19,"Jermaine Gresham, Cin TE",te,69
20,"Julius Thomas, Den TEBreaking News",te,70
21,"Zach Sudfeld, NE TERecent News",te,53
22,"Tyler Eifert, Cin TE  P",te,64
23,"Heath Miller, Pit TE  DBreaking News",te,75
24,"Zach Miller, Sea TE",te,59
25,"Brent Celek, Phi TE",te,63
26,"Scott Chandler, Buf TEBreaking News",te,60
27,"Dallas Clark, Bal TE",te,60
28,"Zach Ertz, Phi TE",te,59
29,"Rob Housler, Ari TE  QBreaking News",te,56
30,"Ed Dickson, Bal TE  PBreaking News",te,54
31,"Marcedes Lewis, Jac TE  QBreaking News",te,66
32,"Delanie Walker, Ten TEBreaking News",te,55
33,"Garrett Graham, Hou TE  P",te,52
34,"Tony Scheffler, Det TERecent News",te,43
35,"Luke Stocker, TB TEBreaking News",te,47
36,"Kellen Winslow, NYJ TE  QBreaking News",te,52
37,"Anthony Fasano, KC TE",te,51
38,"David Ausberry, Oak TE  QBreaking News",te,47
39,"Charles Clay, Mia TE",te,43
40,"David Paulson, Pit TE",te,37
41,"Jacob Tamme, Den TERecent News",te,40
42,"Jeff Cumberland, NYJ TE",te,36
43,"Taylor Thompson, Ten TE",te,33
44,"James Casey, Phi TE  QBreaking News",te,36
45,"Joel Dreessen*, Den TE  OBreaking News",te,24
46,"Travis Kelce, KC TE  PBreaking News",te,30
47,"Gavin Escobar, Dal TE",te,26
48,"Benjamin Watson, NO TE",te,29
49,"Ladarius Green, SD TE",te,30
50,"Tom Crabtree, TB TE  QBreaking News",te,28
51,"Dion Sims, Mia TE  Q",te,25
52,"Mychal Rivera, Oak TE",te,30
53,"Adrien Robinson, NYG TE  QRecent News",te,16
54,"Lance Kendricks, StL TEBreaking News",te,20
55,"Jordan Reed, Wsh TE",te,16
56,"Vance McDonald, SF TE",te,17
57,"Nick Kasa, Oak TE",te,10
58,"Michael Hoomanawanui, NE TE",te,24
