name,sport,sport_name,gender,age,inch,pound
Eva Vrabcova - Nyvltova,ccy,Cross Country Skiing,Female,28,63.779562,119.04948
Seou Choi,skj,Ski Jumping,Male,31,63.779562,119.04948
Masako Ishida,ccy,Cross Country Skiing,Female,33,63.779562,119.04948
Alexandra Orlova,fss,Freestyle Skiing,Female,16,63.779562,121.2541
Anastasia Slonova,ccy,Cross Country Skiing,Female,22,63.779562,121.2541
Fuyuko Suzuki,bai,Biathlon,Female,25,63.779562,121.2541
Nikola Sudova,fss,Freestyle Skiing,Female,31,63.779562,121.2541
Maki Tabata,ssk,Speedskating,Female,39,63.779562,121.2541
Adeline Baud,alp,Alpine Skiing,Female,21,63.779562,123.45872
Miyako Sumiyoshi,ssk,Speedskating,Female,26,63.779562,123.45872
Marion Josserand,fss,Freestyle Skiing,Female,27,63.779562,123.45872
Eliza Outtrim,fss,Freestyle Skiing,Female,28,63.779562,123.45872
Veronika Windisch,sht,Short-Track Skating,Female,31,63.779562,123.45872
Masako Hozumi,ssk,Speedskating,Female,27,63.779562,125.66334
Vita Semerenko,bai,Biathlon,Female,28,63.779562,125.66334
Elise Pellegrin,alp,Alpine Skiing,Female,22,63.779562,127.86796
Maki Tsuji,ssk,Speedskating,Female,28,63.779562,127.86796
Charlotte Kalla,ccy,Cross Country Skiing,Female,26,63.779562,130.07258
Xuetong Cai,swb,Snowboarding,Female,20,63.779562,132.2772
Qin Ning,fss,Freestyle Skiing,Female,22,63.779562,132.2772
Elena Muratova,fss,Freestyle Skiing,Female,27,63.779562,132.2772
Anna Shibanova,hky,Hockey,Female,19,63.779562,136.68644
Ami Nakamura,hky,Hockey,Female,26,63.779562,136.68644
Chiho Osawa,hky,Hockey,Female,22,63.779562,138.89106
Nozomi Komuro,skl,Skeleton,Female,28,63.779562,138.89106
Ekaterina Tudegesheva,swb,Snowboarding,Female,26,63.779562,143.3003
Marie-Pier Prefontaine,alp,Alpine Skiing,Female,25,63.779562,145.50492
Andrea Lanzl,hky,Hockey,Female,26,63.779562,147.70954
Sandra Thalmann,hky,Hockey,Female,21,63.779562,165.3465
Adelina Sotnikova,fgs,Figure Skating,Female,17,64.173263,
Kaetlyn Osmond,fgs,Figure Skating,Female,18,64.173263,
Yilun Jiang,crl,Curling,Female,20,64.173263,
Paul Bonifacio Parkinson,fgs,Figure Skating,Male,23,64.173263,
Mao Asada,fgs,Figure Skating,Female,23,64.173263,
Kerstin Frank,fgs,Figure Skating,Female,25,64.173263,
Nathalie Pechalat,fgs,Figure Skating,Female,30,64.173263,
Daniela Iraschko-Stolz,skj,Ski Jumping,Female,30,64.173263,
Anna Seidel,sht,Short-Track Skating,Female,15,64.173263,94.79866
Deanna Lockett,sht,Short-Track Skating,Female,18,64.173263,105.82176
Yan Zhang,bai,Biathlon,Female,21,64.173263,105.82176
Lucia Peretti,sht,Short-Track Skating,Female,23,64.173263,110.231
Rana Okada,swb,Snowboarding,Female,23,64.173263,110.231
Julia Clair,skj,Ski Jumping,Female,19,64.173263,112.43562
Selina Gasparin,bai,Biathlon,Female,29,64.173263,114.64024
Lanny Barnes,bai,Biathlon,Female,31,64.173263,114.64024
Elizavetta Chesnokova,fss,Freestyle Skiing,Female,17,64.173263,116.84486
Aita Gasparin,bai,Biathlon,Female,20,64.173263,116.84486
Yulia Livinskaya,fss,Freestyle Skiing,Female,23,64.173263,116.84486
Sina Candrian,swb,Snowboarding,Female,25,64.173263,116.84486
Marina Piller,ccy,Cross Country Skiing,Female,29,64.173263,116.84486
Mika Hori,hky,Hockey,Female,22,64.173263,119.04948
Nana Fujimoto,hky,Hockey,Female,24,64.173263,119.04948
Sanne Van Kerkhof,sht,Short-Track Skating,Female,26,64.173263,119.04948
Diana Rasimoviciute,bai,Biathlon,Female,29,64.173263,119.04948
Justine Dufour-Lapointe,fss,Freestyle Skiing,Female,19,64.173263,121.2541
Anais Chevalier,bai,Biathlon,Female,21,64.173263,121.2541
Sara Benz,hky,Hockey,Female,21,64.173263,121.2541
Iris Schwabl,bai,Biathlon,Female,26,64.173263,121.2541
Ida Sargent,ccy,Cross Country Skiing,Female,26,64.173263,121.2541
Suela Mehilli,alp,Alpine Skiing,Female,20,64.173263,123.45872
Otgontsetseg Chinbat,ccy,Cross Country Skiing,Female,22,64.173263,123.45872
Qiuhong Liu,sht,Short-Track Skating,Female,25,64.173263,123.45872
Katya Galstyan,ccy,Cross Country Skiing,Female,21,64.173263,125.66334
Faye Gulini,swb,Snowboarding,Female,21,64.173263,125.66334
Kaitlyn Farrington,swb,Snowboarding,Female,24,64.173263,125.66334
Nika Razinger,ccy,Cross Country Skiing,Female,20,64.173263,127.86796
Tereza Vaculikova,fss,Freestyle Skiing,Female,21,64.173263,127.86796
Bo Reum Kim,ssk,Speedskating,Female,21,64.173263,127.86796
Jessica Diggins,ccy,Cross Country Skiing,Female,22,64.173263,127.86796
Anna Haag,ccy,Cross Country Skiing,Female,27,64.173263,127.86796
Marion Bertrand,alp,Alpine Skiing,Female,29,64.173263,127.86796
Tomoko Sakagami,hky,Hockey,Female,30,64.173263,127.86796
Mercedes Nicoll,swb,Snowboarding,Female,30,64.173263,127.86796
Michail Kletcherov,bai,Biathlon,Male,31,64.173263,127.86796
Britteny Cox,fss,Freestyle Skiing,Female,19,64.173263,130.07258
Lelde Priedulena,skl,Skeleton,Female,20,64.173263,130.07258
