name,sport,gender,country,height,weight,age
Marusa Ferk,alp,Female,Slovenia,1.67,65,25
Krystof Kryzl,alp,Male,Czech Republic,1.83,84,27
Arnaud Alessandria,alp,Male,Monaco,1.85,92,20
Manfred Moelgg,alp,Male,Italy,1.79,75,31
Patrick Thaler,alp,Male,Italy,1.77,80,35
Matts Olsson,alp,Male,Sweden,1.79,85,25
Einar Kristinn Kristgeirsson,alp,Male,Iceland,1.85,94,20
Ornella Oettl Reyes,alp,Female,Peru,1.68,60,22
Elise Pellegrin,alp,Female,Malta,1.62,58,22
Conor Lyne,alp,Male,Ireland,1.77,77,20
Sebastian Brigovic,alp,Male,Croatia,1.81,81,21
Maria Pietilae-Holmner,alp,Female,Sweden,1.70,63,27
Cristian Javier Simari Birkner,alp,Male,Argentina,,,33
Laurenne Ross,alp,Female,United States,1.73,68,25
Anna Swenn-Larsson,alp,Female,Sweden,,,22
Julietta Quiroga,alp,Female,Argentina,,,25
Filip Zubcic,alp,Male,Croatia,1.80,85,21
Verena Stuffer,alp,Female,Italy,1.68,65,29
Alex Beniaidze,alp,Male,Georgia,1.84,80,23
Marie-Michele Gagnon,alp,Female,Canada,1.77,68,24
Chemmy Alcott,alp,Female,Great Britain,1.70,74,31
Adeline Baud,alp,Female,France,1.62,56,21
Werner Heel,alp,Male,Italy,1.89,85,31
Antonio Jose Pardo Andretta,alp,Male,Venezuela,1.77,90,43
Arthur Hanse,alp,Male,Portugal,1.80,75,21
Eugenio Claro,alp,Male,Chile,1.75,71,20
Beat Feuz,alp,Male,Switzerland,1.72,85,27
Matej Falat,alp,Male,Slovakia,1.85,83,21
Andrew Weibrecht,alp,Male,United States,1.70,86,28
Kjetil Jansrud,alp,Male,Norway,1.81,84,28
Dmytro Mytsak,alp,Male,Ukraine,1.83,75,18
Zana Novakovic,alp,Female,Bosnia and Herzegovina,1.64,58,28
Peter Fill,alp,Male,Italy,1.75,85,31
Petra Vlhova,alp,Female,Slovakia,1.80,73,18
Kseniya Grigoreva,alp,Female,Uzbekistan,1.70,65,26
Ieva Januskeviciute,alp,Female,Lithuania,1.67,58,19
Emelie Wikstroem,alp,Female,Sweden,1.74,66,21
Nicole Hosp,alp,Female,Austria,1.74,70,30
Je-Yun Park,alp,Male,Korea,1.75,70,19
Patrick Kueng,alp,Male,Switzerland,1.81,84,30
Pol Carreras,alp,Male,Spain,1.66,70,24
Florence Bell,alp,Female,Ireland,1.56,59,17
Marie Marchand-Arvier,alp,Female,France,1.64,61,28
Martin Khuber,alp,Male,Kazakhstan,1.80,85,22
Erla Asgeirsdottir,alp,Female,Iceland,1.74,,20
Steven Nyman,alp,Male,United States,1.93,100,32
Hossein Saveh Shemshaki,alp,Male,IR Iran,1.83,86,28
Constantinos Papamichael,alp,Male,Cyprus,1.65,61,20
Henrik Kristoffersen,alp,Male,Norway,,,19
Kaisa Makarainen,bai,Female,Finland,1.71,57,31
Emoke Szocs,bai,Female,Hungary,1.60,52,28
Lucy Glanville,bai,Female,Australia,1.57,58,19
Magdalena Gwizdon,bai,Female,Poland,1.78,65,34
Krystyna Palka,bai,Female,Poland,1.66,55,30
Tomas Hasilla,bai,Male,Slovakia,1.80,74,23
Johannes Thingnes Boe,bai,Male,Norway,,,20
Brendan Green,bai,Male,Canada,1.83,72,27
Ekaterina Shumilova,bai,Female,Russian Fed.,1.73,60,27
Vita Semerenko,bai,Female,Ukraine,1.62,57,28
Megan Imrie,bai,Female,Canada,1.67,56,28
Veronika Vitkova,bai,Female,Czech Republic,1.66,56,25
Markus Windisch,bai,Male,Italy,1.85,80,29
In-Bok Lee,bai,Male,Korea,1.73,60,29
Friedrich Pinter,bai,Male,Austria,1.86,80,35
Lukasz Slonina,bai,Male,Poland,1.83,68,24
Lisa Theresa Hauser,bai,Female,Austria,1.74,65,20
Mariya Panfilova,bai,Female,Ukraine,1.70,56,26
Marie Laure Brunet,bai,Female,France,1.65,56,25
Irene Cadurisch,bai,Female,Switzerland,1.64,60,22
Ahti Toivanen,bai,Male,Finland,1.82,74,24
Nathan Smith,bai,Male,Canada,1.76,74,28
Elisabeth Hoegberg,bai,Female,Sweden,1.65,56,27
Jean Guillaume Beatrix,bai,Male,France,1.74,65,25
Franziska Preuss,bai,Female,Germany,1.73,60,19
Michal Krcmar,bai,Male,Czech Republic,1.76,69,23
Liudmila Kalinchik,bai,Female,Belarus,1.64,59,31
Benjamin Weger,bai,Male,Switzerland,1.80,75,24
Victor Lobo Escolar,bai,Male,Spain,1.70,65,34
Synnoeve Solemdal,bai,Female,Norway,,,24
Quentin Fillon Maillet,bai,Male,France,1.77,70,21
Andreas Birnbacher,bai,Male,Germany,1.79,73,32
Artem Pryma,bai,Male,Ukraine,1.79,70,26
Dominik Landertinger,bai,Male,Austria,1.88,80,25
Lanny Barnes,bai,Female,United States,1.63,52,31
Ivan Joller,bai,Male,Switzerland,1.80,72,30
Elisa Gasparin,bai,Female,Switzerland,1.59,50,22
Dias Keneshev,bai,Male,Kazakhstan,1.70,63,28
Tim Burke,bai,Male,United States,1.80,73,32
Evgeny Ustyugov,bai,Male,Russian Fed.,1.68,60,28
Scott Perras,bai,Male,Canada,1.79,75,30
Indrek Tobreluts,bai,Male,Estonia,1.84,74,37
Elena Khrustaleva,bai,Female,Kazakhstan,1.74,54,33
Vladimir Chepelin,bai,Male,Belarus,1.71,74,25
Matej Kazar,bai,Male,Slovakia,1.87,77,30
Zanna Juskane,bai,Female,Latvia,1.57,53,24
Eva Tofalvi,bai,Female,Romania,1.72,61,35
Michela Ponza,bai,Female,Italy,1.64,53,35
Natalya Burdyga,bai,Female,Ukraine,1.67,58,30
Peter Dokl,bai,Male,Slovenia,1.78,70,29
Serhiy Semenov,bai,Male,Ukraine,1.79,69,25
Fuyuko Suzuki,bai,Female,Japan,1.62,55,25
Bjoern Ferry,bai,Male,Sweden,1.94,82,35
Dorothea Wierer,bai,Female,Italy,1.58,60,23
Zina Kocher,bai,Female,Canada,1.70,60,31
Serguei Sednev,bai,Male,Ukraine,1.79,74,30
Hidenori Isa,bai,Male,Japan,1.70,68,37
Alexia Runggaldier,bai,Female,Italy,1.73,59,22
Andrea Henkel,bai,Female,Germany,1.58,49,36
