school,year,conference
Alabama,2001,sec
Alabama,2002,sec
Alabama,2003,sec
Alabama,2004,sec
Alabama,2005,sec
Alabama,2006,sec
Alabama,2007,sec
Alabama,2008,sec
Alabama,2009,sec
Alabama,2010,sec
Alabama,2011,sec
Alabama,2012,sec
Alabama,2013,sec
Alabama,2014,sec
Alabama,2015,sec
Alabama-Birmingham,1965,none
Alabama-Birmingham,1966,none
Alabama-Birmingham,1967,none
Alabama-Birmingham,1968,none
Alabama-Birmingham,1969,none
Alabama-Birmingham,1970,none
Alabama-Birmingham,1971,none
Alabama-Birmingham,1972,none
Alabama-Birmingham,1973,none
Alabama-Birmingham,1974,none
Alabama-Birmingham,1975,none
Alabama-Birmingham,1976,none
Alabama-Birmingham,1977,none
Alabama-Birmingham,1978,none
Alabama-Birmingham,1979,none
Alabama-Birmingham,1980,none
Alabama-Birmingham,1981,none
Alabama-Birmingham,1982,none
Alabama-Birmingham,1983,none
Alabama-Birmingham,1984,none
Alabama-Birmingham,1985,none
Alabama-Birmingham,1986,none
Alabama-Birmingham,1987,none
Alabama-Birmingham,1988,none
Alabama-Birmingham,1989,none
Alabama-Birmingham,1990,none
Alabama-Birmingham,1991,none
Alabama-Birmingham,1992,none
Alabama-Birmingham,1993,none
Alabama-Birmingham,1994,none
Alabama-Birmingham,1995,none
Alabama-Birmingham,1996,independent
Alabama-Birmingham,1997,independent
Alabama-Birmingham,1998,independent
Alabama-Birmingham,1999,cusa
Alabama-Birmingham,2000,cusa
Alabama-Birmingham,2001,cusa
Alabama-Birmingham,2002,cusa
Alabama-Birmingham,2003,cusa
Alabama-Birmingham,2004,cusa
Alabama-Birmingham,2005,cusa
Alabama-Birmingham,2006,cusa
Alabama-Birmingham,2007,cusa
Alabama-Birmingham,2008,cusa
Alabama-Birmingham,2009,cusa
Alabama-Birmingham,2010,cusa
Alabama-Birmingham,2011,cusa
Alabama-Birmingham,2012,cusa
Alabama-Birmingham,2013,cusa
Alabama-Birmingham,2014,cusa
Alabama-Birmingham,2015,cusa
Appalachian State,1965,none
Appalachian State,1966,none
Appalachian State,1967,none
Appalachian State,1968,none
Appalachian State,1969,none
Appalachian State,1970,none
Appalachian State,1971,none
Appalachian State,1972,southern
Appalachian State,1973,southern
Appalachian State,1974,southern
Appalachian State,1975,southern
Appalachian State,1976,southern
Appalachian State,1977,southern
Appalachian State,1978,southern
Appalachian State,1979,southern
Appalachian State,1980,southern
Appalachian State,1981,southern
Appalachian State,1982,none
Appalachian State,1983,none
Appalachian State,1984,none
Appalachian State,1985,none
Appalachian State,1986,none
Appalachian State,1987,none
Appalachian State,1988,none
Appalachian State,1989,none
Appalachian State,1990,none
Appalachian State,1991,none
Appalachian State,1992,none
Appalachian State,1993,none
Appalachian State,1994,none
Appalachian State,1995,none
Appalachian State,1996,none
Appalachian State,1997,none
Appalachian State,1998,none
Appalachian State,1999,none
Appalachian State,2000,none
Appalachian State,2001,none
Appalachian State,2002,none
Appalachian State,2003,none
Appalachian State,2004,none
Appalachian State,2005,none
Appalachian State,2006,none
Appalachian State,2007,none
Appalachian State,2008,none
Appalachian State,2009,none
Appalachian State,2010,none
Appalachian State,2011,none
Appalachian State,2012,none
Appalachian State,2013,none
Appalachian State,2014,sun-belt
Appalachian State,2015,sun-belt
Arizona State,1965,wac
Arizona State,1966,wac
Arizona State,1967,wac
Arizona State,1968,wac
Arizona State,1969,wac
Arizona State,1970,wac
Arizona State,1971,wac
Arizona State,1972,wac
Arizona State,1973,wac
Arizona State,1974,wac
Arizona State,1975,wac
Arizona State,1976,wac
Arizona State,1977,wac
Arizona State,1978,pac-12
Arizona State,1979,pac-12
Arizona State,1980,pac-12
Arizona State,1981,pac-12
Arizona State,1982,pac-12
Arizona State,1983,pac-12
Arizona State,1984,pac-12
Arizona State,1985,pac-12
Arizona State,1986,pac-12
Arizona State,1987,pac-12
Arizona State,1988,pac-12
Arizona State,1989,pac-12
Arizona State,1990,pac-12
Arizona State,1991,pac-12
Arizona State,1992,pac-12
Arizona State,1993,pac-12
Arizona State,1994,pac-12
Arizona State,1995,pac-12
Arizona State,1996,pac-12
Arizona State,1997,pac-12
Arizona State,1998,pac-12
Arizona State,1999,pac-12
Arizona State,2000,pac-12
Arizona State,2001,pac-12
Arizona State,2002,pac-12
Arizona State,2003,pac-12
Arizona State,2004,pac-12
Arizona State,2005,pac-12
Arizona State,2006,pac-12
Arizona State,2007,pac-12
Arizona State,2008,pac-12
Arizona State,2009,pac-12
Arizona State,2010,pac-12
Arizona State,2011,pac-12
Arizona State,2012,pac-12
