year,order,rank,country,group,wc,result
2002,86,86,Estonia,None,6,Didn't make World Cup :-(
2002,87,87,New Zealand,None,6,Didn't make World Cup :-(
2002,88,88,Belarus,None,6,Didn't make World Cup :-(
2002,89,89,FYR Macedonia,None,6,Didn't make World Cup :-(
2002,90,90,Northern Ireland,None,6,Didn't make World Cup :-(
2002,91,91,Oman,None,6,Didn't make World Cup :-(
2002,92,92,Indonesia,None,6,Didn't make World Cup :-(
2002,93,93,Syria,None,6,Didn't make World Cup :-(
2002,94,94,Lebanon,None,6,Didn't make World Cup :-(
2002,95,95,Albania,None,6,Didn't make World Cup :-(
2002,96,96,Wales,None,6,Didn't make World Cup :-(
2002,97,97,Congo,None,6,Didn't make World Cup :-(
2002,98,98,Lithuania,None,6,Didn't make World Cup :-(
2002,99,99,Latvia,None,6,Didn't make World Cup :-(
2002,100,100,Jordan,None,6,Didn't make World Cup :-(
2002,101,101,Armenia,None,6,Didn't make World Cup :-(
2002,102,102,Kazakhstan,None,6,Didn't make World Cup :-(
2002,103,103,Moldova,None,6,Didn't make World Cup :-(
2002,104,104,Gabon,None,6,Didn't make World Cup :-(
2002,105,105,Namibia,None,6,Didn't make World Cup :-(
2002,106,106,Kenya,None,6,Didn't make World Cup :-(
2002,107,107,Vietnam,None,6,Didn't make World Cup :-(
2002,108,108,Bahrain,None,6,Didn't make World Cup :-(
2002,109,109,Barbados,None,6,Didn't make World Cup :-(
2002,110,110,Guinea,None,6,Didn't make World Cup :-(
2006,1,1,Brazil,F,3,Lost in the Quarterfinals
2006,2,2,Czech Republic,E,5,Lost in group play
2006,3,3,Netherlands,C,4,Lost in the round of 16
2006,4,4,Mexico,D,4,Lost in the round of 16
2006,5,5,USA,E,5,Lost in group play
2006,6,5,Spain,H,4,Lost in the round of 16
2006,7,7,Portugal,D,2,Lost in the Semifinals
2006,8,8,France,G,1,Lost in the Final
2006,9,9,Argentina,C,3,Lost in the Quarterfinals
2006,10,10,England,B,3,Lost in the Quarterfinals
2006,11,11,Nigeria,None,6,Didn't make World Cup :-(
2006,12,11,Denmark,None,6,Didn't make World Cup :-(
2006,13,13,Italy,E,0,Won World Cup!
2006,14,14,Turkey,None,6,Didn't make World Cup :-(
2006,15,15,Cameroon,None,6,Didn't make World Cup :-(
2006,16,16,Sweden,B,4,Lost in the round of 16
2006,17,17,Egypt,None,6,Didn't make World Cup :-(
2006,18,18,Japan,F,5,Lost in group play
2006,19,19,Germany,A,2,Lost in the Semifinals
