company_permalink,company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,funding_round_type,funded_at,raised_amount_usd
/company/4blox,4Blox,software,USA,CA,SF Bay,San Jose,venture,2007-09-10,
/company/4dk-technologies,4DK Technologies,mobile,USA,VA,Washington DC,Herndon,private-equity,2011-12-12,3378975
/company/4home,4Home,software,USA,CA,SF Bay,Sunnyvale,series-a,2006-08-01,2850000
/company/4home,4Home,software,USA,CA,SF Bay,Sunnyvale,series-b,2008-09-30,1000000
/company/4home,4Home,software,USA,CA,SF Bay,Sunnyvale,series-c+,2009-06-11,500000
/company/4home,4Home,software,USA,CA,SF Bay,Sunnyvale,venture,2009-09-21,525000
/company/4home,4Home,software,USA,CA,SF Bay,Sunnyvale,venture,2010-02-03,4271354
/company/4info,4INFO,advertising,USA,CA,SF Bay,San Mateo,series-c+,2007-06-01,10000000
/company/4info,4INFO,advertising,USA,CA,SF Bay,San Mateo,series-c+,2005-03-01,8000000
/company/4info,4INFO,advertising,USA,CA,SF Bay,San Mateo,series-c+,2007-10-01,
/company/4info,4INFO,advertising,USA,CA,SF Bay,San Mateo,venture,2009-01-22,20000000
/company/4info,4INFO,advertising,USA,CA,SF Bay,San Mateo,series-c+,2011-10-27,14000000
/company/4info,4INFO,advertising,USA,CA,SF Bay,San Mateo,series-c+,2013-08-04,8000000
/company/4moms,4moms,hardware,USA,PA,Pittsburg,Pittsburgh,venture,2012-08-09,20000000
/company/4s3-bioscience,4s3 Bioscience,biotech,USA,MA,Boston,Medford,series-a,2012-03-05,20000000
/company/4tech,4Tech,biotech,USA,MA,Boston,WALTHAM,private-equity,2011-12-21,7000000
/company/5-oclock-records,5 O'Clock Records,software,USA,NY,New York,New York,angel,2013-01-08,440000
/company/500friends,500Friends,enterprise,USA,CA,SF Bay,San Francisco,angel,2009-12-15,1400000
/company/500friends,500Friends,enterprise,USA,CA,SF Bay,San Francisco,series-a,2012-03-14,4500000
/company/500friends,500Friends,enterprise,USA,CA,SF Bay,San Francisco,series-b,2013-03-12,5000000
/company/500friends,500Friends,enterprise,USA,CA,SF Bay,San Francisco,other,2013-03-12,2000000
