permalink,name,category_code,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at,last_milestone_at
/company/aarki,Aarki,advertising,,operating,USA,CA,SF Bay,Sunnyvale,2,,2011-06-01,2012-03-08,2013-04-29
/company/aastrom-biosciences,Aastrom Biosciences,biotech,40000000,operating,USA,MI,Detroit,Ann Arbor,1,1989-01-01,2012-03-09,2012-03-09,2009-01-01
/company/abacast-inc,Abacast,analytics,500000,operating,USA,WA,Vancouver,Vancouver,1,2000-04-02,2010-11-11,2010-11-11,2011-12-13
/company/abakan-inc,Abakan,cleantech,4026195,operating,USA,FL,Miami,Miami,6,2006-01-01,2012-03-20,2013-06-05,
/company/abazab,Abazab,,4100000,operating,USA,CA,SF Bay,Campbell,1,1997-01-01,2006-05-05,2006-05-05,
/company/abbeypost,AbbeyPost,ecommerce,25000,operating,USA,NY,New York,New York,1,2012-08-01,2013-07-30,2013-07-30,2013-05-30
/company/abes-market,Abe's Market,ecommerce,9080000,operating,USA,MN,Minneapolis,Minneapolis,4,2009-09-01,2010-06-29,2013-01-17,2011-02-10
/company/abeo,abeo,medical,2012700,operating,USA,TX,Dallas,Dallas,1,,2011-11-30,2011-11-30,
/company/abgenomics,AbGenomics,biotech,26450000,operating,USA,CA,SF Bay,Los Altos,2,,2012-06-19,2013-07-18,
/company/abide-therapeutics,Abide Therapeutics,biotech,2250180,operating,USA,NJ,Princeton,Princeton,1,2011-01-01,2011-11-18,2011-11-18,
/company/ability-dynamics,Ability Dynamics,medical,1500000,operating,USA,AZ,Phoenix,Tempe,1,2009-01-01,2012-02-20,2012-02-20,
/company/ability-network,ABILITY Network,medical,27000000,operating,USA,MN,Minneapolis,Minneapolis,1,2000-01-01,2011-05-17,2011-05-17,
/company/abilto,AbilTo,web,3000000,operating,USA,NY,New York,New York,1,2008-01-01,2013-05-14,2013-05-14,
/company/abine,Abine,web,5000000,operating,USA,MA,Boston,Boston,1,2008-01-01,2011-07-12,2011-07-12,2013-03-18
/company/abiquo-group,Abiquo Group,software,6758560,operating,USA,CA,SF Bay,Redwood City,2,2010-01-01,2012-06-28,2013-04-10,
/company/abizinabox,aBIZinaBOX,consulting,500000,operating,USA,IL,Chicago,Evanston,1,1998-08-17,2008-10-08,2008-10-08,1998-08-17
/company/ablative-solutions,Ablative Solutions,biotech,11720500,operating,USA,NJ,Fair Haven,Fair Haven,6,2011-01-01,2011-12-12,2013-05-20,
/company/able-planet,Able Planet,hardware,1149999,operating,USA,CO,Denver,Wheat Ridge,2,2005-01-01,2010-04-28,2012-02-01,
/company/abodo,Abodo,real_estate,325000,operating,USA,WI,Madison,Madison,1,2011-01-03,2013-08-26,2013-08-26,
/company/abound-solar,Abound Solar,cleantech,510000000,closed,USA,CO,Loveland,Loveland,2,2007-01-01,2010-07-06,2010-12-15,2011-11-01
/company/aboutme,about.me,web,5675000,acquired,USA,CA,SF Bay,San Francisco,1,2013-02-05,2013-02-05,2013-02-05,2013-01-01
/company/aboutone,AboutOne,web,1900000,operating,USA,PA,Philadelphia,Paoli,2,2010-06-01,2011-05-01,2011-12-01,2011-12-02
/company/aboutus-org,AboutUs.org,web,2500000,operating,USA,OR,Portland,Portland,1,2006-01-01,2009-01-09,2009-01-09,2011-12-16
/company/above-all-software,Above All Software,semiconductor,2100000,operating,USA,CA,SF Bay,Redwood City,1,2002-01-01,2005-06-01,2005-06-01,
/company/abpathfinder,ABPathfinder,software,400000,operating,USA,KS,Kansas City,Overland Park,1,2010-06-01,2012-12-05,2012-12-05,2012-06-01
/company/abs,ABS,medical,132500,operating,USA,MN,Minneapolis,Minnetonka,1,2009-01-01,2012-09-19,2012-09-19,2013-07-25
/company/iphase3,Absio,software,2497346,operating,USA,CO,Denver,Littleton,2,2008-01-01,2010-05-06,2013-02-12,
/company/absolutdata,AbsolutData,analytics,20000000,operating,USA,CA,SF Bay,Alameda,1,,2012-08-23,2012-08-23,
/company/abt-molecular-imaging,ABT Molecular Imaging,medical,15650000,operating,USA,TN,Knoxville,Knoxville,4,2006-01-01,2010-01-21,2012-09-13,2012-01-01
/company/acacia,Acacia,mobile,15000,operating,USA,TN,Nashville,Nashville,1,2012-03-10,2012-05-20,2012-05-20,2012-03-10
/company/acacia-communications,Acacia Communications,network_hosting,23000000,operating,USA,MA,Boston,Maynard,2,,2011-12-12,2013-05-15,2009-01-01
/company/acacia-interactive,Acacia Interactive,software,259910,operating,USA,TN,Nashville,Nashville,1,2012-01-01,2013-03-29,2013-03-29,
/company/acacia-living,Acacia Living,health,2238650,operating,USA,AZ,Phoenix,Scottsdale,1,2010-01-01,2012-09-07,2012-09-07,
/company/acacia-research,Acacia Research,other,244600000,ipo,USA,CA,Los Angeles,Newport Beach,2,1992-01-01,2005-02-10,2012-02-21,2012-01-13
/company/academia-edu,Academia.edu,analytics,17800000,operating,USA,CA,SF Bay,San Francisco,4,2008-09-01,2007-11-02,2013-09-26,2013-09-26
/company/academic-earth,Academic Earth,education,,acquired,USA,CA,SF Bay,San Francisco,1,2008-01-01,2008-10-01,2008-10-01,2012-01-10
/company/academix-direct-go-internet-media,AcademixDirect,web,10000000,operating,USA,CA,SF Bay,Mountain View,1,2004-01-01,2009-01-01,2009-01-01,2012-02-15
/company/acadia-pharmaceuticals,ACADIA Pharmaceuticals,biotech,101385000,ipo,USA,CA,San Diego,San Diego,2,,2011-01-11,2013-01-02,2012-12-13
/company/acadiasoft,AcadiaSoft,finance,4000000,operating,USA,MA,Boston,Pembroke,1,2009-01-01,2010-01-08,2010-01-08,
/company/accela,Accela,software,35000000,operating,USA,CA,SF Bay,San Ramon,1,1999-01-01,2013-07-17,2013-07-17,2009-01-01
/company/accelera-mobile-broadband,Accelera Mobile Broadband,mobile,6066944,operating,USA,CA,SF Bay,Santa Clara,2,2009-01-01,2012-04-25,2013-05-14,2012-01-01
/company/accelerate-diagnostics,Accelerate Diagnostics,health,3321244,ipo,USA,AZ,Tucson,Tucson,1,,2013-08-26,2013-08-26,
/company/accelerate-mobile-apps,Accelerate Mobile Apps,mobile,250000,operating,USA,CA,SF Bay,Scotts Valley,1,2009-01-01,2009-12-22,2009-12-22,
/company/accelerated-io,Accelerated IO,software,3255325,operating,USA,OK,Tulsa,Tulsa,2,1997-01-01,2009-11-05,2012-03-28,
/company/accelerated-orthopedic-technologies,Accelerated Orthopedic Technologies,medical,150000,closed,USA,CT,Guilford,Guilford,1,,2012-05-18,2012-05-18,
/company/accelerated-vision-group,Accelerated Vision Group,other,6000000,operating,USA,KS,Kansas City,Overland Park,1,2011-01-01,2012-05-21,2012-05-21,
/company/accelerize-new-media,Accelerize New Media,enterprise,745500,operating,USA,CA,Los Angeles,Los Angeles,1,2005-01-01,2010-05-10,2010-05-10,2011-01-10
/company/acceleron-pharma,Acceleron Pharma,biotech,111851121,operating,USA,MA,Boston,Cambridge,6,2004-01-01,2006-08-02,2011-12-23,2013-09-19
/company/accelgolf,AccelGolf,mobile,637282,closed,USA,MA,Boston,Cambridge,8,2008-08-01,2008-01-01,2010-02-17,2010-02-17
/company/accelitec,Accelitec,software,1100000,operating,USA,WA,Bellingham,Bellingham,2,2001-01-01,2012-02-13,2013-06-11,
/company/accellion,Accellion,enterprise,13410901,operating,USA,CA,SF Bay,Palo Alto,2,1999-01-01,2012-01-04,2012-03-09,2012-01-04
/company/accellos,Accellos,software,51400000,operating,USA,CO,Colorado Springs,Colorado Springs,3,2006-01-01,2006-11-17,2012-10-16,2011-01-01
/company/accelops,AccelOps,analytics,25000000,operating,USA,CA,SF Bay,Santa Clara,2,2007-01-01,2007-10-01,2012-05-01,2013-08-01
/company/accendo-therapeutics,Accendo Therapeutics,health,4000000,operating,USA,CA,San Diego,Carlsbad,1,2010-01-01,2011-12-29,2011-12-29,
/company/accentia-biopharmaceuticals-inc,Accentia Biopharmaceuticals Inc,biotech,775000,operating,USA,FL,Tampa,TAMPA,2,,2012-02-08,2013-06-25,
/company/accept-software,Accept Software,software,25305000,acquired,USA,CA,SF Bay,Santa Clara,4,2002-01-01,2005-09-16,2010-12-14,2006-01-01
/company/accera,Accera,biotech,130631610,operating,USA,CO,Denver,Broomfield,6,2001-01-01,2004-06-01,2013-05-07,
/company/accertify,Accertify,security,4700000,acquired,USA,IL,Chicago,Itasca,2,2007-03-01,2008-06-03,2010-05-04,2010-01-01
/company/access-360-media,Access 360 Media,advertising,20000000,operating,USA,CA,Los Angeles,Los Angeles,2,2003-01-01,2008-10-29,2011-01-05,2006-10-01
