id,name,male_18_to_24,lat,long,,
55107,"Rusk County, Wisconsin",496,45.44163063,-91.04268325,,
27011,"Big Stone County, Minnesota",165,45.43754271,-96.47938043,,
41057,"Tillamook County, Oregon",928,45.42268307,-123.8873759,,
41021,"Gilliam County, Oregon",55,45.420401,-120.2075873,,
41055,"Sherman County, Oregon",49,45.4193498,-120.7165032,,
55095,"Polk County, Wisconsin",1467,45.40932071,-92.49326421,,
30067,"Park County, Montana",418,45.38453789,-110.4751431,,
30075,"Powder River County, Montana",73,45.36876333,-105.5681863,,
41065,"Wasco County, Oregon",1022,45.36808871,-121.2082981,,
55075,"Marinette County, Wisconsin",1615,45.35857454,-88.00420908,,
30057,"Madison County, Montana",240,45.34959436,-111.9339785,,
46037,"Day County, South Dakota",170,45.34946657,-97.55517743,,
26141,"Presque Isle County, Michigan",375,45.33730567,-83.81686717,,
26029,"Charlevoix County, Michigan",887,45.33385014,-85.14502186,,
55069,"Lincoln County, Wisconsin",975,45.3280732,-89.6982616,,
30009,"Carbon County, Montana",275,45.3251308,-109.0387366,,
41061,"Union County, Oregon",1523,45.31806271,-117.9618891,,
30001,"Beaverhead County, Montana",664,45.30460013,-113.0206149,,
41005,"Clackamas County, Oregon",15479,45.3034022,-122.3942632,,
55067,"Langlade County, Wisconsin",720,45.28284073,-89.01451591,,
27151,"Swift County, Minnesota",407,45.27955243,-95.66369857,,
41071,"Yamhill County, Oregon",5254,45.2256007,-123.1981477,,
27003,"Anoka County, Minnesota",13904,45.22126358,-93.2655415,,
55119,"Taylor County, Wisconsin",772,45.209449,-90.46115988,,
27171,"Wright County, Minnesota",4417,45.17912171,-93.92474658,,
46041,"Dewey County, South Dakota",293,45.15744056,-101.002376,,
46051,"Grant County, South Dakota",256,45.14700178,-96.72646689,,
27093,"Meeker County, Minnesota",837,45.14507171,-94.51758757,,
46107,"Potter County, South Dakota",77,45.14267275,-99.876387,,
27067,"Kandiyohi County, Minnesota",2116,45.136025,-95.012039,,
23019,"Penobscot County, Maine",10412,45.1350143,-68.79929344,,
55029,"Door County, Wisconsin",891,45.05853073,-87.21646055,,
55017,"Chippewa County, Wisconsin",2462,45.0572518,-91.2656087,,
46049,"Faulk County, South Dakota",73,45.05634467,-99.14529517,,
16059,"Lemhi County, Idaho",234,45.0529276,-113.8422193,,
46115,"Spink County, South Dakota",247,45.04220464,-98.349275,,
27073,"Lac qui Parle County, Minnesota",216,45.0282686,-96.199767,,
27023,"Chippewa County, Minnesota",452,45.026903,-95.5968934,,
27163,"Washington County, Minnesota",9232,45.0147455,-92.90535561,,
46137,"Ziebach County, South Dakota",146,45.01151933,-101.5814943,,
26009,"Antrim County, Michigan",688,45.00950922,-85.23028867,,
26137,"Otsego County, Michigan",953,45.00440533,-84.61844433,,
26119,"Montmorency County, Michigan",265,45.00108867,-84.13810933,,
23029,"Washington County, Maine",1245,45.00015516,-67.47782581,,
26007,"Alpena County, Michigan",1152,44.9961038,-83.6140422,,
46029,"Codington County, South Dakota",1377,44.99494557,-97.21017314,,
27123,"Ramsey County, Minnesota",29418,44.99433205,-93.10924941,,
55083,"Oconto County, Wisconsin",1330,44.98797473,-88.24910173,,
55033,"Dunn County, Wisconsin",4572,44.98614142,-91.92164675,,
27053,"Hennepin County, Minnesota",55687,44.98599693,-93.41744134,,
23025,"Somerset County, Maine",1878,44.97159454,-69.69279454,,
