school,concentration_score
Toledo Rockets,0.349867675
Illinois State Redbirds,0.349392361
William & Mary Tribe,0.347174164
Tulsa Golden Hurricane,0.336780045
Virginia Military Institute Keydets,0.334857491
Stetson Hatters,0.332466181
Northern Colorado Bears,0.331088664
Southeastern Louisiana Lions,0.329586777
Washington State Cougars,0.321046373
Rutgers Scarlet Knights,0.318975644
Grambling State Tigers,0.306982249
Western Illinois Leathernecks,0.306833882
Stony Brook Seawolves,0.305074971
Towson Tigers,0.305056711
Presbyterian Blue Hose,0.3046
Troy Trojans,0.300554017
Montana State Bobcats,0.297950139
Charleston Southern Buccaneers,0.296587085
Tennessee-Martin Skyhawks,0.294421488
Miami (FL) Hurricanes,0.293912132
Missouri State Bears,0.292345679
North Carolina State Wolfpack,0.291294643
Dayton Flyers,0.290469105
St. Francis U Red Flash,0.290379137
Wisconsin Badgers,0.288892027
Missouri Tigers,0.288757396
Louisiana-Monroe Warhawks,0.287750865
Clemson Tigers,0.287164877
Southern Utah Thunderbirds,0.286982249
Louisiana Tech Bulldogs,0.285512301
Portland State Vikings,0.284048313
Ohio Bobcats,0.281905179
Northern Illinois Huskies,0.281568878
Alabama A&M Bulldogs,0.280817175
Michigan State Spartans,0.279492455
Temple Owls,0.277355372
Hawaii Warriors,0.276012329
Utah State Aggies,0.275220543
Michigan Wolverines,0.274027778
Utah Utes,0.273273683
Butler Bulldogs,0.273243802
Idaho State Bengals,0.272889285
Oklahoma Sooners,0.27009511
South Carolina Gamecocks,0.26892562
Samford Bulldogs,0.268895206
Eastern Illinois Panthers,0.268641975
Colorado Buffaloes,0.267984542
Morehead State Eagles,0.264823089
Akron Zips,0.264189785
Southern University Jaguars,0.261385042
Robert Morris Colonials,0.261299867
Arizona Wildcats,0.261296076
Youngstown State Penguins,0.26110586
Oregon State Beavers,0.260770975
South Alabama Jaguars,0.259281664
Iowa State Cyclones,0.256895619
Kansas State Wildcats,0.256753157
Colorado State Rams,0.255314486
Illinois Fighting Illini,0.253534972
Wagner Seahawks,0.253504581
Middle Tennessee Blue Raiders,0.251519274
Cincinnati Bearcats,0.250568134
Tennessee Volunteers,0.249702735
Central Arkansas Bears,0.246717972
Alabama State Hornets,0.246059208
Miami (OH) RedHawks,0.245730945
Eastern Kentucky Colonels,0.243175702
Penn State Nittany Lions,0.242993014
Arizona State Sun Devils,0.241
Arkansas-Pine Bluff Golden Lions,0.240362812
Boise State Broncos,0.24
Indiana Hoosiers,0.236122449
UNLV Rebels,0.236121884
Auburn Tigers,0.236028537
Bowling Green Falcons,0.23490965
NC Central Eagles,0.234593595
Maryland Terrapins,0.233948481
Arkansas State Red Wolves,0.232803254
Old Dominion Monarchs,0.232132964
Richmond Spiders,0.232098765
Louisville Cardinals,0.231576474
Tennessee State Tigers,0.230725624
Duquesne Dukes,0.226726486
Texas Southern Tigers,0.22375
New Mexico State Aggies,0.2224
Southern Miss Golden Eagles,0.218621714
Oregon Ducks,0.217542533
Western Michigan Broncos,0.216939516
Brigham Young Cougars,0.215598966
Ole Miss Rebels,0.213824
Furman Paladins,0.213718821
