division,conference,school_name,roster_url
FCS (Division I-AA Teams),Big Sky,Cal Poly,http://espn.go.com/ncf/teams/roster?teamId=13
FCS (Division I-AA Teams),Big Sky,Eastern Washington,http://espn.go.com/ncf/teams/roster?teamId=331
FCS (Division I-AA Teams),Big Sky,Idaho State,http://espn.go.com/ncf/teams/roster?teamId=304
FCS (Division I-AA Teams),Big Sky,Montana,http://espn.go.com/ncf/teams/roster?teamId=149
FCS (Division I-AA Teams),Big Sky,Montana State,http://espn.go.com/ncf/teams/roster?teamId=147
FCS (Division I-AA Teams),Big Sky,North Dakota,http://espn.go.com/ncf/teams/roster?teamId=155
FCS (Division I-AA Teams),Big Sky,Northern Arizona,http://espn.go.com/ncf/teams/roster?teamId=2464
FCS (Division I-AA Teams),Big Sky,Northern Colorado,http://espn.go.com/ncf/teams/roster?teamId=2458
FCS (Division I-AA Teams),Big Sky,Portland State,http://espn.go.com/ncf/teams/roster?teamId=2502
FCS (Division I-AA Teams),Big Sky,Sacramento State,http://espn.go.com/ncf/teams/roster?teamId=16
FCS (Division I-AA Teams),Big Sky,Southern Utah,http://espn.go.com/ncf/teams/roster?teamId=253
FCS (Division I-AA Teams),Big Sky,UC Davis,http://espn.go.com/ncf/teams/roster?teamId=302
FCS (Division I-AA Teams),Big Sky,Weber State,http://espn.go.com/ncf/teams/roster?teamId=2692
FCS (Division I-AA Teams),Big South,Charleston Southern,http://espn.go.com/ncf/teams/roster?teamId=2127
FCS (Division I-AA Teams),Big South,Coastal Carolina,http://espn.go.com/ncf/teams/roster?teamId=324
FCS (Division I-AA Teams),Big South,Gardner-Webb,http://espn.go.com/ncf/teams/roster?teamId=2241
FCS (Division I-AA Teams),Big South,Liberty,http://espn.go.com/ncf/teams/roster?teamId=2335
FCS (Division I-AA Teams),Big South,Presbyterian,http://espn.go.com/ncf/teams/roster?teamId=2506
FCS (Division I-AA Teams),Big South,Virginia Military Institute,http://espn.go.com/ncf/teams/roster?teamId=2678
FCS (Division I-AA Teams),CAA,Albany,http://espn.go.com/ncf/teams/roster?teamId=399
FCS (Division I-AA Teams),CAA,Delaware,http://espn.go.com/ncf/teams/roster?teamId=48
FCS (Division I-AA Teams),CAA,James Madison,http://espn.go.com/ncf/teams/roster?teamId=256
