school,position,county_code,conference
USC Trojans,ol,0,pac-12
USC Trojans,ol,0,pac-12
UNLV Rebels,ol,0,mountain-west
UCF Knights,ol,0,american-athletic
UCF Knights,ol,0,american-athletic
Troy Trojans,ol,0,sun-belt
Stephen F. Austin Lumberjacks,ol,0,southland
St. Francis U Red Flash,ol,0,northeast
Southern Methodist Mustangs,ol,0,american-athletic
Southeast Missouri State Redhawks,ol,0,ohio-valley
South Dakota State Jackrabbits,ol,0,missouri-valley
Savannah State Tigers,ol,0,meac
San Jose State Spartans,ol,0,mountain-west
Sacramento State Hornets,ol,0,big-sky
Robert Morris Colonials,ol,0,northeast
Presbyterian Blue Hose,ol,0,big-south
Oklahoma Sooners,ol,0,big-12
North Dakota State Bison,ol,0,missouri-valley
North Dakota State Bison,ol,0,missouri-valley
North Carolina A&T Aggies,ol,0,meac
New Hampshire Wildcats,ol,0,caa
New Hampshire Wildcats,ol,0,caa
Nevada Wolf Pack,ol,0,mountain-west
Nevada Wolf Pack,ol,0,mountain-west
NC Central Eagles,ol,0,meac
Morgan State Bears,ol,0,meac
Mississippi State Bulldogs,ol,0,sec
Mercer Bears,ol,0,pioneer
Mercer Bears,ol,0,pioneer
Memphis Tigers,ol,0,american-athletic
Memphis Tigers,ol,0,american-athletic
Massachusetts Minutemen,ol,0,mid-american
Marshall Thundering Herd,ol,0,conference-usa
LSU Tigers,ol,0,sec
Liberty Flames,ol,0,big-south
Kent State Golden Flashes,ol,0,mid-american
Kansas State Wildcats,ol,0,big-12
Indiana Hoosiers,ol,0,big-ten
Idaho Vandals,ol,0,fbs-independents
Idaho State Bengals,ol,0,big-sky
Houston Baptist Huskies,ol,0,fcs-independents
Hawaii Warriors,ol,0,mountain-west
Grambling State Tigers,ol,0,swac
Georgia Bulldogs,ol,0,sec
Gardner-Webb Runnin' Bulldogs,ol,0,big-south
Gardner-Webb Runnin' Bulldogs,ol,0,big-south
Fordham Rams,ol,0,patriot-league
Florida Gators,ol,0,sec
Florida Atlantic Owls,ol,0,conference-usa
Florida Atlantic Owls,ol,0,conference-usa
Eastern Washington Eagles,ol,0,big-sky
Eastern Illinois Panthers,ol,0,ohio-valley
Duquesne Dukes,ol,0,northeast
Davidson Wildcats,ol,0,pioneer
Cornell Big Red,ol,0,ivy
Citadel Bulldogs,ol,0,southern
Cincinnati Bearcats,ol,0,american-athletic
California Golden Bears,ol,0,pac-12
California Golden Bears,ol,0,pac-12
Buffalo Bulls,ol,0,mid-american
Bowling Green Falcons,ol,0,mid-american
Bowling Green Falcons,ol,0,mid-american
Boise State Broncos,ol,0,mountain-west
Boise State Broncos,ol,0,mountain-west
Boise State Broncos,ol,0,mountain-west
Baylor Bears,ol,0,big-12
Ball State Cardinals,ol,0,mid-american
Ball State Cardinals,ol,0,mid-american
Ball State Cardinals,ol,0,mid-american
Ball State Cardinals,ol,0,mid-american
Ball State Cardinals,ol,0,mid-american
Ball State Cardinals,ol,0,mid-american
Ball State Cardinals,ol,0,mid-american
Ball State Cardinals,ol,0,mid-american
Ball State Cardinals,ol,0,mid-american
Ball State Cardinals,ol,0,mid-american
Ball State Cardinals,ol,0,mid-american
Ball State Cardinals,ol,0,mid-american
Ball State Cardinals,ol,0,mid-american
Ball State Cardinals,ol,0,mid-american
Ball State Cardinals,ol,0,mid-american
Ball State Cardinals,ol,0,mid-american
Ball State Cardinals,ol,0,mid-american
Ball State Cardinals,ol,0,mid-american
Ball State Cardinals,ol,0,mid-american
Ball State Cardinals,ol,0,mid-american
Ball State Cardinals,ol,0,mid-american
Ball State Cardinals,ol,0,mid-american
Ball State Cardinals,ol,0,mid-american
Ball State Cardinals,ol,0,mid-american
Austin Peay Governors,ol,0,ohio-valley
Arkansas State Red Wolves,ol,0,sun-belt
Arkansas Razorbacks,ol,0,sec
Air Force Falcons,ol,0,mountain-west
Abilene Christian Wildcats,ol,0,fcs-independents
